perplexity,MinPts,probability,umap_n_components,NMI,embedding
28,1,0.997001961854593,4,0.029993353418932063,BERT
23,7,0.9970541738133653,4,0.03629625378081083,BERT
21,24,0.9970513103648886,4,0.030954452140661143,BERT
8,24,0.997016160215031,8,0.20765590320049504,BERT
19,24,0.9970968126638395,4,0.030954452140661143,BERT
21,21,0.9970689560841721,4,0.030954452140661143,BERT
3,2,0.9970416440760876,8,0.2497111329674178,BERT
19,5,0.9970996907491181,2,0.026046879719302484,BERT
9,5,0.9970565793674542,2,0.03686684694768076,BERT
8,29,0.9970830074104774,2,0.040220904704701736,BERT
2,13,0.9970317955088681,8,0.0,BERT
1,15,0.9970287988574995,8,0.0,BERT
9,11,0.9970288544805348,8,0.045794393529450375,BERT
6,20,0.9970105454711873,16,0.14921110614652727,BERT
13,30,0.9970343784017749,8,0.19100341943351126,BERT
5,18,0.9970159072716485,8,0.015360407992382927,BERT
13,26,0.9970418109747746,16,0.11934209516316378,BERT
4,9,0.9970130845508366,8,0.27761987572444125,BERT
3,1,0.9970411423558532,8,0.2808591392935723,BERT
13,9,0.9970217394012101,8,0.042094158109703954,BERT
5,4,0.9970014905012917,16,0.1538372092476897,BERT
2,1,0.9970421785700604,8,0.32484832334043534,BERT
1,8,0.9970411758397889,8,0.0,BERT
4,1,0.9970642232433704,8,0.18251182786262476,BERT
7,11,0.9970239555433803,8,0.13559035687237578,BERT
10,4,0.9970443353460438,8,0.04527899366239854,BERT
3,7,0.9970347801879306,8,0.26205025243022356,BERT
11,10,0.9970485071376585,8,0.042602974751652395,BERT
29,3,0.9970370154939495,2,0.022735816731402316,BERT
16,1,0.9970098622349601,16,0.03631181928986,BERT
6,14,0.9970052182258544,8,0.2640018384691983,BERT
4,15,0.9970007526472385,8,0.010751895507297752,BERT
6,17,0.9970086194960437,8,0.2116549098252292,BERT
26,13,0.9970060770223026,8,0.02509344511373078,BERT
2,6,0.9970208083455381,4,0.13534682271579376,BERT
1,13,0.99701377910887,8,0.0,BERT
7,7,0.9970049862494579,4,0.12849861255228506,BERT
4,3,0.9970196622863776,8,0.15138210181167783,BERT
11,1,0.9970257787749729,8,0.04309046468808278,BERT
3,17,0.997017790759709,4,0.0,BERT
25,9,0.9970145168861203,2,0.022735816731402316,BERT
3,7,0.9970363753234319,8,0.26205025243022356,BERT
