min_cluster_size,rho,beta,umap_n_components,NMI,embedding
53,0.48514092434203177,0.2724350322289899,8,0.19984419830889721,BERT
190,1.4086199124822674,0.2711768369750204,8,0.23826725715401245,BERT
77,0.4222508208600699,0.4967607771567639,2,0.1942270211707505,BERT
157,1.6188611905567112,0.3539508764267273,16,0.29038476828070076,BERT
28,0.8733547936725907,0.5343255378810362,2,0.28856000994291536,BERT
179,1.372807164384152,0.27870296738290823,2,0.217494850925899,BERT
192,0.8098757608576921,0.3368039066069215,2,0.10408104307204563,BERT
72,1.5297137506093432,0.136243185017882,2,0.2990706110696607,BERT
143,0.26678167501523126,0.26533726697557114,16,0.018533127014853823,BERT
162,0.15620195544399534,0.23731683865931344,2,0.01791428418175923,BERT
110,1.7276561062934477,0.10781929654995379,4,0.30188716199346505,BERT
108,1.8895987732893251,0.10665129727367062,4,0.31946511650060905,BERT
105,1.9821544588571645,0.10133127675155314,4,0.3235000507882634,BERT
118,1.9937305690238523,0.10020703505847417,4,0.31327759056836524,BERT
124,1.9689146611399226,0.1483758908355034,4,0.30114017761039374,BERT
88,1.7620388142059422,0.1830749903993782,4,0.32029050208793763,BERT
84,1.2111386730239837,0.18467578276607766,4,0.2924496161350428,BERT
9,1.7464573930849856,0.19537491037370736,4,0.3087837794136694,BERT
47,1.7850685531264427,0.1834636208565804,4,0.308496971456941,BERT
92,1.6400912153566956,0.2003839522013911,4,0.3031627062892563,BERT
132,1.1700501458793653,0.15287887938054961,16,0.2879668537100416,BERT
101,1.9957700877284548,0.1002366013552019,4,0.32716407969817946,BERT
63,1.971305318544143,0.14585975204458923,4,0.3082572735873717,BERT
100,1.8646789118634244,0.10825360872436561,4,0.32640302374002883,BERT
99,1.8429850571237556,0.10695137147488407,8,0.32872701709788166,BERT
96,1.8254901740039071,0.14019894878696118,8,0.33123983789506256,BERT
147,1.5197818227002529,0.22445713506564915,8,0.28079919019404137,BERT
130,1.643425933200949,0.1452736469633184,8,0.27306991064072195,BERT
64,1.8164525914221048,0.15813700621930998,8,0.3170977418974317,BERT
47,1.8431485558706595,0.21770010945005147,8,0.31029062560189313,BERT
96,1.456941364054917,0.13392123048702875,8,0.2836805596039234,BERT
97,1.8741732674851652,0.12875231881327406,8,0.3366098700234378,BERT
115,1.6544565195289882,0.17248869934539357,8,0.2744904058766677,BERT
80,1.8778353159889167,0.12873784078910025,8,0.3171755271609203,BERT
67,1.7181570624691909,0.12893538762892312,8,0.3239580570637073,BERT
