min_samples,eps,umap_n_components,NMI,embedding
6,0.4479021068638316,4,0.036819507450397,BERT
10,0.9344343638609561,2,0.02379789890523148,BERT
8,0.13369300703957754,2,0.29564371155651736,BERT
5,0.6983072351361689,8,0.03340111882738366,BERT
9,0.9598182918281694,16,0.032191997921532524,BERT
7,0.5250029297014812,8,0.03643390500334334,BERT
9,0.7814579159121761,4,0.03629625378081083,BERT
5,0.5234333242527817,4,0.03629625378081083,BERT
5,0.19157944592715104,2,0.2580176998825798,BERT
5,0.5379114636722713,2,0.028228998645834048,BERT
8,0.10143335789739018,16,0.14198241493637542,BERT
7,0.12354421387510897,2,0.29253707407538654,BERT
7,0.2810957554639991,2,0.1773533053474261,BERT
8,0.348021753876698,2,0.04991278043650544,BERT
7,0.11285849966824187,2,0.28111489174618104,BERT
9,0.2607573290280808,2,0.23297408648042128,BERT
6,0.38441789088794814,2,0.04957691007467666,BERT
8,0.24723372350643263,8,0.3111233856745119,BERT
10,0.22498034826595725,8,0.30844256847601453,BERT
10,0.2712191344269524,8,0.2964622893993472,BERT
10,0.4049121367222066,8,0.045297508131662376,BERT
10,0.2546453984151891,8,0.2963162697961098,BERT
9,0.30551982231240105,8,0.2516664065283126,BERT
10,0.20652400434557058,8,0.3104246993123922,BERT
9,0.20503741782261675,8,0.3085084882286111,BERT
9,0.3375914956054629,8,0.20590057942495293,BERT
8,0.16982381733299506,8,0.2942431152865016,BERT
9,0.22299564739648786,8,0.31346317975093757,BERT
8,0.19745010980703379,16,0.3085937063472031,BERT
9,0.438489554421607,4,0.038377031656000905,BERT
6,0.34302318280127986,8,0.10555217146181789,BERT
8,0.19085454422582826,16,0.3066074187100942,BERT
8,0.17324060796511653,16,0.2910832270347154,BERT
10,0.2535824115430883,16,0.31094087844509166,BERT
10,0.3045592275393749,16,0.25020762632415483,BERT
10,0.24188816467776375,8,0.3123535662698064,BERT
9,0.44555385826305716,8,0.04533711643639667,BERT
10,0.2427263726440999,16,0.31112946390070556,BERT
10,0.16150570681042725,4,0.2725017662294416,BERT
9,0.47695687774349504,8,0.03714863331660844,BERT
10,0.6020239239566428,8,0.03340111882738366,BERT
10,0.2407160262770715,16,0.31112869410441885,BERT
10,0.23382991109051957,16,0.3053212534438232,BERT
9,0.1433186622516807,16,0.2219958154397218,BERT
10,0.30515435066484997,16,0.25259451571679475,BERT
9,0.23588061509261343,16,0.31391305213935866,BERT
9,0.10391991715294566,16,0.12943674375294353,BERT
10,0.3702773434924004,16,0.16563230256930814,BERT
9,0.1421236263642835,16,0.22072085161371321,BERT
10,0.31321589389656623,16,0.24735648744902744,BERT
10,0.22549876616316858,4,0.3107661903880921,BERT
8,0.27575139444767904,16,0.2564905778715638,BERT
7,0.22551128914528007,8,0.30716390218697065,BERT
9,0.14062802843864194,16,0.21656405219298563,BERT
8,0.2531601599838697,8,0.27263031914189717,BERT
9,0.28717854181746055,8,0.25245200058268313,BERT
10,0.1759110637895202,16,0.2739519777874245,BERT
7,0.33514588169825577,4,0.051798592861837585,BERT
9,0.2370856919030866,8,0.3077663492498929,BERT
10,0.27286452645781456,8,0.26628443789171385,BERT
9,0.36718250068518465,2,0.04883169128983202,BERT
10,0.25863143056908205,16,0.29982685909073675,BERT
10,0.20571585540789908,16,0.3006455516976425,BERT
10,0.24493272576310066,16,0.311415447350502,BERT
10,0.2046869442489313,16,0.30003818652961195,BERT
10,0.12479159862953142,16,0.15435633921179864,BERT
8,0.16222303579956143,8,0.2844653583171016,BERT
9,0.3217575304807548,16,0.1907876062296654,BERT
10,0.2905889538827825,8,0.2560835159053227,BERT
10,0.2371138675123977,16,0.31024685502869886,BERT
9,0.18015990945239085,2,0.27597113486113867,BERT
10,0.25942319160384114,16,0.30035482305783556,BERT
10,0.290621425815306,16,0.2748527920389392,BERT
10,0.24526518418145837,16,0.31151003698132224,BERT
10,0.1950300502034828,16,0.2902057271530697,BERT
10,0.2187368217819497,8,0.31046669581702313,BERT
9,0.33478481510573155,16,0.18931458148462021,BERT
7,0.2466142474740457,4,0.2802070849075278,BERT
10,0.15775616596645092,16,0.2400756896723333,BERT
8,0.21840791607725046,8,0.3128137206377713,BERT
10,0.1250382228477609,8,0.18806349219039406,BERT
8,0.18996045245975185,8,0.3124325726437496,BERT
8,0.18785142046192907,8,0.30923695288667113,BERT
8,0.2136320561827583,8,0.3073572354779055,BERT
8,0.27900081152875106,8,0.2542539845343627,BERT
7,0.2312749463123382,16,0.2870937907156682,BERT
9,0.18323157831671366,8,0.2990658662240271,BERT
6,0.3094331611124471,16,0.1845666849759516,BERT
8,0.14569996925672168,8,0.25592111596251127,BERT
9,0.21140067289270942,2,0.23939829356330286,BERT
10,0.10132245670936096,16,0.10288293740122488,BERT
8,0.24858238621240095,8,0.30937224479195774,BERT
8,0.2671789170838671,8,0.24876751402192981,BERT
8,0.23196573990261554,8,0.31290098252539184,BERT
8,0.22499270785612313,8,0.30550888791243164,BERT
10,0.17169164359083536,8,0.27250510107250714,BERT
7,0.29307516000850514,4,0.176053758963257,BERT
8,0.19196112469022186,8,0.31138504100672076,BERT
8,0.1988420360865767,8,0.3124562636994237,BERT
8,0.15195933455585647,8,0.26624953305189625,BERT
8,0.1954225053570768,8,0.31270996751141367,BERT
8,0.1935172186393669,8,0.3127008294918726,BERT
8,0.21203395617680776,8,0.31415156574074704,BERT
8,0.12398914643473588,8,0.2217307293798024,BERT
8,0.2028442221498223,8,0.31335625236722103,BERT
8,0.16722224750629333,8,0.2928339466760923,BERT
8,0.20351943072643472,8,0.3137544265748609,BERT
8,0.2029134815869241,8,0.31335625236722103,BERT
8,0.2061410777905186,8,0.3138132130796463,BERT
8,0.21619022386841258,8,0.31088710027234306,BERT
8,0.15552582167334755,8,0.2715099596536079,BERT
8,0.20352674456823125,8,0.3137544265748609,BERT
8,0.13650788271212655,8,0.24177993129730388,BERT
8,0.20304284304869744,8,0.31335625236722103,BERT
8,0.17083725447256068,8,0.2953416322320579,BERT
8,0.21829052321237916,8,0.31232987533049483,BERT
8,0.27491022602317006,8,0.2531330871612454,BERT
7,0.20790487144039196,8,0.3140201532628238,BERT
7,0.22727370309443082,8,0.3088152371882273,BERT
7,0.2651352800600314,8,0.2572879771572229,BERT
7,0.17511618321671793,8,0.30801438217953653,BERT
8,0.20596765437588282,8,0.31374627099682734,BERT
8,0.2108278897889205,8,0.31324193186565896,BERT
8,0.21031681625065432,8,0.31231017422266866,BERT
