min_cluster_size,min_samples,umap_n_components,NMI,embedding
25,13,2,0.28121460260599096,BERT
189,137,2,0.017394800731766465,BERT
181,155,16,0.016911649386195507,BERT
180,55,2,0.014491227397182395,BERT
145,57,8,0.014188393991103911,BERT
37,178,2,0.017394800731766465,BERT
171,41,4,0.011483396895354063,BERT
95,22,2,0.01818098208608857,BERT
65,153,2,0.017394800731766465,BERT
63,135,8,0.01710589512519317,BERT
16,97,16,0.016911649386195507,BERT
117,9,2,0.01818098208608857,BERT
92,13,4,0.011483396895354063,BERT
7,87,2,0.014491227397182395,BERT
105,32,2,0.01818098208608857,BERT
56,69,2,0.014491227397182395,BERT
134,5,8,0.014188393991103911,BERT
85,32,16,0.013993720863484646,BERT
34,76,4,0.012865505777405677,BERT
154,119,2,0.017394800731766465,BERT
77,24,2,0.01818098208608857,BERT
116,5,2,0.01818098208608857,BERT
124,51,2,0.014491227397182395,BERT
109,19,2,0.01818098208608857,BERT
31,36,2,0.0201569933433787,BERT
40,38,2,0.0201569933433787,BERT
37,41,8,0.019627133326623823,BERT
22,69,16,0.01534767669339594,BERT
56,46,4,0.020398927213335062,BERT
48,101,4,0.016388432633746532,BERT
26,54,4,0.018036609514711918,BERT
5,38,4,0.022190828831103248,BERT
9,26,4,0.0338141674185181,BERT
7,24,4,0.0338141674185181,BERT
6,24,4,0.0338141674185181,BERT
14,24,4,0.0338141674185181,BERT
18,16,4,0.033814167418518094,BERT
5,61,4,0.018036609514711918,BERT
24,20,4,0.033814167418518094,BERT
46,30,4,0.022190828831103248,BERT
13,182,4,0.017040254096714218,BERT
16,25,4,0.0338141674185181,BERT
13,13,4,0.04296275618477099,BERT
24,12,4,0.033814167418518094,BERT
30,15,4,0.033814167418518094,BERT
11,48,16,0.02089475477834805,BERT
46,62,8,0.014188393991103911,BERT
71,5,4,0.018036609514711918,BERT
6,165,4,0.017040254096714218,BERT
195,31,4,0.011483396895354063,BERT
18,27,16,0.03133479845851345,BERT
16,18,4,0.033814167418518094,BERT
12,44,4,0.022190828831103248,BERT
30,12,4,0.033814167418518094,BERT
40,20,4,0.02219082883110325,BERT
22,195,8,0.01710589512519317,BERT
165,27,4,0.011483396895354063,BERT
11,134,4,0.016388432633746532,BERT
54,9,4,0.018036609514711918,BERT
32,35,4,0.022190828831103248,BERT
10,86,8,0.01710589512519317,BERT
16,24,4,0.0338141674185181,BERT
20,25,4,0.0338141674185181,BERT
28,42,4,0.022190828831103248,BERT
5,33,2,0.0201569933433787,BERT
39,12,4,0.022190828831103248,BERT
20,22,16,0.03133479845851345,BERT
13,5,4,0.045683338114963536,BERT
11,5,2,0.2782923699986736,BERT
25,9,2,0.2861132423701725,BERT
35,5,2,0.0201569933433787,BERT
25,10,2,0.28345385134037737,BERT
26,10,2,0.28345385134037737,BERT
26,9,2,0.2861132423701725,BERT
51,8,2,0.0201569933433787,BERT
27,13,2,0.2855906635957025,BERT
26,16,2,0.26656777764555145,BERT
40,16,2,0.0201569933433787,BERT
63,11,2,0.01818098208608857,BERT
26,17,2,0.26767612007703306,BERT
43,18,2,0.0201569933433787,BERT
26,8,2,0.29045498060559444,BERT
34,9,2,0.0201569933433787,BERT
27,108,2,0.017159618994688264,BERT
23,5,2,0.29609054400871765,BERT
34,9,2,0.0201569933433787,BERT
84,6,2,0.01818098208608857,BERT
22,15,2,0.2980081284874577,BERT
136,30,2,0.014491227397182395,BERT
45,13,2,0.0201569933433787,BERT
60,20,2,0.01818098208608857,BERT
