min_samples,xi,umap_n_components,NMI,embedding
156,0.048621171241635994,4,0.12366973052845016,BERT
167,0.14377161694623958,16,0.016911649386195507,BERT
156,0.8686871620904834,2,0.0,BERT
73,0.5947583014867656,4,0.0,BERT
163,0.29967767725272,2,0.014491227397182395,BERT
35,0.7384060506637282,8,0.0,BERT
162,0.4476448397535598,2,0.0,BERT
147,0.7175255503492081,4,0.0,BERT
152,0.09151116580714294,2,0.014491227397182395,BERT
67,0.3417719517828634,8,0.01710589512519317,BERT
111,0.022929374735268817,4,0.22663694444275734,BERT
112,0.016040665676911897,4,0.24817834030152325,BERT
113,0.04843659546152491,4,0.19406474390749062,BERT
112,0.19835285230677518,4,0.013688681992736219,BERT
88,0.022526363701968533,16,0.2965356059418545,BERT
6,0.18638430123750388,16,0.1851233246245687,BERT
86,0.24069224983670737,16,0.007380032125047516,BERT
189,0.019244379008797784,16,0.17448035466196432,BERT
47,0.12198790585507246,16,0.11607951984519536,BERT
91,0.363732782470462,8,0.014188393991103911,BERT
132,0.25632942454885366,16,0.013993720863484646,BERT
122,0.010318053361523685,4,0.22472301356948723,BERT
102,0.13432334793221268,4,0.013688681992736219,BERT
130,0.12296934685778967,4,0.01412010999169199,BERT
73,0.20454051840823995,4,0.11409733555790708,BERT
95,0.08283679434699584,4,0.013731814100026985,BERT
54,0.03629279676215663,16,0.2988684438248392,BERT
52,0.15538044928186132,16,0.12200857243691327,BERT
23,0.10120822399855836,16,0.17453299149282445,BERT
59,0.07248621762301782,16,0.11707004430386868,BERT
81,0.24742906927939526,16,0.007380032125047516,BERT
105,0.012061150785128915,4,0.2631501027545433,BERT
99,0.014404032818513305,16,0.2890442841354526,BERT
41,0.08034132655022214,16,0.11657819095494036,BERT
100,0.15948315661707055,16,0.013617384664015724,BERT
78,0.06049017768368291,16,0.12823903813728102,BERT
58,0.0641004609085389,16,0.12185748075607965,BERT
140,0.1446196798238733,8,0.014188393991103911,BERT
33,0.014918451325471063,2,0.26401251401597114,BERT
27,0.11970869029632653,2,0.14410175449445797,BERT
9,0.05394009550089489,2,0.23104273579791262,BERT
66,0.010983308718647571,2,0.29233018138751093,BERT
65,0.08738630972758554,2,0.06985306580961402,BERT
33,0.04380411640232261,2,0.23123596051840456,BERT
19,0.17296816336814536,2,0.0445534966019996,BERT
43,0.10494250162113883,2,0.1115870042469139,BERT
67,0.05084629371646375,2,0.21867485711250081,BERT
