k,nc,umap_n_components,NMI,embedding
31,6,16,0.19606491587061314,BERT
21,6,4,0.14017044770759754,BERT
9,6,16,0.15820140479605513,BERT
39,6,8,0.24455169464378834,BERT
21,6,8,0.21037071374824956,BERT
35,6,8,0.2337377905151805,BERT
24,6,4,0.2263078873540529,BERT
24,6,16,0.1606079844404095,BERT
46,6,8,0.2490082245281366,BERT
28,6,2,0.20579187375357424,BERT
50,6,2,0.21681728449803198,BERT
46,6,8,0.2490082245281366,BERT
50,6,8,0.1961913055037249,BERT
43,6,8,0.24399137779541608,BERT
43,6,8,0.24399137779541608,BERT
45,6,8,0.2608043297181052,BERT
37,6,8,0.23895154674861926,BERT
13,6,4,0.21607785407101884,BERT
42,6,2,0.17942382393270126,BERT
33,6,8,0.23171935676128574,BERT
47,6,8,0.18051510498021026,BERT
46,6,8,0.2490082245281366,BERT
40,6,8,0.2382074093077838,BERT
47,6,8,0.18051510498021026,BERT
44,6,8,0.24499734920959337,BERT
37,6,8,0.23895154674861926,BERT
49,6,4,0.18884380582329455,BERT
40,6,2,0.16161956377443631,BERT
45,6,16,0.22558216843307682,BERT
30,6,16,0.22537358941822289,BERT
33,6,8,0.23171935676128574,BERT
48,6,8,0.1819568356482645,BERT
46,6,8,0.2490082245281366,BERT
41,6,8,0.24194954487771664,BERT
45,6,8,0.2608043297181052,BERT
5,6,4,0.02997281726468717,BERT
37,6,8,0.23895154674861926,BERT
44,6,16,0.22713273058934824,BERT
15,6,8,0.19007036246217568,BERT
38,6,8,0.24445887017871396,BERT
34,6,2,0.20444825145949636,BERT
47,6,8,0.18051510498021026,BERT
45,6,8,0.2608043297181052,BERT
50,6,8,0.1961913055037249,BERT
42,6,8,0.2400759918801192,BERT
45,6,8,0.2608043297181052,BERT
39,6,4,0.23536656558143515,BERT
43,6,8,0.24399137779541608,BERT
26,6,16,0.1628485869436703,BERT
19,6,8,0.20832151453306968,BERT
49,6,8,0.197516293341284,BERT
45,6,8,0.2608043297181052,BERT
45,6,8,0.2608043297181052,BERT
44,6,8,0.24499734920959337,BERT
42,6,8,0.2400759918801192,BERT
45,6,8,0.2608043297181052,BERT
48,6,2,0.21961033275275488,BERT
40,6,8,0.2382074093077838,BERT
45,6,8,0.2608043297181052,BERT
41,6,8,0.24194954487771664,BERT
47,6,4,0.19107689231248487,BERT
45,6,8,0.2608043297181052,BERT
43,6,8,0.24399137779541608,BERT
50,6,8,0.1961913055037249,BERT
48,6,8,0.1819568356482645,BERT
36,6,8,0.2255207043678256,BERT
45,6,8,0.2608043297181052,BERT
39,6,8,0.24455169464378834,BERT
41,6,2,0.1805172357196782,BERT
46,6,16,0.20652566242446455,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
42,6,8,0.2400759918801192,BERT
48,6,8,0.1819568356482645,BERT
46,6,8,0.2490082245281366,BERT
44,6,8,0.24499734920959337,BERT
49,6,8,0.197516293341284,BERT
47,6,8,0.18051510498021026,BERT
31,6,4,0.18597740977820335,BERT
43,6,8,0.24399137779541608,BERT
38,6,8,0.24445887017871396,BERT
45,6,8,0.2608043297181052,BERT
45,6,8,0.2608043297181052,BERT
42,6,8,0.2400759918801192,BERT
43,6,8,0.24399137779541608,BERT
41,6,8,0.24194954487771664,BERT
47,6,16,0.1562885091375793,BERT
49,6,2,0.22043579790681547,BERT
46,6,8,0.2490082245281366,BERT
40,6,8,0.2382074093077838,BERT
21,6,8,0.21037071374824956,BERT
45,6,8,0.2608043297181052,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
47,6,8,0.18051510498021026,BERT
46,6,8,0.2490082245281366,BERT
48,6,4,0.19047614025059542,BERT
44,6,8,0.24499734920959337,BERT
42,6,8,0.2400759918801192,BERT
50,6,8,0.1961913055037249,BERT
43,6,8,0.24399137779541608,BERT
45,6,8,0.2608043297181052,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
49,6,8,0.197516293341284,BERT
48,6,8,0.1819568356482645,BERT
41,6,2,0.1805172357196782,BERT
43,6,16,0.2129499999621952,BERT
44,6,8,0.24499734920959337,BERT
24,6,8,0.23042384800153667,BERT
13,6,8,0.1935880982492315,BERT
45,6,8,0.2608043297181052,BERT
47,6,8,0.18051510498021026,BERT
46,6,8,0.2490082245281366,BERT
45,6,8,0.2608043297181052,BERT
43,6,8,0.24399137779541608,BERT
44,6,8,0.24499734920959337,BERT
47,6,4,0.19107689231248487,BERT
42,6,8,0.2400759918801192,BERT
8,6,8,0.10604613980860048,BERT
46,6,8,0.2490082245281366,BERT
45,6,8,0.2608043297181052,BERT
48,6,8,0.1819568356482645,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
41,6,8,0.24194954487771664,BERT
49,6,8,0.197516293341284,BERT
47,6,16,0.1562885091375793,BERT
42,6,8,0.2400759918801192,BERT
43,6,2,0.1796502687498548,BERT
46,6,8,0.2490082245281366,BERT
45,6,8,0.2608043297181052,BERT
44,6,8,0.24499734920959337,BERT
45,6,8,0.2608043297181052,BERT
47,6,8,0.18051510498021026,BERT
43,6,8,0.24399137779541608,BERT
46,6,8,0.2490082245281366,BERT
44,6,8,0.24499734920959337,BERT
48,6,8,0.1819568356482645,BERT
45,6,8,0.2608043297181052,BERT
41,6,4,0.20445211934729524,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
43,6,8,0.24399137779541608,BERT
44,6,8,0.24499734920959337,BERT
47,6,8,0.18051510498021026,BERT
42,6,8,0.2400759918801192,BERT
28,6,8,0.24922039448736277,BERT
45,6,8,0.2608043297181052,BERT
46,6,8,0.2490082245281366,BERT
50,6,8,0.1961913055037249,BERT
45,6,8,0.2608043297181052,BERT
