n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.07299587057558501,16,0.0,BERT
4,0.8664450155593695,16,0.0,BERT
4,0.9981721736383503,16,0.0,BERT
4,0.7282612142461108,2,0.0,BERT
4,0.9875075085958119,8,0.0,BERT
4,0.9644487712856592,8,0.0,BERT
4,0.6020366498784486,8,0.0,BERT
4,0.12241808264156692,2,0.0,BERT
4,0.07639071036656737,16,0.0,BERT
4,0.6991609622847094,2,0.0,BERT
4,0.3142935884691768,4,0.0,BERT
4,0.4431597848482619,16,0.0,BERT
4,0.011648763805196055,16,0.0,BERT
4,0.28153478108566937,16,0.0,BERT
4,0.4802172853769041,4,0.0,BERT
4,0.2150478603293754,16,0.0,BERT
4,0.3613447911240508,16,0.0,BERT
4,0.18533470688782833,16,0.0,BERT
4,0.8107505037385777,4,0.0,BERT
4,0.5753342026882833,16,0.0,BERT
4,0.4035620391385629,16,0.0,BERT
4,0.8621750615517894,16,0.0,BERT
4,0.8893951067382949,16,0.0,BERT
4,0.98695272818817,16,0.0,BERT
4,0.7755557383809604,16,0.0,BERT
4,0.9051797527495975,16,0.0,BERT
4,0.5787609780686099,2,0.0,BERT
4,0.6495032292572075,4,0.0,BERT
4,0.5222808212201404,8,0.0,BERT
4,0.7328402476228031,2,0.0,BERT
4,0.8021633851267332,16,0.0,BERT
4,0.9449441209474128,2,0.0,BERT
4,0.9936901507866306,2,0.0,BERT
4,0.9041749875263618,8,0.0,BERT
4,0.8464667882199289,2,0.0,BERT
4,0.7430913226745819,8,0.0,BERT
4,0.6792932529648807,2,0.0,BERT
4,0.9301722645312632,2,0.0,BERT
4,0.9978831566545694,16,0.0,BERT
4,0.8295705246347281,8,0.0,BERT
4,0.9463645423004746,16,0.0,BERT
4,0.8726231364850313,8,0.0,BERT
4,0.9454553204603846,8,0.0,BERT
4,0.7688126632496867,8,0.0,BERT
4,0.8549613533721434,4,0.0,BERT
4,0.05107522464804609,16,0.0,BERT
4,0.1430748165299497,8,0.0,BERT
4,0.914863504197903,16,0.0,BERT
4,0.28592334107640716,4,0.0,BERT
4,0.966327702084055,16,0.0,BERT
4,0.8948483381350832,2,0.0,BERT
4,0.9559836530973365,8,0.0,BERT
4,0.8202122612238543,8,0.0,BERT
4,0.9995879627446701,8,0.0,BERT
4,0.9223063094855654,16,0.0,BERT
4,0.8702776751225624,16,0.0,BERT
4,0.40831600532795476,8,0.0,BERT
4,0.78482277571384,16,0.0,BERT
4,0.9655305721133125,4,0.0,BERT
4,0.8347333633756825,16,0.0,BERT
4,0.8817756160461869,2,0.0,BERT
4,0.6201179494181185,8,0.0,BERT
4,0.7132198503976795,8,0.0,BERT
4,0.5034987362702824,8,0.0,BERT
4,0.011003482588858748,8,0.0,BERT
4,0.3454650590227125,16,0.0,BERT
4,0.686177043383645,2,0.0,BERT
4,0.21429545997055316,16,0.0,BERT
4,0.9753324810968805,8,0.0,BERT
4,0.917657536819458,16,0.0,BERT
4,0.7967692796380916,2,0.0,BERT
4,0.09416069976115211,2,0.0,BERT
4,0.7616305345198646,2,0.0,BERT
4,0.559826428171838,2,0.0,BERT
4,0.945775136232193,2,0.0,BERT
4,0.6535300827089396,8,0.0,BERT
4,0.9733678657429463,4,0.0,BERT
4,0.9024792882575138,16,0.0,BERT
4,0.7463530727118242,8,0.0,BERT
4,0.037786776398185735,16,0.0,BERT
4,0.8548646013666255,2,0.0,BERT
4,0.12323564549699781,16,0.0,BERT
4,0.0746538318727794,16,0.0,BERT
4,0.14744047784804049,16,0.0,BERT
4,0.9993118076167212,16,0.0,BERT
4,0.03459994151438862,8,0.0,BERT
4,0.939549355295188,16,0.0,BERT
4,0.8198623328117716,2,0.0,BERT
4,0.8925263235072312,16,0.0,BERT
4,0.4487524472897707,4,0.0,BERT
4,0.9754739783514269,8,0.0,BERT
4,0.07305071253895937,2,0.0,BERT
4,0.7164212512148368,2,0.0,BERT
4,0.9258262486163458,2,0.0,BERT
4,0.7884112436697719,2,0.0,BERT
4,0.6093016339772327,8,0.0,BERT
4,0.8683261226843362,16,0.0,BERT
4,0.9324574018888133,16,0.0,BERT
4,0.838165681780915,8,0.0,BERT
4,0.9782732949869488,2,0.0,BERT
4,0.9551528014908006,16,0.0,BERT
4,0.15933118346662478,4,0.0,BERT
4,0.21144644762713,4,0.0,BERT
4,0.10044791157771024,4,0.0,BERT
4,0.16698583092876,4,0.0,BERT
4,0.24296013355364138,8,0.0,BERT
4,0.12430988204415105,2,0.0,BERT
4,0.8068477097385011,4,0.0,BERT
4,0.9063270667334172,16,0.0,BERT
4,0.9568719557087596,8,0.0,BERT
4,0.9835134627420792,2,0.0,BERT
4,0.5251839856753555,16,0.0,BERT
