perplexity,MinPts,probability,tsne_n_components,NMI,embedding
13,17,0.9970077511521708,4,0.0,BERT
14,8,0.9970473880185293,16,0.12794729770148247,BERT
16,9,0.9970264587037808,16,0.15915926172012357,BERT
19,2,0.9970062399487172,16,0.056122243340028195,BERT
21,25,0.9970896274848536,16,0.0,BERT
9,7,0.9970627404175343,2,0.42253708607636364,BERT
2,14,0.9970913515840785,4,0.0,BERT
16,2,0.9970888209113324,2,0.0,BERT
4,19,0.9970327666143645,2,0.0,BERT
10,15,0.9970053017900221,2,0.4076584454403782,BERT
27,29,0.997073632576744,8,0.0,BERT
9,11,0.9970639883790632,2,0.40808448472320075,BERT
7,8,0.9970619951893951,2,0.41751514576491583,BERT
7,5,0.9970608060367777,2,0.4165705159768349,BERT
5,6,0.9970743589003298,8,0.14235586859281568,BERT
10,11,0.997053880173446,2,0.42408898878255613,BERT
11,12,0.9970482580559761,2,0.42408898878255613,BERT
24,21,0.9970438126761813,2,0.4416364186394927,BERT
28,21,0.9970383458110903,4,0.0,BERT
24,24,0.9970355603880396,8,0.0,BERT
20,22,0.9970228677639383,2,0.4416364186394927,BERT
23,23,0.9970223483490765,2,0.4416364186394927,BERT
24,23,0.9970192180562211,2,0.4416364186394927,BERT
21,27,0.997016828233394,2,0.4416364186394927,BERT
30,21,0.9970248089834608,2,0.4416364186394927,BERT
24,30,0.9970418641592235,2,0.4416364186394927,BERT
19,19,0.9970281997867334,2,0.4416364186394927,BERT
21,22,0.9970167430441889,8,0.0,BERT
26,26,0.9970414584802428,4,0.0,BERT
18,17,0.997002124126268,4,0.0,BERT
25,19,0.9970118559249048,2,0.4416364186394927,BERT
23,24,0.9970253545179953,2,0.4416364186394927,BERT
22,23,0.9970197404877015,2,0.4416364186394927,BERT
29,27,0.9970106458485588,2,0.4416364186394927,BERT
17,17,0.9970310862922058,16,0.0,BERT
20,21,0.9970206195557226,16,0.0,BERT
26,25,0.9970000573601553,2,0.4416364186394927,BERT
14,23,0.997031875871468,2,0.4224210992239062,BERT
23,28,0.9970128204056773,16,0.0,BERT
15,20,0.9970239616402097,2,0.4416364186394927,BERT
18,16,0.9970347832977594,4,0.0,BERT
21,26,0.9970159629639124,2,0.4416364186394927,BERT
22,27,0.997008027521127,2,0.4416364186394927,BERT
20,23,0.9970206709243459,2,0.4416364186394927,BERT
25,25,0.997016096171502,2,0.4416364186394927,BERT
27,29,0.9970287720834962,2,0.4416364186394927,BERT
23,22,0.997006357078843,2,0.4416364186394927,BERT
19,19,0.9970229654236902,8,0.0008380032763368497,BERT
17,27,0.9970286903153562,2,0.4067197391304288,BERT
25,18,0.9970158784709722,16,0.1914998386900291,BERT
21,24,0.9970266521876896,2,0.4416364186394927,BERT
29,21,0.9970240303468584,2,0.4416364186394927,BERT
30,22,0.9970194448345873,2,0.4416364186394927,BERT
27,20,0.9970099821676675,2,0.4416364186394927,BERT
24,26,0.9970301980340185,2,0.4416364186394927,BERT
30,15,0.9970348937459377,2,0.0,BERT
22,30,0.9970136649107909,2,0.4416364186394927,BERT
28,25,0.9970262469145376,8,0.0,BERT
20,13,0.9970434656610374,4,0.0,BERT
26,20,0.9970366351825475,2,0.4416364186394927,BERT
1,24,0.9970045915206228,2,0.0,BERT
24,30,0.9970401263884512,2,0.4416364186394927,BERT
12,28,0.9970447698006735,2,0.5544466579837491,BERT
8,28,0.9970471756558894,2,0.022888704490528898,BERT
12,22,0.9970322767025109,2,0.4074948317302358,BERT
13,28,0.997022191231502,2,0.5682974747607699,BERT
13,28,0.997017999357306,2,0.5682974747607699,BERT
12,28,0.9970509914033072,2,0.5547035449441753,BERT
13,29,0.9970498588213119,2,0.5629124175599849,BERT
13,28,0.997051468174245,8,0.1354884123723427,BERT
11,28,0.9970551584165095,2,0.5081320006339617,BERT
11,29,0.9970529108384518,2,0.6056554132452527,BERT
11,29,0.9970547080911215,2,0.6056554132452527,BERT
11,29,0.9970600297483536,2,0.6056554132452527,BERT
10,29,0.997057362458659,2,0.45687563694136496,BERT
13,29,0.9970466680860351,2,0.5629124175599849,BERT
14,30,0.9970507256115243,2,0.39505233154648645,BERT
15,29,0.9970603115150201,16,0.0,BERT
13,29,0.9970648342186739,2,0.5629124175599849,BERT
9,29,0.9970674326663259,4,0.38676088892977933,BERT
13,3,0.9970538645159324,2,0.0,BERT
11,29,0.9970481703200373,2,0.6056554132452527,BERT
11,30,0.9970461959606581,2,0.5871241744139579,BERT
11,30,0.9970478071971828,2,0.58734895169187,BERT
11,30,0.9970488868132593,2,0.5882259013182611,BERT
11,30,0.9970460000014166,2,0.5871241744139579,BERT
6,30,0.9970450809092049,2,0.0,BERT
10,27,0.9970473202590566,2,0.6177646631961976,BERT
9,26,0.9970485037310393,2,0.44858612493536193,BERT
11,30,0.9970529324179557,2,0.5882259013182611,BERT
10,27,0.9970529935159296,16,0.0,BERT
11,30,0.9970491057627191,2,0.5882259013182611,BERT
7,30,0.9970489584370679,2,0.0,BERT
8,27,0.9970576080174447,2,0.09283891806928599,BERT
11,30,0.9970425525863892,2,0.5871241744139579,BERT
10,9,0.9970469290458375,2,0.42408898878255613,BERT
8,29,0.997052453273586,8,0.0,BERT
11,27,0.9970491314674825,2,0.5305069866953457,BERT
12,26,0.9970556702228,4,0.008290405002166917,BERT
4,30,0.9970398982080533,2,0.0,BERT
10,29,0.9970435791719787,2,0.4567247005246207,BERT
11,30,0.9970517381718158,2,0.5882259013182611,BERT
9,30,0.9970516559825436,2,0.09464057738474585,BERT
12,29,0.9970479403122541,2,0.5334274698988902,BERT
11,28,0.997053676121916,2,0.5081320006339617,BERT
10,30,0.997049442182314,2,0.39007278367526993,BERT
14,27,0.9970548588136713,2,0.4067095926481051,BERT
9,29,0.9970445097147557,2,0.16966874357650946,BERT
12,28,0.9970520253386513,2,0.5547035449441753,BERT
11,30,0.9970565988748509,2,0.5882259013182611,BERT
8,29,0.9970577018706641,2,0.0,BERT
11,30,0.9970502696554607,2,0.5882259013182611,BERT
9,30,0.9970560635845405,2,0.09464057738474585,BERT
10,28,0.9970506859010367,2,0.5358798200390735,BERT
14,29,0.9970534361986966,2,0.3980200710195102,BERT
11,27,0.9970590727534031,2,0.5305069866953457,BERT
12,30,0.9970555621501112,16,0.0,BERT
10,28,0.9970478821755674,2,0.5352102811047865,BERT
11,29,0.9970598885572346,2,0.6056554132452527,BERT
7,29,0.9970586134665852,8,0.0,BERT
12,26,0.9970608064034754,4,0.008290405002166917,BERT
11,30,0.9970565586068239,2,0.5882259013182611,BERT
9,29,0.9970618447231205,2,0.18387478941366378,BERT
10,30,0.9970561117870771,2,0.39007278367526993,BERT
11,28,0.9970592834507893,2,0.5081320006339617,BERT
12,28,0.997053706484501,2,0.5547035449441753,BERT
9,29,0.9970629301104985,2,0.18387478941366378,BERT
11,30,0.9970505240613603,2,0.5882259013182611,BERT
15,27,0.997056906690205,2,0.4074948317302358,BERT
8,29,0.9970543108150687,2,0.0,BERT
10,30,0.9970516210272146,2,0.39007278367526993,BERT
11,30,0.9970490680079511,2,0.5882259013182611,BERT
12,30,0.9970522030173418,2,0.6501871608588883,BERT
13,29,0.9970593342925042,2,0.5629124175599849,BERT
12,28,0.9970530350893838,2,0.5547035449441753,BERT
10,30,0.9970570557827773,2,0.39007278367526993,BERT
11,29,0.9970463773522397,2,0.6054358439557304,BERT
14,29,0.9970455420699567,2,0.3980200710195102,BERT
12,28,0.9970432293318321,2,0.5544466579837491,BERT
13,29,0.9970413212129697,2,0.5629124175599849,BERT
9,27,0.9970497198094646,8,0.0677864363549651,BERT
11,30,0.9970516159950595,2,0.5882259013182611,BERT
11,30,0.9970552162279164,2,0.5882259013182611,BERT
10,29,0.9970460311895899,2,0.4567247005246207,BERT
12,28,0.9970530190606512,2,0.5547035449441753,BERT
11,29,0.997047358970814,2,0.6056554132452527,BERT
10,29,0.9970483085625139,16,0.0,BERT
12,27,0.9970502098623919,2,0.5632449234657322,BERT
11,28,0.9970471685915796,2,0.5081320006339617,BERT
13,1,0.997044155216751,2,0.0,BERT
10,29,0.9970519734944376,4,0.32819424558344007,BERT
11,30,0.99705723688269,2,0.5882259013182611,BERT
12,30,0.9970548021389322,2,0.6501871608588883,BERT
12,30,0.9970537713639004,2,0.6501871608588883,BERT
12,29,0.9970607653582115,2,0.533852946848963,BERT
13,28,0.9970543685177671,2,0.570831408416064,BERT
9,30,0.9970459972141406,2,0.05114825326702633,BERT
12,6,0.9970638167379309,2,0.062384710615101084,BERT
10,29,0.9970549435229367,2,0.45687563694136496,BERT
11,30,0.9970592633332638,2,0.5882259013182611,BERT
16,29,0.9970485616022843,2,0.40713812980302844,BERT
12,30,0.9970502088392914,2,0.6422356269448326,BERT
13,30,0.9970520692539474,2,0.5539796360287503,BERT
12,29,0.9970502066756789,2,0.5334274698988902,BERT
14,28,0.9970535249980716,2,0.4018745539039201,BERT
10,30,0.997044503959383,2,0.38412980750806236,BERT
12,30,0.9970475091446732,2,0.6422356269448326,BERT
12,29,0.9970476326248777,2,0.5334274698988902,BERT
13,10,0.9970423505234628,2,0.4416364186394927,BERT
11,28,0.9970471804723462,2,0.5081320006339617,BERT
12,30,0.9970499384973832,2,0.6422356269448326,BERT
12,30,0.9970499087986856,2,0.6422356269448326,BERT
12,30,0.9970487814389934,2,0.6422356269448326,BERT
12,30,0.997045687685033,2,0.6422356269448326,BERT
13,29,0.9970460036324966,2,0.5629124175599849,BERT
12,29,0.9970412827810536,2,0.5329663372935635,BERT
14,30,0.9970445398520786,2,0.39505233154648645,BERT
12,30,0.9970492454778216,2,0.6422356269448326,BERT
15,28,0.9970392012876231,16,0.0,BERT
13,29,0.9970502859919648,8,0.13521330143869895,BERT
12,30,0.9970470938314864,2,0.6422356269448326,BERT
12,30,0.9970467771698024,2,0.6422356269448326,BERT
12,30,0.99704801321561,2,0.6422356269448326,BERT
12,30,0.9970430302559263,2,0.6422356269448326,BERT
12,30,0.9970439721420111,2,0.6422356269448326,BERT
14,30,0.9970427148834254,2,0.39505233154648645,BERT
12,30,0.9970383327722971,2,0.6663268243511161,BERT
12,30,0.9970402761943443,2,0.6418037389317007,BERT
13,30,0.9970413318564263,2,0.5539796360287503,BERT
12,30,0.9970397796931141,4,0.023199823879846263,BERT
13,30,0.9970384005326207,2,0.5539796360287503,BERT
12,30,0.9970440678380564,2,0.6422356269448326,BERT
12,30,0.9970435637181012,2,0.6422356269448326,BERT
12,30,0.9970362537214461,2,0.6659430126769907,BERT
12,30,0.9970380469810903,2,0.6663268243511161,BERT
12,30,0.9970370629839724,2,0.6663268243511161,BERT
13,30,0.9970373664150943,2,0.5539796360287503,BERT
14,30,0.9970352475428944,2,0.39445553560967683,BERT
12,30,0.997036102117015,2,0.6659430126769907,BERT
13,30,0.9970368090952054,2,0.5539796360287503,BERT
4,20,0.9970898788419523,2,0.0,word2vec
11,25,0.9970584566318413,8,0.1542231166665368,word2vec
3,5,0.9970059925677128,2,0.3953400214433456,word2vec
28,10,0.9970146661887352,8,0.0,word2vec
6,16,0.9970446520868622,16,0.0,word2vec
9,16,0.9970672982173625,4,0.0007519618665563127,word2vec
