min_cluster_size,rho,beta,tsne_n_components,NMI,embedding
80,1.108252268979499,0.2893741073683429,16,0.033419591410026595,BERT
11,1.1336262931443926,0.1694501093476589,4,0.45452091914098525,BERT
125,0.7503036244265988,0.3063111453132642,4,0.0,BERT
49,1.159369470605995,0.5841961162622094,4,0.7050987179627518,BERT
124,0.9141275382521119,0.5909756862508067,2,0.638595797584657,BERT
14,1.4351865473299426,0.5289916569680637,16,0.3352088503534323,BERT
172,1.6221063722675784,0.46663932601815683,16,0.06675776031536935,BERT
173,0.636728820845555,0.18304091663726277,8,0.0,BERT
171,0.3944088542726136,0.4623784180603294,2,0.4133783531044758,BERT
56,1.2054214512068502,0.47575868687788303,16,0.23103715432000319,BERT
66,1.9036277100306305,0.3892106095241516,4,0.582071654703858,BERT
121,0.17559458174421527,0.5682185468235325,2,0.5636982554648132,BERT
109,0.8467322014912502,0.5978986087897734,2,0.7062845738658708,BERT
41,0.7110676864533505,0.5992846677159238,8,0.007280975440874774,BERT
95,0.9312428258985037,0.516119974487572,2,0.6662264577658873,BERT
39,1.3557202289439019,0.4089144395482689,4,0.6769333576690151,BERT
141,0.49287082544276434,0.5395712437680401,2,0.3729747293661922,BERT
95,0.962483904592578,0.5386918448930903,4,0.06930539699144808,BERT
150,0.8618191799962736,0.5929602005451512,8,0.0,BERT
69,0.10785642926058336,0.5108408782766656,2,0.5567920822530179,BERT
30,1.2778100617797936,0.4502970736097547,4,0.657454727131695,BERT
41,1.400723638280135,0.39745037709702435,4,0.6623349843963754,BERT
106,1.0407708700926224,0.5536782875110524,4,0.06588358907377409,BERT
50,1.339363441180716,0.4972415879826025,4,0.67012828595372,BERT
80,1.56485275132536,0.42225855985096833,4,0.6984201000612817,BERT
81,1.5576777252523153,0.5626652274050022,4,0.7217284075867099,BERT
193,1.1712974720579177,0.5645612106948262,2,0.594389423998031,BERT
105,1.0497188005705804,0.5967615872602129,8,0.0,BERT
