min_samples,eps,tsne_n_components,NMI,embedding
10,0.7924608755398219,8,0.0,BERT
8,0.937497286396193,2,0.016379885049788448,BERT
7,0.5044010557039663,4,0.0,BERT
7,0.815464817312797,16,0.0,BERT
5,0.2992478698155919,4,0.0,BERT
10,0.18368869754897876,8,0.0,BERT
9,0.16328788638853362,2,0.0,BERT
10,0.2692560800384122,4,0.0,BERT
5,0.32610504054282335,16,0.0,BERT
8,0.6740932724260292,4,0.0,BERT
8,0.9950626847541276,2,0.026386236374788916,BERT
8,0.9821615424801529,2,0.024088441527980845,BERT
6,0.996172131425494,2,0.10050442979734066,BERT
6,0.9873723310558433,2,0.09316717472128876,BERT
6,0.8517968076045357,2,0.048660116182860376,BERT
6,0.674735729931391,2,0.010603730396776064,BERT
6,0.9104121197049222,2,0.06923916888060584,BERT
6,0.8848484680499054,2,0.05653573876125893,BERT
5,0.7530747983689876,8,0.0,BERT
7,0.8999086364426008,16,0.0,BERT
6,0.9996541491586501,2,0.10050442979734066,BERT
6,0.999863565796831,2,0.10050442979734066,BERT
5,0.9929783677891943,2,0.2005386360845506,BERT
5,0.8969016299913936,2,0.13088209772669476,BERT
5,0.8756740663117645,2,0.12300240535335988,BERT
5,0.8520351257985,2,0.10435289059610368,BERT
5,0.7496580770174103,2,0.05142111237678299,BERT
5,0.8930202963232061,8,0.0,BERT
5,0.9211229050431122,16,0.0,BERT
5,0.8169341855391299,8,0.0,BERT
7,0.7597465642975108,2,0.005821117005222323,BERT
5,0.8373861303424537,2,0.09887426091484798,BERT
5,0.861889209892436,2,0.11082042586716359,BERT
5,0.9325164625763049,2,0.14931574759524452,BERT
5,0.9280509793237932,2,0.14844713022877568,BERT
7,0.9431374862896506,2,0.04396292071621023,BERT
5,0.9146779344594455,4,0.0,BERT
6,0.9346188922597076,2,0.08324745038513491,BERT
9,0.9462328046970552,16,0.0,BERT
5,0.795649719395966,4,0.0,BERT
6,0.948756689087535,2,0.08809480920988598,BERT
5,0.875319516627019,2,0.12062476628619277,BERT
5,0.8223140726503028,2,0.08954353891001084,BERT
5,0.937188886218316,2,0.15499025841650343,BERT
5,0.9550973503026247,2,0.16792443302725352,BERT
5,0.9464372774617199,8,0.0,BERT
6,0.9654813755106666,2,0.09316717472128876,BERT
9,0.9491771199685695,4,0.0,BERT
6,0.9569222116437391,2,0.09194052726329598,BERT
5,0.7896079236716043,16,0.0,BERT
10,0.5250066695393087,2,0.0,BERT
5,0.9035424978034071,2,0.13136964570766763,BERT
5,0.9133973448717168,2,0.13881417385217565,BERT
5,0.9700902222484923,2,0.18114211154333668,BERT
5,0.9945758173078797,2,0.20260365467635258,BERT
6,0.9795254661203932,2,0.09316717472128876,BERT
6,0.9982143785779781,2,0.10050442979734066,BERT
5,0.9708911913481774,2,0.1833467856479977,BERT
5,0.9756072197107943,2,0.18371554671478713,BERT
6,0.969553088835135,8,0.0,BERT
5,0.8589333667762225,2,0.11082042586716359,BERT
5,0.9986579880637043,2,0.20409114788337784,BERT
5,0.9702792009904897,2,0.18114211154333668,BERT
5,0.9778012814702393,2,0.18448083337100696,BERT
5,0.9982709665622161,2,0.20409114788337784,BERT
5,0.9999753052047571,2,0.2044586688016513,BERT
6,0.9997618614530455,16,0.0,BERT
5,0.8925117514595251,4,0.0,BERT
7,0.8837796516535503,2,0.03833074480841339,BERT
5,0.9995679125694846,2,0.2044586688016513,BERT
6,0.9045291462756411,2,0.06539464530276773,BERT
5,0.9957461936950877,2,0.20260365467635258,BERT
5,0.9980087400127177,2,0.20409114788337784,BERT
5,0.9967652659580389,2,0.20260365467635258,BERT
5,0.9999748103903241,2,0.2044586688016513,BERT
5,0.9268379013790881,2,0.14844713022877568,BERT
5,0.9225890924261776,2,0.14423177520389693,BERT
5,0.996005441063246,8,0.0,BERT
8,0.9549195094224426,2,0.024088441527980845,BERT
5,0.8734011612202816,2,0.12062476628619277,BERT
6,0.9274193837182125,2,0.07987641225607599,BERT
5,0.9973695410475996,2,0.2026036546763526,BERT
5,0.9738616348221716,2,0.1833467856479977,BERT
5,0.9970939868299541,2,0.20260365467635258,BERT
5,0.9531184863547122,2,0.16598874901423494,BERT
5,0.9068750948661387,2,0.13386985695822803,BERT
5,0.9449858928532372,4,0.0,BERT
5,0.9788969995496739,16,0.0,BERT
5,0.9293699827195406,2,0.14931574759524452,BERT
6,0.9597422075657341,2,0.09255193960673931,BERT
5,0.8443676567605805,2,0.09887426091484798,BERT
5,0.9982296536721572,2,0.20409114788337784,BERT
5,0.9974821314663874,2,0.2026036546763526,BERT
5,0.9768875423117531,2,0.18371554671478713,BERT
5,0.9455106822540902,2,0.1616449561501014,BERT
5,0.9818717385220529,2,0.19027729955169484,BERT
5,0.9602333789730213,2,0.17095475138266006,BERT
5,0.9178720309487247,8,0.0,BERT
5,0.9382486839054724,2,0.15499025841650343,BERT
5,0.8914047876501078,2,0.13088209772669476,BERT
5,0.9835262354048109,2,0.19103068188016728,BERT
5,0.998813143869135,2,0.20409114788337784,BERT
5,0.9645526771954029,2,0.17556057340837883,BERT
5,0.9822320047598307,2,0.19027729955169484,BERT
5,0.9591767043822672,2,0.17095475138266006,BERT
5,0.98712875904827,2,0.19438588625009529,BERT
9,0.9408880421406745,16,0.0,BERT
5,0.9193688274281564,4,0.0,BERT
5,0.9627084630618891,2,0.17556057340837883,BERT
6,0.9929286131041024,2,0.09740508778128865,BERT
5,0.9342173167105454,2,0.14931574759524452,BERT
5,0.9955702575702131,2,0.20260365467635258,BERT
5,0.9983544502978118,2,0.20409114788337784,BERT
5,0.971960438733604,2,0.1833467856479977,BERT
5,0.9809963883358241,2,0.18853538647929574,BERT
5,0.9989385553599899,2,0.20409114788337784,BERT
10,0.9992955997459195,2,0.0,BERT
