min_cluster_size,min_samples,tsne_n_components,NMI,embedding
51,128,2,0.5941580085554298,BERT
57,159,8,0.0,BERT
81,122,4,0.0,BERT
142,176,8,0.0,BERT
73,130,2,0.5932467941149546,BERT
142,56,4,0.0,BERT
160,64,8,0.0,BERT
94,117,2,0.6415340718408292,BERT
184,110,8,0.0,BERT
18,34,2,0.4416364186394927,BERT
113,88,16,0.0,BERT
41,148,2,0.5500313839987978,BERT
106,91,2,0.6658315947603077,BERT
107,5,2,0.4416364186394927,BERT
96,86,16,0.0,BERT
129,95,2,0.38164375578599985,BERT
87,188,2,0.2876637496078073,BERT
118,65,2,0.7036034732936073,BERT
190,55,4,0.0,BERT
121,30,16,0.0,BERT
163,77,2,0.7257090682843921,BERT
169,73,2,0.4416364186394927,BERT
146,40,2,0.4416364186394927,BERT
167,73,2,0.4416364186394927,BERT
123,100,2,0.6530206026191098,BERT
133,76,2,0.4416364186394927,BERT
154,6,2,0.4416364186394927,BERT
176,52,16,0.0,BERT
107,107,4,0.0,BERT
64,131,2,0.5892916692075185,BERT
7,21,2,0.765721187317324,BERT
14,27,2,0.7240518352633608,BERT
13,18,2,0.4059266552001033,BERT
34,17,2,0.40622479961234764,BERT
25,44,8,0.0,BERT
6,22,2,0.7631236331674155,BERT
8,18,4,0.4271281910324774,BERT
47,27,2,0.7240518352633608,BERT
31,44,8,0.0,BERT
56,26,2,0.4021897092807726,BERT
7,13,2,0.40535732609047,BERT
20,25,2,0.753794645556397,BERT
24,35,2,0.4416364186394927,BERT
17,48,2,0.39805699968434466,BERT
68,25,2,0.7640748013140881,BERT
69,60,8,0.0,BERT
78,37,4,0.20120990942087447,BERT
35,154,2,0.5416303525689049,BERT
47,9,16,0.04690374921882845,BERT
27,23,2,0.4053251311026434,BERT
58,168,2,0.30361538273879435,BERT
18,27,2,0.7240518352633608,BERT
5,34,2,0.4416364186394927,BERT
41,21,2,0.7524335939665243,BERT
42,12,2,0.40559773929929077,BERT
88,20,2,0.6676272576027663,BERT
37,40,2,0.4416364186394927,BERT
24,50,16,0.0,BERT
53,62,2,0.6491335949512655,BERT
11,79,8,0.0,BERT
21,5,2,0.40707716496389973,BERT
15,29,2,0.735451275347198,BERT
41,13,2,0.40535732609047,BERT
29,32,2,0.7841544086562097,BERT
29,31,2,0.4416364186394927,BERT
17,22,2,0.7631236331674155,BERT
20,21,4,0.04230030287066526,BERT
63,41,2,0.4090409739787123,BERT
5,15,2,0.40563914157379766,BERT
40,22,2,0.7485104662751316,BERT
28,136,16,0.0,BERT
46,22,2,0.7485104662751316,BERT
35,33,2,0.7222354231367512,BERT
15,8,2,0.40535732609047,BERT
11,23,2,0.4053251311026434,BERT
40,46,2,0.4416364186394927,BERT
21,37,2,0.4416364186394927,BERT
33,54,2,0.3937061444617652,BERT
50,16,2,0.4064123657562873,BERT
74,10,8,0.23400897994735753,BERT
10,30,4,0.3113594949906003,BERT
44,23,2,0.4053251311026434,BERT
30,20,2,0.6574854366595051,BERT
61,24,2,0.40333810454835495,BERT
68,17,2,0.40622479961234764,BERT
50,37,2,0.4416364186394927,BERT
24,11,2,0.4051383943458583,BERT
38,31,2,0.4416364186394927,BERT
18,42,2,0.4003801131062072,BERT
47,23,2,0.4053251311026434,BERT
53,5,16,0.1464341086334112,BERT
