n_clusters,tsne_n_components,NMI,embedding
3,8,0.47115174564944673,BERT
4,8,0.5039594924998152,BERT
4,2,0.7292593667395977,BERT
3,16,0.4652120306223513,BERT
4,8,0.5000292077113345,BERT
5,16,0.41118509536020753,BERT
6,2,0.8036629024587891,BERT
3,8,0.458323943801597,BERT
4,2,0.7292593667395977,BERT
2,4,0.42858841623326704,BERT
6,2,0.8045053083316426,BERT
6,2,0.8027782299206467,BERT
6,2,0.8033047662000865,BERT
6,2,0.8033047662000865,BERT
5,4,0.5959251039084487,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258107,BERT
5,2,0.8404544950729728,BERT
5,16,0.4102062955434706,BERT
5,4,0.5959251039084488,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
4,2,0.7292593667395977,BERT
5,2,0.8386516289258107,BERT
4,2,0.7292593667395977,BERT
5,2,0.8404544950729728,BERT
6,4,0.5406583850801624,BERT
5,16,0.41074352065971864,BERT
4,8,0.5060950374330081,BERT
2,2,0.4329738385652924,BERT
5,2,0.8386516289258107,BERT
5,2,0.840454495072973,BERT
4,2,0.7292593667395977,BERT
6,2,0.802826426206466,BERT
4,8,0.5096559547900118,BERT
5,2,0.8386516289258108,BERT
3,16,0.46196643351501127,BERT
5,2,0.8392013915285553,BERT
4,8,0.5039594924998151,BERT
6,2,0.8043239689545612,BERT
5,2,0.8386516289258108,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258106,BERT
5,2,0.8386516289258108,BERT
6,2,0.8033047662000865,BERT
4,4,0.5729131883863497,BERT
5,2,0.8392013915285552,BERT
6,16,0.4160766441433971,BERT
5,2,0.8404544950729727,BERT
4,8,0.4999853896652493,BERT
5,2,0.839201391528555,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,2,0.839201391528555,BERT
6,2,0.8033047662000864,BERT
5,2,0.8404544950729728,BERT
6,4,0.5391926719906887,BERT
5,2,0.8392013915285552,BERT
4,2,0.7292593667395977,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,16,0.41074352065971864,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
2,2,0.4341510657915014,BERT
6,4,0.5403693422444056,BERT
4,2,0.7292593667395977,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,8,0.5044599658243102,BERT
5,2,0.8386516289258108,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258106,BERT
5,16,0.4027751091320757,BERT
4,2,0.7292593667395977,BERT
5,2,0.8386516289258108,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258108,BERT
3,2,0.6257620482212515,BERT
5,2,0.8392013915285551,BERT
5,2,0.8404544950729728,BERT
5,8,0.4996373214735534,BERT
6,2,0.8033047662000865,BERT
5,4,0.5953900551501466,BERT
5,2,0.839201391528555,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.8392013915285552,BERT
5,2,0.8386516289258108,BERT
5,2,0.839201391528555,BERT
5,16,0.40423588500421087,BERT
6,2,0.8033047662000865,BERT
4,2,0.7292593667395977,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285552,BERT
5,2,0.8392013915285552,BERT
5,2,0.8392013915285553,BERT
5,2,0.8404544950729727,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,8,0.5018528512504614,BERT
5,4,0.5972749038370443,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.840454495072973,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.8392013915285553,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285552,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285552,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258107,BERT
5,16,0.41074352065971864,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258106,BERT
5,2,0.8392013915285551,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258107,BERT
5,2,0.839201391528555,BERT
5,2,0.8404544950729727,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,8,0.5025683486834228,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
3,4,0.44747518317247675,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258106,BERT
5,2,0.8386516289258106,BERT
5,2,0.8386516289258108,BERT
5,2,0.840454495072973,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258106,BERT
5,2,0.8404544950729727,BERT
5,2,0.839201391528555,BERT
5,16,0.40632520893046803,BERT
5,2,0.8399868406862689,BERT
5,2,0.8386516289258106,BERT
5,2,0.8404544950729728,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285552,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258106,BERT
5,2,0.8386516289258108,BERT
5,2,0.8404544950729727,BERT
5,2,0.8392013915285552,BERT
5,2,0.8392013915285551,BERT
5,2,0.8404544950729727,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285553,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258106,BERT
5,2,0.8404544950729728,BERT
5,8,0.5016724943390914,BERT
5,2,0.8386516289258107,BERT
5,4,0.5959251039084487,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258107,BERT
5,2,0.840454495072973,BERT
5,2,0.8386516289258108,BERT
5,2,0.8386516289258108,BERT
5,2,0.839201391528555,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258107,BERT
5,2,0.839201391528555,BERT
5,2,0.8386516289258107,BERT
5,2,0.8392013915285551,BERT
5,2,0.8386516289258107,BERT
5,2,0.8386516289258108,BERT
5,2,0.8392013915285551,BERT
5,2,0.839201391528555,BERT
