min_samples,xi,tsne_n_components,NMI,embedding
181,0.6651729331866446,8,0.0,BERT
47,0.37751070274092524,16,0.0,BERT
87,0.26114538816163385,4,0.0,BERT
112,0.3032136575059981,16,0.0,BERT
163,0.11896462586319898,16,0.0,BERT
127,0.508270855809624,16,0.0,BERT
162,0.31792529342146525,4,0.0,BERT
118,0.05301059716633458,8,0.0,BERT
34,0.4241824674663919,16,0.0,BERT
189,0.05264355973035006,8,0.0,BERT
70,0.7365442450987536,2,0.0,BERT
8,0.6753201583430437,8,0.0,BERT
56,0.585129922270508,2,0.0,BERT
39,0.8377966077140289,8,0.0,BERT
195,0.882424766340592,16,0.0,BERT
145,0.6112751058730769,8,0.0,BERT
91,0.4385281380536589,2,0.0,BERT
5,0.7486949813836513,4,0.0,BERT
69,0.5488894826727013,16,0.0,BERT
32,0.43293504117570314,8,0.0,BERT
147,0.6463328802575796,16,0.0,BERT
88,0.29374350670118404,4,0.0,BERT
82,0.3503882352666333,4,0.0,BERT
107,0.21192867757393308,4,0.0,BERT
47,0.5077474461852457,4,0.0,BERT
64,0.20309206154540574,4,0.0,BERT
129,0.3802999229587076,8,0.0,BERT
98,0.48982323437118624,2,0.0,BERT
19,0.5558874023049771,16,0.0,BERT
75,0.24968508017913899,8,0.0,BERT
49,0.3749369450098179,4,0.0,BERT
178,0.17745405529410344,16,0.0,BERT
108,0.2795553440675242,16,0.0,BERT
145,0.3307025578392866,16,0.0,BERT
165,0.3823322790774739,16,0.0,BERT
129,0.12112555833022842,16,0.0,BERT
118,0.29811840688618174,16,0.0,BERT
165,0.47578267488651393,16,0.0,BERT
26,0.3962487856247129,8,0.0,BERT
117,0.3292209640638272,4,0.0,BERT
182,0.2489068606902526,2,0.0,BERT
177,0.13110311879096906,16,0.0,BERT
151,0.07841093235614363,16,0.0,BERT
156,0.4299033882781177,16,0.0,BERT
135,0.16648581219634712,8,0.0,BERT
189,0.26375822416689604,16,0.0,BERT
57,0.011465228030778513,8,0.0,BERT
171,0.45934104120536745,2,0.0,BERT
137,0.22164806895971528,16,0.0,BERT
158,0.3064467237693127,8,0.0,BERT
81,0.3427337349959612,4,0.0,BERT
99,0.6973165371005098,16,0.0,BERT
117,0.6045366474286198,16,0.0,BERT
106,0.5238605740066039,16,0.0,BERT
194,0.41072111584008386,16,0.0,BERT
87,0.45867679507163217,4,0.0,BERT
124,0.3616704133988654,16,0.0,BERT
94,0.5699943253163198,8,0.0,BERT
14,0.5141460726380337,2,0.0,BERT
138,0.30880833888157677,4,0.0,BERT
111,0.4110436621431173,16,0.0,BERT
165,0.2389608632984443,4,0.0,BERT
156,0.264303855726138,4,0.0,BERT
185,0.34912492739235224,4,0.0,BERT
39,0.2949669605470329,4,0.0,BERT
174,0.38607107598221657,8,0.0,BERT
171,0.6423685871653593,16,0.0,BERT
71,0.43878159088551044,4,0.0,BERT
62,0.31906854941763085,16,0.0,BERT
125,0.2795495693842637,16,0.0,BERT
148,0.3566890234373746,2,0.0,BERT
140,0.07618512618440815,8,0.0,BERT
103,0.23468914211651576,8,0.0,BERT
130,0.21189693478404775,8,0.0,BERT
119,0.17108460731692443,8,0.0,BERT
49,0.19726148672566063,8,0.0,BERT
112,0.7804524566796603,16,0.0,BERT
163,0.1255331895796547,4,0.0,BERT
80,0.028529723771401727,16,0.0,BERT
92,0.3235004423470842,8,0.0,BERT
181,0.27417022173319616,16,0.0,BERT
30,0.39276402144549166,16,0.0,BERT
20,0.37217911485486027,16,0.0,BERT
37,0.5427498649770999,16,0.0,BERT
44,0.49409196646329456,16,0.0,BERT
133,0.34652424537033855,4,0.0,BERT
189,0.4237006769314671,16,0.0,BERT
112,0.4444668876488347,2,0.0,BERT
124,0.4859098422329652,8,0.0,BERT
55,0.4084278384733674,16,0.0,BERT
25,0.2888066285238027,4,0.0,BERT
191,0.07120827158896066,8,0.0,BERT
169,0.332254857761328,8,0.0,BERT
142,0.37289024425080425,8,0.0,BERT
186,0.10497177861019066,8,0.0,BERT
175,0.04798518724071843,16,0.0,BERT
181,0.2533913618695951,4,0.0,BERT
160,0.14911380449981337,16,0.0,BERT
154,0.1963907189430325,8,0.0,BERT
195,0.47368909423934424,16,0.0,BERT
150,0.10096494152851518,4,0.0,BERT
76,0.7271245884631333,2,0.0,BERT
64,0.30574737562221793,2,0.0,BERT
102,0.05678054380862635,2,0.4092671920016742,BERT
97,0.04777078787346824,2,0.40980111424993865,BERT
94,0.01008894578170498,2,0.5793082277516195,BERT
99,0.044616956009074754,2,0.41539418679545126,BERT
95,0.042346902443777,2,0.5465611074401493,BERT
86,0.028510764816872813,2,0.5332089777903717,BERT
85,0.010808020693936049,2,0.6001863469061396,BERT
86,0.022422308709626325,2,0.7015004958981098,BERT
96,0.011274049515372482,2,0.570888762605799,BERT
95,0.011078923701301577,2,0.6584033255349901,BERT
87,0.013918179249952969,2,0.7589654969258549,BERT
96,0.014507910181966814,2,0.7527027453147376,BERT
87,0.013382474381773982,2,0.7589654969258549,BERT
97,0.011000306801697845,2,0.7302719595409347,BERT
84,0.013746302824275611,2,0.651676966056778,BERT
86,0.010990538717697953,2,0.506725772854079,BERT
90,0.025848454698187716,2,0.6826415108381972,BERT
90,0.0276188725097581,2,0.6826415108381972,BERT
90,0.026761969820166,2,0.6826415108381972,BERT
89,0.011489392069460347,2,0.7090288365335706,BERT
91,0.027031826761546564,2,0.7044809798140054,BERT
77,0.025994952943387953,2,0.667825100028786,BERT
77,0.03449971149542175,2,0.612458382044228,BERT
90,0.06456082706488114,2,0.4168419996668289,BERT
81,0.0292203440539436,2,0.7508387571974648,BERT
71,0.08667091284395378,2,0.40819721044806406,BERT
80,0.05910734104458676,2,0.4102844032399805,BERT
104,0.035344238247302075,2,0.7187630436821801,BERT
90,0.030475257559705305,2,0.6826415108381972,BERT
