k,nc,tsne_n_components,NMI,embedding
24,6,8,0.49524718109378124,BERT
15,6,8,0.570439500917993,BERT
17,6,16,0.06083282026389601,BERT
7,6,8,0.4657674032454012,BERT
19,6,4,0.7038216969803311,BERT
37,6,2,0.6775368621267064,BERT
41,6,2,0.7582970199185064,BERT
18,6,8,0.5108552449641203,BERT
17,6,8,0.5115173370098628,BERT
18,6,16,0.31356092694096455,BERT
50,6,2,0.7918553297575304,BERT
48,6,2,0.7737074468359295,BERT
50,6,2,0.7918553297575304,BERT
49,6,2,0.7761254778390981,BERT
37,6,2,0.6775368621267064,BERT
43,6,4,0.45811881037307617,BERT
31,6,2,0.7944895777991309,BERT
32,6,2,0.8032738688032017,BERT
30,6,2,0.8031078974354555,BERT
29,6,16,0.2866273991109262,BERT
33,6,4,0.42115179970671646,BERT
28,6,2,0.7997857839699406,BERT
25,6,2,0.7992687843869002,BERT
24,6,2,0.8092395082789308,BERT
22,6,2,0.8022522932651033,BERT
33,6,2,0.7927546592144973,BERT
11,6,2,0.7384407571641627,BERT
37,6,2,0.6775368621267064,BERT
26,6,16,0.3366969703194847,BERT
21,6,4,0.6314525544884048,BERT
23,6,2,0.8056454652559768,BERT
23,6,2,0.8056454652559768,BERT
23,6,2,0.8056454652559768,BERT
14,6,2,0.7359664835178658,BERT
23,6,8,0.5180876212690526,BERT
25,6,2,0.7992687843869002,BERT
14,6,16,0.06089905191788922,BERT
21,6,2,0.6853422561981257,BERT
11,6,8,0.5493573840879065,BERT
6,6,4,0.4113183867485568,BERT
20,6,2,0.6784869711782034,BERT
27,6,2,0.8039379180703143,BERT
27,6,2,0.8039379180703143,BERT
23,6,2,0.8056454652559768,BERT
23,6,2,0.8056454652559768,BERT
24,6,2,0.8092395082789308,BERT
16,6,8,0.5603139000807299,BERT
19,6,2,0.6748595581615643,BERT
25,6,2,0.7992687843869002,BERT
18,6,16,0.31356092694096455,BERT
12,6,2,0.7177502452019847,BERT
23,6,2,0.8056454652559768,BERT
21,6,2,0.6853422561981257,BERT
23,6,2,0.8056454652559768,BERT
30,6,2,0.8031078974354555,BERT
28,6,2,0.7997857839699406,BERT
19,6,2,0.6748595581615643,BERT
25,6,4,0.6318953629888782,BERT
17,6,2,0.6979957309252646,BERT
