n_clusters,epsilon,tsne_n_components,NMI,embedding
4,0.23935632173898705,8,0.0,BERT
4,0.5259296408255486,8,0.0,BERT
4,0.5939006821950602,16,0.0,BERT
4,0.8089010193162964,16,0.0,BERT
4,0.6675610254509812,16,0.0,BERT
4,0.36081462935021297,2,0.0,BERT
4,0.3514552471237699,8,0.0,BERT
4,0.6297108848934639,16,0.0,BERT
4,0.021036225683712235,4,0.0,BERT
4,0.7549328563360602,16,0.0,BERT
4,0.947651059836022,8,0.0,BERT
4,0.3830598322207127,8,0.0,BERT
4,0.17530148953801344,8,0.0,BERT
4,0.50385233038057,8,0.0,BERT
4,0.22733005412532759,4,0.0,BERT
4,0.48861807454009376,2,0.0,BERT
4,0.18681302030511737,8,0.0,BERT
4,0.45050835371408926,8,0.0,BERT
4,0.5641214381054805,8,0.0,BERT
4,0.26235335097509416,2,0.0,BERT
4,0.42970113608479077,4,0.0,BERT
4,0.5799986902303488,16,0.0,BERT
4,0.547884369980279,16,0.0,BERT
4,0.6762142322491964,8,0.0,BERT
4,0.48287545412748856,8,0.0,BERT
4,0.3068655584524477,16,0.0,BERT
4,0.4021633653980775,4,0.0,BERT
4,0.5909938957048971,2,0.0,BERT
4,0.5147635191563091,8,0.0,BERT
4,0.7497114943367963,16,0.0,BERT
4,0.4609152596868575,16,0.0,BERT
4,0.6787605243609454,16,0.0,BERT
4,0.8234652706772011,16,0.0,BERT
4,0.6436451953806936,16,0.0,BERT
4,0.8787209031544134,16,0.0,BERT
4,0.35708590291551556,2,0.0,BERT
4,0.9991019110040492,8,0.0,BERT
4,0.7256843648127649,16,0.0,BERT
4,0.6311370312789276,8,0.0,BERT
4,0.8064257591479722,4,0.0,BERT
4,0.6047102516327578,16,0.0,BERT
4,0.6995162265269103,16,0.0,BERT
4,0.5428895653580456,16,0.0,BERT
4,0.6420020434957968,16,0.0,BERT
4,0.08818471327702071,8,0.0,BERT
4,0.4061562327285615,8,0.0,BERT
4,0.5270082149172808,16,0.0,BERT
