perplexity,MinPts,probability,umap_n_components,NMI,embedding
7,3,0.9970557412344261,2,0.6682766563558382,BERT
8,12,0.9970297768624186,2,0.6894759134771222,BERT
19,14,0.9970964540074869,2,0.5823783842396729,BERT
28,8,0.9970587073131234,8,0.6412154280148522,BERT
26,4,0.9970602160627472,16,0.7333461307841525,BERT
9,25,0.9970053941314885,2,0.30938368560013746,BERT
7,6,0.997033329127923,16,0.772423416356284,BERT
15,15,0.9970529889716304,4,0.7857541764143564,BERT
29,18,0.997073776426063,2,0.5796321796760782,BERT
2,6,0.997091978409052,4,0.19381692162461403,BERT
18,22,0.9970391631959865,4,0.8068352507343511,BERT
18,23,0.997037023653579,4,0.8068352507343511,BERT
21,27,0.9970297396631339,4,0.8025664173043344,BERT
15,21,0.9970396920410861,4,0.7882320981248838,BERT
20,22,0.9970138670943456,4,0.8068352507343511,BERT
24,30,0.9970177254840737,8,0.8062241377340712,BERT
17,20,0.9970442431334843,4,0.7947098151006843,BERT
14,25,0.9970242385864907,4,0.7267124008457627,BERT
11,30,0.9970415472018906,4,0.49414708355922,BERT
23,24,0.997018555599245,8,0.8062241377340712,BERT
12,18,0.9970006705541802,16,0.7528359420934094,BERT
19,22,0.9970114411071325,4,0.8068352507343511,BERT
19,18,0.9970192677584375,4,0.8068352507343511,BERT
22,23,0.9970354327739224,4,0.8068352507343511,BERT
26,27,0.9970454323539841,4,0.803623588563294,BERT
18,11,0.9970092899132612,4,0.8138781367737721,BERT
16,12,0.9970270029546788,4,0.8138781367737721,BERT
13,10,0.9970074225219437,4,0.7947142169313428,BERT
17,12,0.9970273833770081,16,0.7290705720770341,BERT
2,2,0.9970235380184365,8,0.37814296175645823,BERT
10,12,0.9970099314109524,4,0.7477343512207987,BERT
17,16,0.997035359546698,4,0.8138781367737721,BERT
16,9,0.9970293658721499,4,0.8138781367737721,BERT
16,9,0.9970306734265102,4,0.8138781367737721,BERT
13,14,0.9970240928861492,2,0.7582653948726423,BERT
5,11,0.9970148288332409,4,0.47188234267746,BERT
16,7,0.9970301164823644,4,0.7357567100815562,BERT
20,16,0.99702171678493,2,0.5823783842396729,BERT
14,4,0.9970036232776884,16,0.7290705720770341,BERT
11,16,0.9970329851973772,8,0.7833607248707785,BERT
22,13,0.9970476154502558,4,0.7357567100815562,BERT
15,10,0.9970281597895987,4,0.8053553889959185,BERT
17,9,0.9970339061227688,4,0.7357567100815562,BERT
16,8,0.9970512747689259,4,0.7357567100815562,BERT
8,5,0.9970164022444415,4,0.7683176231075737,BERT
20,14,0.9970379654692536,2,0.5835316442747803,BERT
18,8,0.9970312220210633,4,0.7357567100815562,BERT
13,10,0.9970099791105296,4,0.7947142169313428,BERT
25,13,0.997027500597217,16,0.7301496470100847,BERT
16,15,0.9970214338884552,4,0.8053553889959185,BERT
14,6,0.9970352600816794,4,0.7357567100815562,BERT
18,9,0.9970414524977311,4,0.7357567100815562,BERT
19,19,0.9970378997937624,4,0.8068352507343511,BERT
21,11,0.9970421616295038,4,0.7357567100815562,BERT
17,7,0.9970478885451353,4,0.7357567100815562,BERT
15,17,0.9970264734488501,8,0.8112705651240051,BERT
15,16,0.9970265431828915,8,0.8119475172406505,BERT
12,13,0.99702018124636,8,0.8073814811214234,BERT
14,11,0.9970319363536448,8,0.810921036334279,BERT
17,15,0.9970161795705732,8,0.8129110949607566,BERT
18,15,0.9970140728717733,8,0.8129110949607566,BERT
