min_cluster_size,rho,beta,umap_n_components,NMI,embedding
104,1.7325097332474027,0.2916471972757674,16,0.6347756612319403,BERT
11,1.7686231476925693,0.5864099578282475,16,0.43571976675675417,BERT
123,0.9266918486813518,0.5524011349094078,8,0.7195849259772447,BERT
157,1.451007285340755,0.14830076304720455,2,0.7395901856516667,BERT
12,1.2756794269839464,0.3538011693460543,8,0.4592184131655109,BERT
89,1.7610268010133032,0.5198861630758143,8,0.599165281883545,BERT
12,0.5878678335122459,0.25224262177991674,2,0.4981659464661794,BERT
81,1.8909036662010277,0.20917876002899358,2,0.603585289886553,BERT
192,1.573784479082274,0.32943178048281285,2,0.7907045404520149,BERT
179,0.6756966632353256,0.5668367327679206,8,0.7143392583902225,BERT
192,0.11346601647467902,0.45000428839011064,4,0.7937565420581345,BERT
193,0.08727681942780069,0.4146336399285974,4,0.8247592696934251,BERT
151,0.10920896638992605,0.43722925905942533,4,0.8056877727741493,BERT
150,0.0534010778486121,0.42337664051244817,4,0.8122821937050697,BERT
151,0.2817681768095484,0.45017985053787773,4,0.8023803723078614,BERT
126,0.3121644835516122,0.3810704012149086,4,0.8128046606457509,BERT
53,0.443705986735598,0.3710183827584103,4,0.7279905696405491,BERT
123,0.39073219401648096,0.3796131374033915,4,0.8143102120572145,BERT
49,0.7697380000554532,0.4994780775456079,4,0.6247103762757276,BERT
122,0.5120593832647926,0.2910916184560711,4,0.8117479374575466,BERT
175,0.34156623518061907,0.3899566872892838,16,0.8199070503729414,BERT
172,0.36767202995024456,0.4033945821971969,16,0.815807416765492,BERT
174,0.21773721283311712,0.4155342731012098,16,0.8126143441713016,BERT
171,0.4262640563178938,0.48297695600334023,16,0.7857207187080959,BERT
193,0.23941993492041394,0.40113871049254857,16,0.8145520551376229,BERT
163,0.6085196305257051,0.3274860074150946,16,0.8294934544566746,BERT
141,0.7803739558036481,0.33763441031395813,16,0.8114039832440227,BERT
163,0.5881782860130081,0.472583299804841,16,0.7926740404821037,BERT
180,0.2019781528446276,0.33336281280115476,16,0.8370526631748428,BERT
137,0.14740453770247258,0.31006537327481865,16,0.8334262003778561,BERT
104,0.1831239763447407,0.3109690235266568,16,0.8334125140865203,BERT
105,0.26811736740197334,0.30520967048784964,16,0.8334125140865203,BERT
104,0.21141993997720682,0.29311019491243023,16,0.8317273596656531,BERT
83,0.18149683784220316,0.29883855817073535,16,0.8238587291259994,BERT
111,0.060805329884716194,0.23770002042149005,16,0.8148392627034093,BERT
67,0.4658750008330209,0.32091100212422946,16,0.7740492686009209,BERT
135,0.24459739552118714,0.3605873425131806,16,0.8273139758768412,BERT
93,0.9893728437686808,0.2690890950715986,16,0.7030433401221383,BERT
101,0.32980323388271127,0.3554312471591139,8,0.8187874695979007,BERT
114,0.16366069366695882,0.21721282234535738,16,0.8148392627034093,BERT
71,0.4925878349982508,0.30953326799931635,2,0.752730203760425,BERT
109,0.19166939241444295,0.28219331447074825,16,0.8224866991610879,BERT
94,0.2916414096138296,0.2649177701199815,16,0.8312894421368235,BERT
135,0.18368216246321856,0.3064843691830463,16,0.8334262003778561,BERT
137,0.1332058258721279,0.33447158612104716,16,0.8301200528381929,BERT
118,1.158187810865599,0.34540120682938535,8,0.7061252669306373,BERT
134,0.12701727849452457,0.30156935030634485,2,0.8107629572611803,BERT
145,0.05526781646981144,0.2719572628755484,16,0.8237891924085814,BERT
131,0.28200186193818294,0.31736054185569496,16,0.8326737720040587,BERT
82,0.41643203159075187,0.24559381421645504,8,0.7990248978123375,BERT
182,0.14585832537323876,0.35681671614449306,16,0.8340189921934233,BERT
187,0.14064773200436928,0.3638288074816594,16,0.8329213210043721,BERT
182,0.3530020209109751,0.34186887054251913,16,0.83623546065166,BERT
184,0.35179423963621415,0.32929896026882516,16,0.8385758685699853,BERT
183,0.3572271975607565,0.3482515183248115,16,0.835176289967353,BERT
183,0.35679095273163125,0.3567787240405298,2,0.7954132466124817,BERT
159,0.5112118629631754,0.3406909175259064,16,0.8286530354926571,BERT
183,0.3610707801699269,0.37596876915894667,16,0.8241653791276919,BERT
167,0.418738834594707,0.39092596995933854,16,0.8193955778950233,BERT
179,0.28147471515337963,0.3426490201306813,16,0.8394384222439251,BERT
195,0.5301635277785105,0.33385618501424386,8,0.8315119549584138,BERT
178,0.3038148489658888,0.34741810136221746,16,0.8374169546359709,BERT
180,0.31166843593447474,0.37162732289277134,16,0.8249385854563532,BERT
188,0.39453298338307413,0.35181023315164833,16,0.835176289967353,BERT
188,0.38145384600529497,0.39474142504589116,16,0.8170812868625913,BERT
176,0.45366054746764317,0.34221077531049826,16,0.8400983884102547,BERT
155,0.256024873026123,0.3257275990874979,16,0.8294934544566746,BERT
175,0.575849365952412,0.3800086172822722,16,0.8236729926343718,BERT
168,0.4742242501495859,0.3456539709433702,2,0.7869520760059967,BERT
177,0.6485710153301629,0.41190849923579315,16,0.8125126255376124,BERT
163,0.31372440679942937,0.32438284439533427,16,0.8304488638356303,BERT
189,0.40943109515833354,0.3501004990263734,16,0.835176289967353,BERT
186,0.4397104033837629,0.36914769808661263,16,0.826593581869319,BERT
170,0.2508002374533303,0.3408052261043342,16,0.8315037985313343,BERT
195,0.3468931756485319,0.2886157489347662,16,0.8376688458951698,BERT
194,0.3368159848876786,0.28786390007560636,16,0.8376688458951698,BERT
195,0.2386978992487218,0.2899837918279878,4,0.8206883941045261,BERT
177,0.2992746914265525,0.2863935767013529,16,0.8392752656438228,BERT
156,0.09917630591047721,0.2918773920910398,16,0.8402355580741296,BERT
156,0.09397265887122665,0.28618067982292694,16,0.8375902066884593,BERT
146,0.11268048736244243,0.28153819728698715,16,0.829909076412556,BERT
160,0.07743549419760687,0.29352142311343105,16,0.8370070503136247,BERT
154,0.29515866845438415,0.25453768352702155,16,0.8226343253531455,BERT
26,0.2475397539478824,0.3188992920575827,16,0.6034360330437011,BERT
174,0.09716694134429435,0.27872440135455406,16,0.8335115640136653,BERT
170,0.2083847946438403,0.2877158543972441,16,0.8435955711720591,BERT
168,0.18447013833653667,0.26026298808436016,4,0.8206883941045262,BERT
165,0.2207771283024074,0.2721313848380848,16,0.8373543663949224,BERT
150,0.10346434436912533,0.3026344296371135,8,0.816468278343574,BERT
192,0.20381087136120773,0.2899198654881202,16,0.8390254135375614,BERT
172,0.44930028396456567,0.3115587022723053,2,0.7872854174805201,BERT
191,0.2029466956506376,0.2888610296259472,16,0.8378459721654063,BERT
192,0.1989065529130635,0.2995673611826218,16,0.8423806300382335,BERT
188,0.16374749852085707,0.2985374947873735,16,0.8423806300382335,BERT
190,0.15662020068899962,0.30130605121198695,16,0.8423806300382335,BERT
186,0.15990747416053752,0.3232111533962325,16,0.8423806300382335,BERT
176,0.15760674057546165,0.3015363221711864,16,0.8423806300382333,BERT
175,0.15216354602232618,0.3018631104169935,16,0.8423806300382333,BERT
172,0.14958325351317686,0.3013857578161139,16,0.8460050568929314,BERT
174,0.05837035201982142,0.3132174710578244,16,0.8460050568929314,BERT
162,0.05582056571593222,0.30185618159604954,16,0.8370070503136247,BERT
173,0.16678084824890022,0.31270452565836,16,0.8460050568929314,BERT
171,0.14817838390744603,0.3142081411694823,16,0.8460050568929314,BERT
170,0.1482386996600018,0.31531179675866317,16,0.8460050568929314,BERT
170,0.1565911759517929,0.316585104297794,16,0.8464793752186227,BERT
171,0.05347965179998218,0.3146680359715393,16,0.8460050568929314,BERT
169,0.06165530293187152,0.31560710120083924,16,0.8464793752186227,BERT
170,0.05395195975630761,0.32065943604284136,8,0.8280016994047933,BERT
165,0.1137156283013448,0.317909983220178,16,0.8357654258419092,BERT
170,0.051687418414377004,0.31483898574335356,4,0.8250521088257513,BERT
159,0.1249187680952003,0.3136732462366567,16,0.8342212450334545,BERT
166,0.17600001809500182,0.27751288390394,16,0.8392092480217548,BERT
180,0.22646074633143942,0.3301820096328523,16,0.8390522096262872,BERT
172,0.1419662032334853,0.3090268838480359,16,0.8460050568929314,BERT
172,0.08461471857318333,0.2694249760760959,16,0.8300206847640642,BERT
146,0.12543563398083746,0.331632995839964,16,0.8301200528381929,BERT
161,0.18310562516593568,0.3132708581556022,16,0.8342212450334545,BERT
151,0.21910449533927684,0.265134878572283,2,0.8186541576663025,BERT
181,0.2632576649843601,0.30542512489759627,16,0.8423806300382335,BERT
172,0.1332244165964489,0.33413622211294997,16,0.8328512028963975,BERT
184,0.08177682309067148,0.27931671189633284,16,0.8316616521195049,BERT
188,0.15114193973005322,0.2976409834050703,16,0.8423806300382335,BERT
167,0.1809501871302635,0.3079912812268548,16,0.8460050568929314,BERT
167,0.05120766684763571,0.311857636221549,16,0.8460050568929314,BERT
167,0.10350753475195623,0.3230798978135951,16,0.8331882727368057,BERT
159,0.07282245029642619,0.31192332279837426,16,0.8404491100432951,BERT
164,0.22350906003855853,0.32879805585716926,16,0.8294934544566746,BERT
170,0.26415327971148156,0.31056430157846143,16,0.8460050568929314,BERT
168,0.051923169874247,0.3104606819264064,16,0.8460050568929314,BERT
164,0.051646823732934485,0.310850599204944,16,0.8370070503136247,BERT
174,0.12099332018632623,0.35140768759463015,16,0.8286741775090105,BERT
169,0.09826811304556632,0.33752448977385435,16,0.8320485265839628,BERT
179,0.13618534299008317,0.3183326286123481,16,0.8429919628308614,BERT
154,0.2617209648682208,0.3086561472214032,16,0.8334262003778561,BERT
168,0.1906984580756027,0.32690921454720234,16,0.8331882727368057,BERT
172,0.0838853034698061,0.2776294543206137,16,0.8344965599777145,BERT
