min_samples,eps,umap_n_components,NMI,embedding
9,0.16066569724304455,8,0.4331650268653668,BERT
6,0.9337345609203483,2,0.5835316442747802,BERT
8,0.1318682007360935,4,0.4105053110854002,BERT
6,0.6462471152893945,8,0.809072830008703,BERT
6,0.5912962839026188,8,0.8075828871708587,BERT
9,0.2216364067863794,4,0.565900703979134,BERT
9,0.29625232711534133,8,0.685323853630978,BERT
5,0.4382820365357778,8,0.8075828871708587,BERT
10,0.9120595392980496,4,0.7316300708399064,BERT
8,0.7985560374986703,8,0.7299547532444566,BERT
6,0.6767220198557244,16,0.8067343551728678,BERT
6,0.5732903648875602,8,0.8075828871708587,BERT
7,0.6404624790763022,2,0.5835316442747802,BERT
5,0.4706425560229145,16,0.8070224629766184,BERT
7,0.7420610313808864,8,0.809072830008703,BERT
7,0.7582761801813407,8,0.7299547532444566,BERT
7,0.7748541643382891,8,0.7299547532444566,BERT
5,0.9907070881480513,2,0.5835316442747802,BERT
8,0.4969213575373905,16,0.8070224629766184,BERT
7,0.7082439333278802,8,0.809072830008703,BERT
6,0.3992526783483882,8,0.7981515855812488,BERT
7,0.6875683915740796,8,0.809072830008703,BERT
7,0.8374279748086138,8,0.7299547532444566,BERT
8,0.7157592625502639,8,0.809072830008703,BERT
6,0.6372651336303135,8,0.809072830008703,BERT
7,0.5410184124475821,8,0.8075828871708587,BERT
5,0.7289384811986469,4,0.8094773084323799,BERT
5,0.8253187253632139,4,0.8094773084323799,BERT
5,0.8366675992808438,4,0.8094773084323799,BERT
5,0.842129083855156,4,0.8094773084323799,BERT
5,0.8601538912858542,4,0.8094773084323799,BERT
5,0.8397316958337483,4,0.8094773084323799,BERT
5,0.8955373359596762,4,0.7316300708399065,BERT
5,0.9596527295375505,4,0.7316300708399065,BERT
5,0.7970545085000222,4,0.8094773084323799,BERT
6,0.9016018514423694,4,0.7316300708399065,BERT
5,0.9559738469400945,4,0.7316300708399065,BERT
6,0.8268859627079331,4,0.8094773084323799,BERT
5,0.8758097391773736,4,0.7316300708399065,BERT
10,0.7405998287416318,4,0.8094773084323799,BERT
6,0.8040475455018333,4,0.8094773084323799,BERT
5,0.8629431776326522,4,0.8094773084323799,BERT
5,0.930479521521044,4,0.7316300708399065,BERT
5,0.8585454539044799,4,0.8094773084323799,BERT
6,0.7872610132275963,4,0.8094773084323799,BERT
5,0.902251894221367,2,0.5835316442747802,BERT
5,0.8161988001127924,4,0.8094773084323799,BERT
6,0.7551047866223718,4,0.8094773084323799,BERT
9,0.8755794375569909,16,0.7290705720770341,BERT
5,0.9987451596362226,4,0.6376076938888587,BERT
5,0.929007976673174,2,0.5835316442747802,BERT
5,0.8338599713328546,4,0.8094773084323799,BERT
5,0.838793157331269,4,0.8094773084323799,BERT
5,0.7687129253928868,4,0.8094773084323799,BERT
6,0.7945679764822912,4,0.8094773084323799,BERT
5,0.8685760492856476,4,0.7316300708399065,BERT
6,0.7382327147754156,16,0.8067343551728678,BERT
5,0.6774855853990515,4,0.8094773084323799,BERT
6,0.7174374215980476,4,0.8094773084323799,BERT
5,0.771077927757147,4,0.8094773084323799,BERT
5,0.8252305738462432,2,0.5835316442747802,BERT
5,0.8005566759614914,4,0.8094773084323799,BERT
5,0.8417350179880232,4,0.8094773084323799,BERT
5,0.9071319397929356,4,0.7316300708399065,BERT
5,0.7794727121072367,4,0.8094773084323799,BERT
6,0.80924648322011,4,0.8094773084323799,BERT
5,0.8528000925052408,16,0.7290705720770341,BERT
5,0.9564271224722367,4,0.7316300708399065,BERT
6,0.8861497117174794,4,0.7316300708399065,BERT
5,0.6547348615842801,4,0.8094773084323799,BERT
5,0.7342410749543002,4,0.8094773084323799,BERT
6,0.8365739701284074,4,0.8094773084323799,BERT
5,0.8071270577403599,4,0.8094773084323799,BERT
6,0.8850239265870853,4,0.7316300708399065,BERT
