min_cluster_size,min_samples,umap_n_components,NMI,embedding
195,118,16,0.8508496965824245,BERT
40,153,8,0.43166225901430005,BERT
50,9,2,0.7385327298954076,BERT
7,92,2,0.8154643963949081,BERT
64,18,8,0.8053026786590728,BERT
16,28,8,0.7941192165261313,BERT
59,14,16,0.8107862979882855,BERT
125,68,2,0.8377776792055173,BERT
192,184,16,0.43166225901430005,BERT
170,132,4,0.43166225901430005,BERT
121,123,16,0.8510370911034381,BERT
122,118,16,0.8508496965824245,BERT
160,81,16,0.860920474692362,BERT
147,67,16,0.848030323118637,BERT
96,80,4,0.8721511116021791,BERT
92,55,4,0.851088500461151,BERT
96,93,4,0.8516443711768414,BERT
157,44,4,0.8481924838370395,BERT
80,73,4,0.8420364034247881,BERT
140,157,4,0.43166225901430005,BERT
111,92,16,0.8671184272779825,BERT
114,90,16,0.864760049740337,BERT
107,98,16,0.8568813877836152,BERT
77,107,16,0.8512736500345673,BERT
108,47,16,0.855961642048501,BERT
135,81,4,0.8470305381327292,BERT
86,133,2,0.7940622735067085,BERT
107,104,8,0.8602332179035617,BERT
75,60,16,0.8223828599780154,BERT
128,33,16,0.8545548085196177,BERT
114,84,4,0.8702257954767355,BERT
111,81,4,0.8470305381327292,BERT
96,113,4,0.8526875851512999,BERT
114,86,4,0.8703953951928972,BERT
32,146,4,0.43166225901430005,BERT
140,84,4,0.8702257954767355,BERT
178,56,4,0.8471619215126321,BERT
143,77,4,0.876024274350395,BERT
66,72,4,0.8256039872204276,BERT
156,37,8,0.849674908899648,BERT
45,104,4,0.8575435146113143,BERT
141,83,4,0.8703953951928972,BERT
132,63,4,0.8481924838370395,BERT
148,76,2,0.8273517550830215,BERT
119,88,4,0.8703953951928972,BERT
120,97,4,0.8611155625194543,BERT
167,113,4,0.4316622590143,BERT
145,129,4,0.43166225901430005,BERT
100,52,8,0.8452155014728947,BERT
181,23,2,0.8572435800324285,BERT
88,66,4,0.8533300890536148,BERT
119,84,4,0.8702257954767355,BERT
131,5,4,0.8499506596359134,BERT
103,89,4,0.8691919102781676,BERT
125,75,4,0.875991973458362,BERT
127,74,4,0.875991973458362,BERT
152,73,4,0.8725790996152254,BERT
151,75,4,0.875991973458362,BERT
155,72,4,0.8575297856079878,BERT
165,44,4,0.8481924838370395,BERT
149,193,8,0.43166225901430005,BERT
128,76,4,0.875991973458362,BERT
137,77,4,0.876024274350395,BERT
137,69,4,0.8731956312295828,BERT
127,61,4,0.8486210722989661,BERT
136,67,2,0.8382971981188061,BERT
161,77,4,0.876024274350395,BERT
161,54,4,0.8499324032127503,BERT
179,96,4,0.8695351176230838,BERT
172,50,4,0.847474619108538,BERT
124,77,4,0.876024274350395,BERT
124,78,4,0.8749582980643698,BERT
144,77,4,0.876024274350395,BERT
141,60,4,0.8470305381327295,BERT
144,91,4,0.8702257954767355,BERT
159,77,4,0.876024274350395,BERT
190,101,4,0.8572292909633482,BERT
160,66,8,0.8580248240096519,BERT
135,57,4,0.8481924838370395,BERT
172,95,2,0.8169305053835082,BERT
163,38,4,0.8493503607340127,BERT
152,79,4,0.87599516270617,BERT
153,80,4,0.8721511116021791,BERT
6,70,4,0.8439559584912228,BERT
131,87,4,0.8691919102781676,BERT
145,78,4,0.8749582980643698,BERT
158,62,4,0.8470305381327292,BERT
140,108,4,0.8532549434240447,BERT
123,91,4,0.8702257954767355,BERT
116,65,4,0.8528151807304336,BERT
167,172,4,0.43166225901430005,BERT
147,75,4,0.875991973458362,BERT
151,80,4,0.8721511116021791,BERT
132,71,4,0.8481924838370395,BERT
155,84,4,0.8702257954767355,BERT
144,74,16,0.8628734877823185,BERT
150,101,4,0.8572292909633482,BERT
139,58,4,0.8470305381327295,BERT
133,69,8,0.8651908673071271,BERT
16,87,2,0.8243339703340192,BERT
168,77,4,0.876024274350395,BERT
184,76,4,0.875991973458362,BERT
169,83,4,0.8703953951928972,BERT
162,81,4,0.8470305381327292,BERT
175,64,4,0.8482646149732275,BERT
156,94,4,0.8691919102781676,BERT
127,78,4,0.8749582980643698,BERT
165,72,4,0.8575297856079878,BERT
159,87,4,0.8691919102781676,BERT
142,68,4,0.8721639304718803,BERT
148,75,4,0.875991973458362,BERT
118,76,4,0.875991973458362,BERT
128,92,4,0.8703953951928972,BERT
138,80,4,0.8721511116021791,BERT
123,64,4,0.8482646149732275,BERT
152,71,16,0.8554481754305828,BERT
129,83,4,0.8703953951928972,BERT
110,87,4,0.8691919102781676,BERT
137,60,8,0.8479696987008511,BERT
102,68,4,0.8721639304718803,BERT
145,78,2,0.8238500539647083,BERT
148,74,4,0.875991973458362,BERT
135,76,4,0.875991973458362,BERT
156,72,4,0.8575297856079878,BERT
147,83,4,0.8703953951928972,BERT
153,51,4,0.8489884952607029,BERT
173,90,4,0.8702257954767355,BERT
142,66,4,0.8533300890536148,BERT
163,79,4,0.87599516270617,BERT
164,79,4,0.87599516270617,BERT
163,98,4,0.8586331647546724,BERT
167,78,4,0.8749582980643698,BERT
159,85,4,0.8693618266593871,BERT
183,81,4,0.8470305381327292,BERT
169,69,4,0.8731956312295828,BERT
125,73,4,0.8725790996152254,BERT
177,80,4,0.8721511116021791,BERT
162,89,4,0.8691919102781676,BERT
151,62,4,0.8470305381327292,BERT
158,85,16,0.8558102612348594,BERT
133,76,4,0.875991973458362,BERT
145,75,4,0.875991973458362,BERT
154,70,4,0.8731956312295828,BERT
166,80,4,0.8721511116021791,BERT
121,73,4,0.8725790996152254,BERT
141,66,4,0.8533300890536148,BERT
130,94,8,0.8580419716940162,BERT
113,57,4,0.8481924838370395,BERT
149,77,4,0.876024274350395,BERT
171,83,2,0.8308158599234653,BERT
137,89,4,0.8691919102781676,BERT
150,77,4,0.876024274350395,BERT
150,77,4,0.876024274350395,BERT
149,79,4,0.87599516270617,BERT
157,80,4,0.8721511116021791,BERT
151,85,4,0.8693618266593871,BERT
149,79,4,0.87599516270617,BERT
148,78,4,0.8749582980643698,BERT
163,70,4,0.8731956312295828,BERT
154,82,4,0.8702257954767355,BERT
159,86,4,0.8703953951928972,BERT
142,73,4,0.8725790996152254,BERT
149,79,4,0.87599516270617,BERT
146,77,4,0.876024274350395,BERT
146,78,4,0.8749582980643698,BERT
149,91,4,0.8702257954767355,BERT
155,82,4,0.8702257954767355,BERT
151,68,4,0.8721639304718803,BERT
160,78,4,0.8749582980643698,BERT
144,88,4,0.8703953951928972,BERT
165,71,4,0.8481924838370395,BERT
140,76,4,0.875991973458362,BERT
154,82,4,0.8702257954767355,BERT
148,75,4,0.875991973458362,BERT
144,85,4,0.8693618266593871,BERT
158,79,16,0.860920474692362,BERT
151,72,4,0.8575297856079878,BERT
161,77,4,0.876024274350395,BERT
169,66,4,0.8533300890536148,BERT
162,80,4,0.8721511116021791,BERT
156,86,4,0.8703953951928972,BERT
148,76,4,0.875991973458362,BERT
161,72,4,0.8575297856079878,BERT
174,78,4,0.8749582980643698,BERT
138,82,8,0.8648529806809562,BERT
153,68,4,0.8721639304718803,BERT
144,74,4,0.875991973458362,BERT
165,64,2,0.8308836388164488,BERT
156,77,4,0.876024274350395,BERT
157,83,4,0.8703953951928972,BERT
151,78,4,0.8749582980643698,BERT
148,74,4,0.875991973458362,BERT
154,71,4,0.8481924838370395,BERT
168,78,4,0.8749582980643698,BERT
162,82,4,0.8702257954767355,BERT
141,87,4,0.8691919102781676,BERT
158,69,4,0.8731956312295828,BERT
146,74,4,0.875991973458362,BERT
135,78,4,0.8749582980643698,BERT
151,84,4,0.8702257954767355,BERT
27,51,4,0.7288805507195815,word2vec
37,165,4,0.4239152702972829,word2vec
107,75,4,0.7420517061565488,word2vec
64,191,16,0.4239152702972829,word2vec
139,161,2,0.4504090703987007,word2vec
27,189,16,0.4239152702972829,word2vec
123,5,16,0.7226361573084934,word2vec
5,88,16,0.7558921980844076,word2vec
55,98,2,0.7391169066712755,word2vec
