n_clusters,umap_n_components,NMI,embedding
4,4,0.7837702570972257,BERT
9,4,0.8052814856120575,BERT
5,2,0.8448897256548559,BERT
5,4,0.8588140525108675,BERT
5,2,0.8448897256548559,BERT
3,8,0.6804279088122137,BERT
3,2,0.6535201900588556,BERT
5,2,0.8448897256548558,BERT
3,4,0.680959410201494,BERT
5,16,0.864119768272628,BERT
7,16,0.8307604557337048,BERT
7,16,0.8307604557337047,BERT
7,16,0.8307604557337046,BERT
6,8,0.8572747188860472,BERT
2,16,0.4384112653461696,BERT
9,4,0.7937467645678038,BERT
6,16,0.8504367786963585,BERT
4,4,0.7837702570972257,BERT
8,8,0.8211478587618698,BERT
4,4,0.7837702570972257,BERT
6,16,0.8552841759350117,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
4,8,0.7906797796675582,BERT
5,8,0.8661308822480656,BERT
4,8,0.790679779667558,BERT
2,8,0.4384112653461696,BERT
6,8,0.8572747188860472,BERT
3,8,0.6804279088122137,BERT
7,8,0.8244736624584059,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
4,8,0.790679779667558,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
6,8,0.857274718886047,BERT
4,2,0.7526419342326672,BERT
3,8,0.6804279088122138,BERT
5,2,0.8448897256548558,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480653,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480654,BERT
4,8,0.7906797796675582,BERT
5,2,0.8448897256548558,BERT
4,8,0.790679779667558,BERT
3,4,0.680959410201494,BERT
6,8,0.857274718886047,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480654,BERT
6,8,0.8572747188860472,BERT
7,8,0.8244736624584057,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
6,4,0.8500307002522347,BERT
4,16,0.7884213369768832,BERT
4,8,0.790679779667558,BERT
5,2,0.8448897256548559,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480656,BERT
4,8,0.7906797796675582,BERT
6,16,0.8504367786963586,BERT
4,8,0.790679779667558,BERT
5,4,0.8588140525108678,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480653,BERT
9,8,0.7881203362518563,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480654,BERT
4,8,0.7906797796675582,BERT
4,2,0.7526419342326672,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
6,8,0.857274718886047,BERT
5,16,0.8641197682726283,BERT
5,8,0.8661308822480656,BERT
4,8,0.790679779667558,BERT
6,4,0.8500307002522345,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
6,8,0.8572747188860472,BERT
4,8,0.790679779667558,BERT
5,2,0.8448897256548559,BERT
8,8,0.8211478587618698,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
4,8,0.7906797796675579,BERT
5,8,0.8661308822480656,BERT
6,16,0.8504367786963586,BERT
5,8,0.8661308822480656,BERT
4,4,0.7837702570972257,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
6,8,0.8572747188860472,BERT
5,2,0.8448897256548558,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
4,8,0.7906797796675582,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,16,0.864119768272628,BERT
5,8,0.8661308822480656,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
4,4,0.7837702570972257,BERT
5,8,0.8661308822480654,BERT
4,8,0.7906797796675582,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,2,0.8448897256548558,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480654,BERT
6,8,0.8572747188860471,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,16,0.864119768272628,BERT
5,8,0.8661308822480656,BERT
4,8,0.7906797796675582,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,4,0.8588140525108678,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
2,8,0.4384112653461696,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,2,0.8448897256548558,BERT
5,8,0.8661308822480654,BERT
6,8,0.8572747188860472,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,16,0.864119768272628,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
8,8,0.8214965117851324,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480653,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480654,BERT
5,8,0.8661308822480656,BERT
5,4,0.8588140525108678,BERT
5,8,0.8661308822480656,BERT
5,8,0.8661308822480656,BERT
6,8,0.7618365268191671,word2vec
2,16,0.4239152702972829,word2vec
2,4,0.4239152702972829,word2vec
4,16,0.6849683222668347,word2vec
9,4,0.6813198780646424,word2vec
9,2,0.6830953383559362,word2vec
2,8,0.4239152702972829,word2vec
7,8,0.7314129624482744,word2vec
4,16,0.6849683222668348,word2vec
6,4,0.7625783496487607,word2vec
7,4,0.7290136641055945,word2vec
6,8,0.7618365268191672,word2vec
5,2,0.793490951573489,word2vec
4,2,0.6838675122338471,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
3,2,0.6848288336529749,word2vec
7,2,0.7301455529492725,word2vec
8,2,0.7067761446989687,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
4,2,0.6838675122338471,word2vec
3,2,0.6848288336529749,word2vec
5,2,0.7934909515734889,word2vec
3,2,0.6848288336529749,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.793490951573489,word2vec
4,16,0.6849683222668348,word2vec
7,2,0.7301455529492724,word2vec
6,8,0.7618365268191671,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
6,16,0.7605392418716935,word2vec
4,2,0.6838675122338472,word2vec
6,4,0.76267979405574,word2vec
5,2,0.7934909515734889,word2vec
8,16,0.7033974072710474,word2vec
3,2,0.6848288336529749,word2vec
4,8,0.6855359063225022,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734889,word2vec
4,4,0.7194318106117591,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.793490951573489,word2vec
4,2,0.6838675122338472,word2vec
6,8,0.7618365268191672,word2vec
7,2,0.7302436606904429,word2vec
5,4,0.7896136837124585,word2vec
4,16,0.6849683222668348,word2vec
5,2,0.7934909515734891,word2vec
5,2,0.793490951573489,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.7934909515734887,word2vec
4,2,0.6838675122338472,word2vec
6,2,0.768594920162224,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.793490951573489,word2vec
4,2,0.683867512233847,word2vec
3,8,0.6558425833492675,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
6,2,0.7685949201622239,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
6,4,0.7633145278449202,word2vec
4,2,0.6838675122338471,word2vec
4,16,0.6849683222668347,word2vec
5,2,0.7934909515734887,word2vec
6,2,0.7671277206348269,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
4,2,0.6838675122338472,word2vec
6,8,0.7618365268191672,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
7,4,0.7313615066303084,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734887,word2vec
4,2,0.6838675122338472,word2vec
6,2,0.7688586321015027,word2vec
5,16,0.7857981489046014,word2vec
5,2,0.7934909515734889,word2vec
4,2,0.6838675122338471,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.7934909515734889,word2vec
4,2,0.6838675122338472,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
9,2,0.6822452180353676,word2vec
5,8,0.787230232347144,word2vec
2,2,0.4618743526471801,word2vec
6,2,0.768594920162224,word2vec
4,4,0.719431810611759,word2vec
5,16,0.7857981489046014,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.7934909515734889,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
4,2,0.6838675122338471,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.7934909515734891,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,8,0.787230232347144,word2vec
4,2,0.6838675122338471,word2vec
5,2,0.793490951573489,word2vec
6,2,0.7685949201622239,word2vec
5,4,0.7896136837124585,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,16,0.7857981489046014,word2vec
5,2,0.7934909515734889,word2vec
4,2,0.6838675122338471,word2vec
6,2,0.7688586321015027,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734888,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
8,2,0.7047974946247131,word2vec
5,2,0.7934909515734888,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,8,0.7872302323471438,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734888,word2vec
4,2,0.6838675122338471,word2vec
5,2,0.7934909515734887,word2vec
5,4,0.7896136837124585,word2vec
6,2,0.7688586321015024,word2vec
5,16,0.7857981489046013,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734887,word2vec
4,2,0.6838675122338471,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734887,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
6,8,0.7618365268191671,word2vec
4,2,0.683867512233847,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734888,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,4,0.7896136837124585,word2vec
5,2,0.7934909515734889,word2vec
5,16,0.7857981489046014,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734888,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734891,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,2,0.793490951573489,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.7934909515734889,word2vec
5,2,0.793490951573489,word2vec
5,4,0.7839283779240916,tfidf
7,4,0.7377553728748412,tfidf
2,4,0.46021863685472875,tfidf
3,4,0.6349898836854356,tfidf
5,2,0.7630479928890235,tfidf
5,4,0.7846911103173583,tfidf
3,8,0.6332601905403192,tfidf
4,4,0.7019706675564934,tfidf
3,4,0.6349898836854354,tfidf
8,16,0.7100074170038182,tfidf
9,16,0.6949270938052184,tfidf
6,8,0.7407461629778705,tfidf
5,2,0.7630479928890235,tfidf
6,4,0.7500422528689227,tfidf
7,4,0.737755372874841,tfidf
4,4,0.7019706675564933,tfidf
5,2,0.7630479928890235,tfidf
7,16,0.725108518592049,tfidf
4,8,0.6938134938744014,tfidf
6,4,0.7493143055488084,tfidf
2,4,0.4602186368547287,tfidf
5,2,0.7630479928890235,tfidf
5,2,0.7630479928890238,tfidf
4,2,0.6930735548514209,tfidf
6,2,0.7270711222016694,tfidf
5,2,0.7630479928890236,tfidf
4,8,0.6938134938744014,tfidf
7,16,0.7307905012018645,tfidf
6,4,0.7493143055488084,tfidf
5,4,0.7846911103173583,tfidf
8,4,0.7221398440833142,tfidf
5,4,0.7846911103173583,tfidf
5,4,0.7846911103173582,tfidf
4,4,0.7019706675564934,tfidf
6,4,0.7500422528689227,tfidf
3,4,0.6349898836854354,tfidf
5,4,0.7846911103173583,tfidf
4,4,0.7019706675564933,tfidf
