min_samples,xi,umap_n_components,NMI,embedding
67,0.7236904656122227,16,0.41919842249322403,BERT
178,0.7679981626942285,8,0.43841126534616964,BERT
133,0.4109378143664917,8,0.4316622590143,BERT
33,0.8793612584754994,8,0.0,BERT
152,0.38856158358962556,8,0.4316622590143,BERT
25,0.7305360579607464,4,0.41919842249322403,BERT
154,0.7925951996829114,16,0.0,BERT
128,0.8817502182748825,4,0.0,BERT
183,0.7722453427443039,2,0.0,BERT
145,0.655205701319736,2,0.4400171579289756,BERT
74,0.16285488210223797,2,0.6437648108520732,BERT
82,0.08826129383229131,2,0.695361482140021,BERT
85,0.07089530516587136,2,0.6860092225815027,BERT
94,0.01646919399335922,2,0.593709667409696,BERT
59,0.1714021158881449,2,0.6836056023936213,BERT
107,0.012467822494231236,2,0.693947192527628,BERT
108,0.2435783352795427,2,0.48932928141231397,BERT
47,0.020527957317862975,2,0.48533011319870945,BERT
112,0.292770141335292,4,0.6653611882398857,BERT
108,0.12455300975734794,16,0.8550414433959462,BERT
6,0.5247942818272961,16,0.1613545830625258,BERT
116,0.11189401226969664,16,0.8539182680994442,BERT
85,0.12271203767664031,16,0.8503356955838625,BERT
123,0.15837523344324053,16,0.8388805752049912,BERT
94,0.2698330328677983,16,0.7655190364375032,BERT
120,0.10059984561361184,16,0.8462355650354607,BERT
170,0.23830994409275272,16,0.6071295519234254,BERT
89,0.15041114136715839,16,0.8474855351236565,BERT
62,0.297458758855587,16,0.7192849169977064,BERT
137,0.20949425853125858,16,0.780942427492743,BERT
71,0.11353281028883518,16,0.7848334521562912,BERT
99,0.1480743672639573,16,0.8486443472713087,BERT
103,0.07767559638556343,16,0.8035787009517226,BERT
121,0.19011771455703871,16,0.780942427492743,BERT
78,0.13452077951968655,16,0.8294618755288425,BERT
166,0.3308639148851822,8,0.4316622590143,BERT
100,0.21404876109325546,16,0.8205926943861913,BERT
142,0.05184045226775995,16,0.8374506222604909,BERT
113,0.1299032114470607,8,0.8397987017640676,BERT
51,0.1954438932907272,4,0.8033980061746839,BERT
132,0.06782690775210629,16,0.8133143470082548,BERT
90,0.13010509129799003,16,0.8474855351236565,BERT
100,0.1530168164737871,16,0.8486443472713087,BERT
116,0.10278836817499659,16,0.8539182680994442,BERT
153,0.04941885854681018,16,0.8439669788900007,BERT
127,0.09988481971854957,8,0.8414595766683463,BERT
116,0.18811802164948938,4,0.7838679371079711,BERT
80,0.09600785360450398,16,0.8260158771193642,BERT
135,0.0393103697302189,16,0.8397332605549672,BERT
101,0.2424919175466631,16,0.7655190364375032,BERT
146,0.06583621973392041,16,0.8379622661433992,BERT
95,0.1527815101782728,16,0.8486443472713087,BERT
