k,nc,umap_n_components,NMI,embedding
26,6,4,0.7530938486012871,BERT
32,6,2,0.8032888810945129,BERT
11,6,8,0.8504523910165817,BERT
34,6,2,0.7085542465942459,BERT
16,6,2,0.6028470962623101,BERT
31,6,4,0.8575297856079875,BERT
8,6,8,0.8572747188860469,BERT
50,6,16,0.8253446333090392,BERT
17,6,2,0.6028470962623101,BERT
37,6,8,0.829565769781555,BERT
45,6,4,0.8409223617310493,BERT
5,6,4,0.7707602964844951,BERT
25,6,8,0.717126276859391,BERT
20,6,16,0.6831533172904962,BERT
40,6,4,0.8409223617310493,BERT
6,6,8,0.748941004469567,BERT
30,6,4,0.8575297856079875,BERT
29,6,4,0.8575297856079875,BERT
40,6,4,0.8409223617310493,BERT
22,6,4,0.6091692560137048,BERT
31,6,4,0.8575297856079875,BERT
29,6,4,0.8575297856079875,BERT
35,6,4,0.8438761988503344,BERT
27,6,4,0.7530938486012873,BERT
22,6,16,0.6831533172904962,BERT
39,6,4,0.8438761988503344,BERT
30,6,4,0.8575297856079875,BERT
45,6,4,0.8409223617310493,BERT
24,6,4,0.6543290134919671,BERT
27,6,4,0.7530938486012873,BERT
34,6,16,0.839532472752706,BERT
31,6,4,0.8575297856079875,BERT
28,6,4,0.7530938486012873,BERT
31,6,4,0.8575297856079875,BERT
33,6,4,0.8575297856079875,BERT
37,6,2,0.7085542465942459,BERT
17,6,4,0.609169256013705,BERT
36,6,2,0.7085542465942459,BERT
32,6,4,0.8575297856079875,BERT
13,6,16,0.41156293236106944,BERT
43,6,8,0.8294594307820123,BERT
29,6,4,0.8575297856079875,BERT
25,6,4,0.7530938486012871,BERT
30,6,4,0.8575297856079875,BERT
23,6,2,0.7218594537723964,BERT
20,6,4,0.6091692560137048,BERT
27,6,4,0.7530938486012873,BERT
33,6,4,0.8575297856079875,BERT
29,6,8,0.7461670889584925,BERT
38,6,4,0.8438761988503344,BERT
20,6,4,0.6091692560137048,BERT
31,6,4,0.8575297856079875,BERT
35,6,4,0.8438761988503344,BERT
26,6,4,0.7530938486012871,BERT
32,6,4,0.8575297856079875,BERT
29,6,16,0.8380709448008411,BERT
25,6,4,0.7530938486012871,BERT
28,6,2,0.7228515583900007,BERT
50,6,8,0.8362166800852114,BERT
34,6,4,0.8575297856079875,BERT
41,6,4,0.8409223617310493,BERT
30,6,4,0.8575297856079875,BERT
31,6,4,0.8575297856079875,BERT
33,6,4,0.8575297856079875,BERT
26,6,4,0.7530938486012871,BERT
36,6,4,0.8438761988503344,BERT
28,6,4,0.7530938486012873,BERT
30,6,16,0.8380709448008411,BERT
32,6,4,0.8575297856079875,BERT
24,6,4,0.6543290134919671,BERT
35,6,4,0.8438761988503344,BERT
31,6,4,0.8575297856079875,BERT
30,6,4,0.8575297856079875,BERT
33,6,4,0.8575297856079875,BERT
27,6,2,0.7236513907877126,BERT
29,6,4,0.8575297856079875,BERT
31,6,8,0.7461670889584925,BERT
35,6,4,0.8438761988503344,BERT
37,6,4,0.8438761988503344,BERT
22,6,4,0.6091692560137048,BERT
34,6,16,0.839532472752706,BERT
32,6,4,0.8575297856079875,BERT
33,6,4,0.8575297856079875,BERT
28,6,4,0.7530938486012873,BERT
29,6,4,0.8575297856079875,BERT
26,6,4,0.7530938486012871,BERT
31,6,4,0.8575297856079875,BERT
36,6,4,0.8438761988503344,BERT
27,6,2,0.7236513907877126,BERT
38,6,4,0.8438761988503344,BERT
24,6,8,0.7104027127036392,BERT
32,6,4,0.8575297856079875,BERT
33,6,4,0.8575297856079875,BERT
30,6,4,0.8575297856079875,BERT
32,6,4,0.8575297856079875,BERT
