n_clusters,epsilon,umap_n_components,NMI,embedding
6,0.35188786313438797,16,0.0,BERT
6,0.589546195686393,2,0.0,BERT
6,0.06395576164701572,8,0.0,BERT
6,0.26996224665159135,8,0.0,BERT
6,0.10209746145136922,2,0.0,BERT
6,0.9003298663815332,2,0.0,BERT
6,0.9304217733654381,16,0.0,BERT
6,0.8449840136083756,4,0.0,BERT
6,0.3080667491051038,4,0.0,BERT
6,0.35114878668884736,2,0.0,BERT
6,0.5210077256816193,16,0.0,BERT
6,0.5875866492644132,16,0.0,BERT
6,0.6473722935510322,16,0.0,BERT
6,0.7269805971690046,2,0.0,BERT
6,0.4711063441276237,16,0.0,BERT
6,0.4264799897735174,2,0.0,BERT
6,0.6950435009072963,8,0.0,BERT
6,0.5686105176076163,4,0.0,BERT
6,0.21300549601944413,2,0.0,BERT
6,0.4058749345925899,16,0.0,BERT
6,0.4956272072918938,2,0.0,BERT
6,0.055829656092293234,8,0.0,BERT
6,0.17279823084352558,8,0.0,BERT
6,0.047597078733496695,8,0.0,BERT
6,0.14151578536744108,8,0.0,BERT
6,0.22007695147094702,8,0.0,BERT
6,0.011105977006881096,16,0.0,BERT
6,0.355867705265531,4,0.0,BERT
6,0.25724500852092835,2,0.0,BERT
6,0.2824307774560033,8,0.0,BERT
6,0.1250340606999118,16,0.0,BERT
6,0.11467787618376249,8,0.0,BERT
6,0.20003378325494117,8,0.0,BERT
6,0.3193619186680393,8,0.0,BERT
6,0.2547394592236172,2,0.0,BERT
6,0.40525087954681493,8,0.0,BERT
6,0.0779043611733613,4,0.0,BERT
6,0.3571404554543117,2,0.0,BERT
6,0.14764024386819527,16,0.0,BERT
6,0.3053712477821055,8,0.0,BERT
6,0.23446318710373296,16,0.0,BERT
6,0.10086949656108893,2,0.0,BERT
6,0.160296226892718,2,0.0,BERT
6,0.01812679967686911,2,0.0,BERT
6,0.1079729502293745,2,0.0,BERT
6,0.19231838392710499,4,0.0,BERT
6,0.5456274418485179,2,0.0,BERT
6,0.4590435766707792,16,0.0,BERT
6,0.6230241986770138,2,0.0,BERT
6,0.06908519451091097,16,0.0,BERT
6,0.5158864988471474,8,0.0,BERT
6,0.9792283681434621,2,0.0,BERT
6,0.8271843098348305,2,0.0,BERT
6,0.7549177326803866,2,0.0,BERT
6,0.9049219292939603,2,0.0,BERT
6,0.6106500640741181,4,0.0,BERT
6,0.1805532001901336,8,0.0,BERT
6,0.6904222458962699,16,0.0,BERT
6,0.4777786485503151,2,0.0,BERT
6,0.27349888821114576,8,0.0,BERT
6,0.5653586846917272,2,0.0,BERT
6,0.990338463668785,16,0.0,BERT
6,0.8242871469737347,16,0.0,BERT
6,0.3829128745679912,16,0.0,BERT
6,0.9173352047956843,16,0.0,BERT
6,0.21934169936144132,8,0.0,BERT
6,0.4440252804260916,16,0.0,BERT
6,0.4979936595308885,8,0.0,BERT
6,0.3443731818559407,4,0.0,BERT
6,0.1422381046634733,2,0.0,BERT
6,0.3033723712326601,8,0.0,BERT
6,0.4271648138868571,4,0.0,BERT
6,0.09048886368980696,4,0.0,BERT
6,0.0363633725758849,4,0.0,BERT
6,0.23198656745576166,4,0.0,BERT
6,0.12695273927047782,16,0.0,BERT
6,0.04653089299799291,2,0.0,BERT
6,0.1734069373868273,8,0.0,BERT
6,0.5266452081049308,2,0.0,BERT
6,0.19137897869420595,16,0.0,BERT
6,0.07271035386756483,2,0.0,BERT
6,0.3853597544498635,4,0.0,BERT
6,0.24995573263590437,4,0.0,BERT
6,0.3338825009028776,4,0.0,BERT
6,0.28871727096978717,4,0.0,BERT
6,0.3218441272512198,8,0.0,BERT
6,0.2673794349649389,4,0.0,BERT
6,0.35948885169473366,2,0.0,BERT
6,0.15990881490066333,16,0.0,BERT
6,0.2974899641004297,8,0.0,BERT
6,0.2092057036732437,2,0.0,BERT
6,0.40763550588877057,2,0.0,BERT
6,0.3288058813767657,2,0.0,BERT
6,0.23969415880865141,2,0.0,BERT
6,0.26835784069761914,2,0.0,BERT
6,0.4678504662049852,16,0.0,BERT
6,0.3741924890363688,8,0.0,BERT
6,0.11946154321302553,2,0.0,BERT
6,0.09396815576542442,4,0.0,BERT
6,0.4355204435173063,16,0.0,BERT
6,0.3139706979552635,2,0.0,BERT
6,0.5227077114320743,16,0.0,BERT
6,0.4914805100102271,16,0.0,BERT
6,0.5821412765856597,16,0.0,BERT
6,0.2862386280314432,16,0.0,BERT
6,0.34225058308690537,8,0.0,BERT
6,0.4148788508733966,2,0.0,BERT
6,0.44548505992971066,16,0.0,BERT
6,0.5591988329261752,4,0.0,BERT
6,0.6554626335269573,8,0.0,BERT
6,0.47947565117753527,2,0.0,BERT
6,0.5408018400620898,16,0.0,BERT
6,0.5972837738667779,16,0.0,BERT
6,0.02785712540178612,16,0.0,BERT
6,0.3963198991152747,16,0.0,BERT
6,0.37145872852744166,16,0.0,BERT
6,0.5054187793250206,4,0.0,BERT
6,0.07028388041748965,8,0.0,BERT
6,0.011984421395399743,2,0.0,BERT
6,0.6318939842046578,16,0.0,BERT
6,0.3603533084400491,2,0.0,BERT
6,0.5475778543611173,16,0.0,BERT
6,0.9031146977179224,16,0.0,BERT
6,0.5721243549329014,16,0.0,BERT
6,0.589423309350202,16,0.0,BERT
6,0.05684337915826712,4,0.0,BERT
6,0.23164500192493284,8,0.0,BERT
6,0.1977642520966908,2,0.0,BERT
6,0.2581833504009491,16,0.0,BERT
6,0.3096232245683276,4,0.0,BERT
6,0.6048811753661908,2,0.0,BERT
6,0.6980154904489592,2,0.0,BERT
6,0.13763267159931414,2,0.0,BERT
6,0.6278552043962662,2,0.0,BERT
