perplexity,MinPts,probability,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
23,18,0.9970222980679028,4,0.8138781367737722,BERT,0.954842757430694,0.9559843331271903,0.9552079971670289,0.955516359207895
23,18,0.9970287868254027,4,0.8138781367737722,BERT,0.9527159241061348,0.9541764584621728,0.9520588625499137,0.9546760024090359
22,18,0.997019276642742,4,0.8138781367737722,BERT,0.9534597201776943,0.9546268810554525,0.9535218946906066,0.9545832375714765
23,11,0.9970003693994908,16,0.7645768801214105,fasttext,0.9524821418952591,0.9537208822923109,0.9555392819249562,0.9509422082681006
29,23,0.9970569792134356,16,0.7645768801214105,fasttext,0.9527001182830694,0.9541743970315398,0.9549424150990198,0.9514410115271577
29,16,0.9970066141814108,8,0.7645768801214105,fasttext,0.9504843324048211,0.9518965161822305,0.953282338919722,0.9490029144147204
19,30,0.9970900341904348,4,0.6744045682594524,tfidf,0.9282842000189546,0.9278592042877756,0.9336531241516871,0.9256441872505172
19,30,0.997087589731858,4,0.6744045682594524,tfidf,0.9646316093546716,0.9641589363017934,0.9660529981975653,0.9638479218823661
19,30,0.9970799088062756,4,0.6744045682594524,tfidf,0.9354578840689719,0.9355761698618841,0.9399120465184675,0.9330441535456793
9,6,0.9970544511379548,16,0.7083102601333863,word2vec,0.9483219497388076,0.9487280972995258,0.9482809653270824,0.9491489513980896
9,6,0.997063633957881,16,0.7083102601333863,word2vec,0.9314517653892436,0.9305802927231499,0.9337002466229712,0.9314045152241359
9,6,0.9970640818118164,16,0.7083102601333863,word2vec,0.9116271949101753,0.9119769119769121,0.9153253683290222,0.9105469500745851
