perplexity,MinPts,probability,umap_n_components,NMI,embedding
7,17,0.9970264927628532,2,0.2501717005732157,BERT
24,24,0.9970982085376602,16,0.6165922460905408,BERT
21,30,0.9970702703611494,8,0.6050808322871853,BERT
4,6,0.9970757241570929,16,0.39762397648402426,BERT
27,18,0.9970958423482239,2,0.6291851928892832,BERT
30,13,0.9970185673875599,4,0.6266908070047995,BERT
17,11,0.997098094379132,16,0.6335160979625098,BERT
8,2,0.9970839794202282,2,0.5304709809892526,BERT
4,28,0.9970170510404486,2,0.0,BERT
16,25,0.9970944258168829,8,0.5752893008111396,BERT
14,11,0.9970550266240068,16,0.6035503569041298,BERT
30,19,0.997096584823246,4,0.6222661353707538,BERT
23,10,0.9970658042343965,16,0.6209912683055584,BERT
16,19,0.9970825612479606,2,0.5645045892376276,BERT
26,7,0.9970392561096303,16,0.6267667365499915,BERT
12,15,0.9970999694393387,2,0.5268521648341883,BERT
19,22,0.9970571200894547,8,0.627813876128874,BERT
27,1,0.9970011204917898,4,0.6273860199430914,BERT
18,7,0.9970866412866695,16,0.619105882419227,BERT
10,14,0.997073728339681,2,0.47566895948549104,BERT
1,19,0.9970879979528188,2,0.0,BERT
20,22,0.997060264511255,8,0.627813876128874,BERT
19,22,0.9970500635568328,8,0.627813876128874,BERT
22,17,0.9970783287578341,8,0.6376568373067839,BERT
27,11,0.9970789201132363,8,0.6334242357997082,BERT
23,11,0.9970744729480139,8,0.648117579243933,BERT
23,5,0.9970660709228828,8,0.6502871924573216,BERT
23,4,0.9970665863045624,8,0.6502871924573216,BERT
24,4,0.9970666038803045,8,0.6293122097243788,BERT
25,4,0.9970637006319641,8,0.6293122097243788,BERT
22,9,0.9970731875198732,8,0.6408558760403438,BERT
22,9,0.9970717181827804,8,0.6408558760403438,BERT
21,4,0.9970632775003588,8,0.6338902443654612,BERT
24,8,0.9970694299172667,8,0.6293122097243786,BERT
28,5,0.9970738415636972,8,0.6358591069898075,BERT
23,2,0.9970691890057295,8,0.6502871924573216,BERT
25,2,0.9970568306190587,8,0.6293122097243788,BERT
14,1,0.9970693596213656,8,0.624933937908837,BERT
29,6,0.9970490050964322,4,0.629270462608102,BERT
20,13,0.9970767324474444,8,0.6309895103943077,BERT
25,3,0.9970806360039198,8,0.6293122097243788,BERT
22,6,0.9970703657793132,8,0.6437851548280594,BERT
23,6,0.9970687645419151,8,0.6502871924573216,BERT
18,3,0.9970631352044583,8,0.6321162631135321,BERT
23,5,0.9970674994532276,8,0.6502871924573216,BERT
20,5,0.9970671168033886,8,0.6338902443654612,BERT
28,2,0.9970607605204189,4,0.629270462608102,BERT
23,8,0.9970678335572476,8,0.6502871924573217,BERT
26,7,0.9970819534923616,8,0.6358591069898075,BERT
17,9,0.9970515273549786,16,0.6134157925385949,BERT
21,3,0.9970763764135225,8,0.6338902443654612,BERT
23,5,0.9970668564596499,8,0.6502871924573216,BERT
24,8,0.9970581993336243,8,0.6293122097243786,BERT
26,1,0.9970693078635061,8,0.6358591069898075,BERT
21,6,0.9970622912534757,8,0.6338902443654612,BERT
24,4,0.9970651395271426,4,0.6175806812838589,BERT
19,7,0.9970545140146622,8,0.6338902443654612,BERT
23,3,0.9970846338840103,2,0.6202478683908135,BERT
15,2,0.9970725207580771,16,0.6139202611791104,BERT
26,28,0.9970905752236039,8,0.6309437258443891,BERT
29,5,0.9970785476558196,8,0.6358591069898075,BERT
23,5,0.9970662872727138,8,0.6502871924573216,BERT
23,8,0.9970596408205934,8,0.6502871924573217,BERT
21,10,0.9970608190985122,8,0.6309895103943074,BERT
25,8,0.9970590232924528,8,0.6293122097243786,BERT
22,13,0.9970755472977937,8,0.6408558760403438,BERT
20,10,0.9970706214431427,2,0.6072104032408142,BERT
6,7,0.9970642196600658,8,0.4647316535708669,BERT
25,12,0.9970674932662921,8,0.6268916661194472,BERT
18,4,0.9970617779753802,16,0.6191058824192269,BERT
27,6,0.9970723058286219,4,0.6273860199430914,BERT
23,5,0.9970679715590417,8,0.6502871924573216,BERT
23,6,0.9970646373057243,8,0.6502871924573216,BERT
22,3,0.9970677223928704,8,0.6437851548280594,BERT
24,8,0.9970745694840332,8,0.6293122097243786,BERT
21,2,0.9970557559603563,8,0.6338902443654612,BERT
19,4,0.9970647823925702,8,0.6338902443654612,BERT
24,7,0.9970709151086329,8,0.6293122097243788,BERT
26,17,0.997059911894484,8,0.6286808886804007,BERT
23,1,0.9970775246143647,8,0.6502871924573216,BERT
10,9,0.9970801060357706,2,0.5186325214624142,BERT
23,6,0.9970665543708754,8,0.6502871924573216,BERT
22,5,0.9970687892955886,8,0.6437851548280594,BERT
25,5,0.9970653302949412,8,0.6293122097243788,BERT
20,5,0.9970624136409377,8,0.6338902443654612,BERT
23,4,0.9970717952850774,8,0.6502871924573216,BERT
21,2,0.9970744215903514,8,0.6338902443654612,BERT
24,8,0.9970581441895942,8,0.6293122097243786,BERT
25,3,0.9970662044744879,4,0.6175806812838589,BERT
22,6,0.9970605438387881,8,0.6437851548280594,BERT
28,24,0.9970699502832927,16,0.6171973006283976,BERT
23,5,0.9970684309782442,8,0.6502871924573216,BERT
