min_cluster_size,rho,beta,umap_n_components,NMI,embedding
39,0.6176304524430202,0.18772598496391454,4,0.49511829367354526,BERT
128,0.07759363372547642,0.5919750368513967,16,0.5442416922301028,BERT
40,0.4228704351463598,0.3282377835846534,2,0.5036842099463371,BERT
114,0.7096807691685703,0.1899979273014015,2,0.5954073561627645,BERT
109,1.432426108102837,0.28043942326308624,8,0.5507217866276594,BERT
69,1.0984747052385802,0.1353374309298472,4,0.5071318569103935,BERT
109,0.7146598767312383,0.33038523766859995,2,0.5878337282156927,BERT
144,0.38030959339109893,0.5562480011488685,8,0.5722715000717719,BERT
111,0.11097448923959463,0.5758121833380456,16,0.549523256816685,BERT
63,0.2365144393348957,0.3242076877349578,8,0.5755873400051406,BERT
188,1.6188763728227056,0.1043873175057798,2,0.6209937972883168,BERT
194,1.966923855155361,0.1026934565728101,2,0.6314347421710735,BERT
195,1.9735161115100066,0.12214565129856686,2,0.6314347421710735,BERT
193,1.9973743672928208,0.11427701403073824,2,0.6063758805940213,BERT
161,1.9239674618834028,0.20687810909733687,2,0.5540979730047332,BERT
169,1.7276525239229046,0.24923117069613462,2,0.5844866751178304,BERT
172,1.3715954820753655,0.15654403892903476,2,0.6017948899669564,BERT
145,1.8001655910255077,0.22309414311422582,4,0.5749994534290596,BERT
78,1.9882389385018433,0.15328347645476043,16,0.47921074090679555,BERT
13,1.5863143714592975,0.10129323824165651,2,0.3837409856677175,BERT
195,1.758035413377185,0.4288411984196304,2,0.5536083123958273,BERT
185,1.6091734240478406,0.10199208132696137,2,0.6314462865491115,BERT
172,1.8442626230851935,0.16068154035324417,2,0.6107509817516495,BERT
151,1.5964414246686287,0.10027189657556654,2,0.5754839755670536,BERT
178,1.8655681419165973,0.16054500373196753,2,0.6018530827244242,BERT
133,1.3889007382305585,0.13508939041130125,2,0.5774137650334419,BERT
182,1.9908287904458828,0.2451398458297871,4,0.5666084583471829,BERT
154,1.7559305398212548,0.19016245922325897,16,0.5658488829412491,BERT
91,1.694278871861622,0.13455152274678392,8,0.5156888045705158,BERT
165,1.88292485254442,0.17470335234554973,4,0.5626088559832509,BERT
186,1.5018707514034277,0.19946598819053216,2,0.6335473149136562,BERT
183,1.5093456773263323,0.1316621046097949,2,0.59515514776666,BERT
194,1.2854956938612538,0.17798863611396354,2,0.5944109760939809,BERT
180,1.672911393083019,0.13300820109194228,2,0.6285898223598713,BERT
162,1.8360923214813376,0.19498602392433317,2,0.5602467976002842,BERT
129,1.5434951978337794,0.1023163551996422,2,0.5750801323105915,BERT
