min_samples,eps,umap_n_components,NMI,embedding
9,0.7811791171153959,2,0.6152664561495232,BERT
8,0.18614625839797963,2,0.4358956814767837,BERT
8,0.23236414477483866,8,0.4198715972733804,BERT
10,0.32370718889826633,16,0.47795048319166844,BERT
6,0.7118899503523034,2,0.6209335474398848,BERT
6,0.7201104444508979,4,0.6382787676715969,BERT
5,0.657726871659209,2,0.6124222307553642,BERT
10,0.22026887875403248,16,0.3846537074559947,BERT
5,0.3111393479580688,8,0.5036169855681526,BERT
8,0.6122659816328837,16,0.6211143257199202,BERT
6,0.9437452406299147,4,0.6201925605762724,BERT
7,0.5174103949150108,4,0.5941329071324498,BERT
7,0.5189582114291188,4,0.5941329071324498,BERT
6,0.8653590784322539,16,0.6267667365499915,BERT
6,0.9979050967959335,16,0.6267667365499915,BERT
6,0.8228921252213075,4,0.6201925605762724,BERT
5,0.8606311276151004,16,0.6267667365499915,BERT
7,0.8855941031647642,4,0.6201925605762724,BERT
6,0.7495674777734928,8,0.6275454434108464,BERT
5,0.7436986872742124,8,0.6275454434108464,BERT
7,0.5931482412309744,8,0.6085148863104366,BERT
5,0.7259323581764745,8,0.6275454434108464,BERT
5,0.7729361910055796,8,0.6275454434108464,BERT
6,0.7020977806450669,8,0.6275454434108464,BERT
5,0.7860437815511196,8,0.6377319954982937,BERT
6,0.8166850127908899,8,0.6469937093544036,BERT
7,0.9236809347816929,4,0.6201925605762724,BERT
5,0.8257241563384422,8,0.6287534778746909,BERT
6,0.6459512563678291,8,0.61783816219463,BERT
9,0.8054144364126556,4,0.614505983778182,BERT
9,0.785865453888315,2,0.6152664561495232,BERT
5,0.8159830762026942,8,0.6469937093544036,BERT
5,0.8282025633911007,8,0.6287534778746909,BERT
5,0.9038479060506788,8,0.636907140965179,BERT
6,0.7632960998058143,8,0.6275454434108464,BERT
8,0.6806854573666458,8,0.616036173591895,BERT
5,0.9499494758512258,2,0.6209335474398848,BERT
6,0.8613134225087538,8,0.636907140965179,BERT
5,0.7053328307383501,2,0.6209335474398848,BERT
6,0.7880340401575526,8,0.6377319954982937,BERT
7,0.6368118226065215,4,0.6237777298737607,BERT
6,0.7902454958688443,8,0.6377319954982937,BERT
6,0.7268597659292493,8,0.6275454434108464,BERT
5,0.8335207088381138,8,0.6287534778746909,BERT
6,0.6804953580629225,8,0.61783816219463,BERT
7,0.7801114698296341,8,0.6377319954982935,BERT
8,0.8875632772415997,4,0.6181609584773246,BERT
6,0.7536065376890722,16,0.6191058824192269,BERT
5,0.8552583947848192,8,0.636907140965179,BERT
10,0.5714937832934563,4,0.6055379459195406,BERT
5,0.8029680553215739,2,0.6209335474398848,BERT
6,0.7925045838179972,8,0.6377319954982937,BERT
6,0.7332760940675349,8,0.6275454434108464,BERT
7,0.6795667008639518,8,0.61783816219463,BERT
6,0.8485213007532814,8,0.636907140965179,BERT
6,0.8181866803333451,8,0.6469937093544036,BERT
7,0.8884309148635672,16,0.6267667365499915,BERT
5,0.8216130838439445,8,0.6469937093544036,BERT
5,0.942569685518309,4,0.6201925605762724,BERT
5,0.8245366795510376,8,0.6287534778746909,BERT
5,0.7494213504103782,8,0.6275454434108464,BERT
6,0.8725437546606367,8,0.636907140965179,BERT
5,0.8226237041931684,8,0.6469937093544036,BERT
5,0.8166322955603367,8,0.6469937093544036,BERT
5,0.8440656181556013,8,0.6287534778746909,BERT
5,0.8204486206322611,8,0.6469937093544036,BERT
5,0.8125667941724986,8,0.6469937093544036,BERT
5,0.9758624930089993,8,0.636907140965179,BERT
5,0.9088702385823504,8,0.636907140965179,BERT
5,0.911622224698888,8,0.636907140965179,BERT
5,0.8775115489724304,8,0.636907140965179,BERT
5,0.8247858737143657,8,0.6287534778746909,BERT
5,0.8113971310666281,8,0.6469937093544036,BERT
5,0.7682411333783097,8,0.6275454434108464,BERT
5,0.8171387260643125,8,0.6469937093544036,BERT
5,0.8402210950608828,8,0.6287534778746909,BERT
5,0.8710891393388829,16,0.6267667365499915,BERT
5,0.762205666136326,8,0.6275454434108464,BERT
5,0.7279595346314401,2,0.6209335474398848,BERT
5,0.802172003455578,8,0.6434031865382834,BERT
6,0.928024418762023,8,0.636907140965179,BERT
5,0.8092264595320007,8,0.6469937093544036,BERT
5,0.8485448214885414,8,0.636907140965179,BERT
5,0.7708444896889228,8,0.6275454434108464,BERT
5,0.8930721364554334,8,0.636907140965179,BERT
5,0.8142693908554295,8,0.6469937093544036,BERT
5,0.8616226649240566,8,0.636907140965179,BERT
5,0.7420940491384841,8,0.6275454434108464,BERT
6,0.784337644562786,8,0.6377319954982937,BERT
5,0.8313037608565331,8,0.6287534778746909,BERT
8,0.7040529672289528,2,0.6189082260409972,BERT
5,0.8118316961148114,8,0.6469937093544036,BERT
5,0.8015288369147616,8,0.6434031865382834,BERT
5,0.8542770371114268,8,0.636907140965179,BERT
5,0.7596096703420463,8,0.6275454434108464,BERT
6,0.8397675424459912,16,0.6267667365499915,BERT
5,0.880489531558986,8,0.636907140965179,BERT
9,0.7813061933317591,8,0.6326266062241996,BERT
5,0.8107717519724182,8,0.6469937093544036,BERT
5,0.9041045310069776,8,0.636907140965179,BERT
6,0.8262630066037459,8,0.6287534778746909,BERT
5,0.8011696348586599,8,0.6434031865382834,BERT
5,0.8637109731823833,8,0.636907140965179,BERT
5,0.8159570440595071,8,0.6469937093544036,BERT
5,0.7429301930566083,8,0.6275454434108464,BERT
5,0.7705900258266762,8,0.6275454434108464,BERT
5,0.8414445120116919,8,0.6287534778746909,BERT
6,0.7175793174163236,8,0.6275454434108464,BERT
5,0.798859551803123,8,0.6434031865382834,BERT
5,0.7859278359204959,2,0.6209335474398848,BERT
7,0.8745797854395183,16,0.6267667365499915,BERT
5,0.8267926076369906,8,0.6287534778746909,BERT
5,0.8129032535692305,8,0.6469937093544036,BERT
5,0.8514211209296352,8,0.636907140965179,BERT
5,0.7708099981546768,8,0.6275454434108464,BERT
5,0.8181634492838303,8,0.6469937093544036,BERT
5,0.7905015940342777,4,0.6382787676715969,BERT
5,0.8964998010164301,8,0.636907140965179,BERT
10,0.7478223487738814,8,0.6224652408929572,BERT
5,0.8397346744408792,8,0.6287534778746909,BERT
6,0.8609732632970809,8,0.636907140965179,BERT
5,0.8128300466179524,8,0.6469937093544036,BERT
5,0.8018191452942182,8,0.6434031865382834,BERT
5,0.8271775093222579,8,0.6287534778746909,BERT
5,0.7856192028105997,8,0.6377319954982937,BERT
5,0.7598499871163762,8,0.6275454434108464,BERT
5,0.8134732583222449,8,0.6469937093544036,BERT
5,0.8850236627670951,8,0.636907140965179,BERT
5,0.8440852055008208,8,0.6287534778746909,BERT
5,0.8689777605345661,8,0.636907140965179,BERT
5,0.7289567848831526,8,0.6275454434108464,BERT
5,0.8102849851316455,8,0.6469937093544036,BERT
5,0.8345101671190499,8,0.6287534778746909,BERT
5,0.7800197434218609,8,0.6377319954982937,BERT
5,0.7998403903842192,8,0.6434031865382834,BERT
5,0.8154195946425935,8,0.6469937093544036,BERT
5,0.8554255023685964,2,0.6209335474398848,BERT
5,0.7556914187100637,8,0.6275454434108464,BERT
5,0.7764684270674108,16,0.6191058824192269,BERT
6,0.8296583989648437,4,0.6201925605762724,BERT
5,0.7967074501233954,8,0.6434031865382834,BERT
5,0.8165370641186523,8,0.6469937093544036,BERT
5,0.856187601366196,8,0.636907140965179,BERT
5,0.8196464721150205,8,0.6469937093544036,BERT
5,0.8036624079751552,8,0.6434031865382834,BERT
5,0.8467114139667088,8,0.636907140965179,BERT
7,0.7709681625760433,8,0.6275454434108464,BERT
5,0.8781476823543283,8,0.636907140965179,BERT
5,0.8295618492995533,8,0.6287534778746909,BERT
5,0.9247435816701384,8,0.636907140965179,BERT
5,0.7434467901548318,8,0.6275454434108464,BERT
5,0.8102668226941315,8,0.6469937093544036,BERT
5,0.7914591318928943,8,0.6377319954982937,BERT
5,0.8175019422653569,8,0.6469937093544036,BERT
5,0.8419134183499617,8,0.6287534778746909,BERT
5,0.7865766519619658,8,0.6377319954982937,BERT
5,0.8630416623011526,8,0.636907140965179,BERT
5,0.764194269842349,8,0.6275454434108464,BERT
5,0.8090333259151368,8,0.6469937093544036,BERT
6,0.829039491924917,8,0.6287534778746909,BERT
8,0.893124386223535,8,0.6348127935340345,BERT
5,0.8083227207805559,8,0.6469937093544036,BERT
5,0.8400372883762344,8,0.6287534778746909,BERT
5,0.8232819126075721,8,0.6287534778746909,BERT
5,0.7898347574647683,8,0.6377319954982937,BERT
5,0.8665833259299746,8,0.636907140965179,BERT
5,0.7695393159289059,2,0.6209335474398848,BERT
5,0.81785912459681,16,0.6267667365499915,BERT
5,0.8434477462081708,8,0.6287534778746909,BERT
5,0.7981168143520039,4,0.6382787676715969,BERT
5,0.7812585888980002,8,0.6377319954982937,BERT
5,0.8169231804582043,8,0.6469937093544036,BERT
5,0.8059490420638636,8,0.6434031865382834,BERT
5,0.8349437675795228,8,0.6287534778746909,BERT
5,0.8583679822121045,8,0.636907140965179,BERT
5,0.8127326294420596,8,0.6469937093544036,BERT
5,0.6105979963141723,8,0.6134678985108186,BERT
5,0.788224104318476,8,0.6377319954982937,BERT
5,0.8334612894358582,8,0.6287534778746909,BERT
5,0.757214660127139,8,0.6275454434108464,BERT
5,0.853310427036762,8,0.636907140965179,BERT
5,0.5359339818135997,8,0.5990081392382917,BERT
5,0.8149008380929874,8,0.6469937093544036,BERT
5,0.7988176006918538,8,0.6434031865382834,BERT
5,0.472151053877463,8,0.596761740243889,BERT
5,0.8220188208812697,8,0.6469937093544036,BERT
5,0.776615257238124,8,0.6275454434108464,BERT
5,0.8035644084633593,8,0.6434031865382834,BERT
5,0.8792455760062262,8,0.636907140965179,BERT
7,0.8359760622311807,8,0.628753477874691,BERT
5,0.8510154797248545,8,0.636907140965179,BERT
5,0.8143549316896747,8,0.6469937093544036,BERT
5,0.7959407206157378,8,0.6434031865382834,BERT
5,0.8190777450783472,8,0.6469937093544036,BERT
5,0.7770299793556061,8,0.6275454434108464,BERT
5,0.8344623695544287,8,0.6287534778746909,BERT
5,0.8085827879598448,8,0.6469937093544036,BERT
5,0.7967497451522085,8,0.6434031865382834,BERT
5,0.84757357533066,2,0.6209335474398848,BERT
5,0.9539162340305481,8,0.636907140965179,BERT
10,0.6916663631354533,2,0.7001553534810975,word2vec
9,0.3019285959063273,4,0.5118710076368855,word2vec
5,0.13392267297652083,8,0.3778379448042247,word2vec
7,0.2641665546872141,8,0.4708839897383346,word2vec
6,0.8754905146869273,16,0.7233603666336108,word2vec
9,0.6146371566556799,2,0.7041757654305779,word2vec
9,0.641404581611497,8,0.7094673348977286,word2vec
10,0.6098152470199807,8,0.7056886144682784,word2vec
7,0.6668548444414956,2,0.7066145733141147,word2vec
9,0.7090171246460711,8,0.7148777160539874,word2vec
