density_threshold,distance_threshold,umap_n_components,NMI,embedding
0.13382813439476182,0.1448890092125745,4,0.3812143877952817,BERT
0.9719335363405209,0.042026096693471175,2,0.3523869267739503,BERT
0.3922733221414978,0.44369734610623557,8,0.5140441811775007,BERT
0.3406259706772911,0.9309818126634719,4,0.6034296154851907,BERT
0.04480540910325947,0.03897394594648254,4,0.3419096593333695,BERT
0.03077892177019534,0.7726868163689038,2,0.6011769201814811,BERT
0.06723293708044414,0.21492549245330397,8,0.4105350285700327,BERT
0.32206315127731,0.29045698294529976,8,0.45017195252528985,BERT
0.3155189765161665,0.5767121865485125,8,0.5544318576670065,BERT
0.3769022015819704,0.868884840547547,16,0.6042280945576664,BERT
0.6017674864554587,0.9878090416585609,16,0.6251188356222446,BERT
0.6456321877399823,0.9807930171044925,16,0.6251188356222446,BERT
0.7072126345788722,0.9935488653171219,16,0.6251188356222446,BERT
0.5899497073136887,0.7468257346354019,16,0.5942797532678873,BERT
0.6787592678854527,0.8083537303620174,16,0.5942797532678873,BERT
0.7867462489673266,0.9825833516114238,16,0.6251188356222446,BERT
0.5206377906630134,0.7310657589832816,16,0.58869992643271,BERT
0.832385546638033,0.8897245827191004,16,0.6251188356222446,BERT
0.5393562136764757,0.6479741321571375,16,0.58869992643271,BERT
0.6187653051172654,0.864273750916472,2,0.6011769201814811,BERT
0.46940043584352303,0.9908143104838224,16,0.6251188356222446,BERT
0.7309248605462754,0.9713173430881651,16,0.6251188356222446,BERT
0.666060263232604,0.8852404072310726,16,0.6251188356222446,BERT
0.7817390235840429,0.985268115629321,16,0.6251188356222446,BERT
0.606476164463579,0.8360912829305338,16,0.5942797532678873,BERT
0.8726046529727707,0.9176537451738466,16,0.6251188356222446,BERT
0.7210022059365534,0.6860365731995155,16,0.58869992643271,BERT
0.6981374484652956,0.8001411789769797,2,0.6011769201814811,BERT
0.6220472269490946,0.9977007117339727,4,0.6242684884720754,BERT
0.47127414379232224,0.9223741545877187,4,0.6034296154851907,BERT
0.5589423076180331,0.8255101038614541,16,0.5942797532678873,BERT
0.7610002010465343,0.9134968709363629,16,0.6251188356222446,BERT
0.8238467188850214,0.9978896732538163,16,0.6251188356222446,BERT
0.9058118199404479,0.9412784330292281,16,0.6251188356222446,BERT
0.774680949204329,0.8514455945545139,16,0.6042280945576664,BERT
0.9616127799251646,0.9258002405753882,2,0.6011769201814811,BERT
0.6395751876422456,0.9453676722562647,4,0.6242684884720754,BERT
0.6875905632363988,0.7795882947833536,8,0.5937469202138436,BERT
0.7230677527511735,0.8561987709842356,16,0.6042280945576664,BERT
0.6658981652577595,0.948744419406881,8,0.6364766050688413,BERT
0.5794081753355402,0.43867273095580317,8,0.5140441811775007,BERT
0.6586808119863912,0.9693146659866396,8,0.6364766050688413,BERT
0.6538268389540906,0.9397271149420601,8,0.6364766050688413,BERT
0.6487697062956745,0.8916406346106681,8,0.6364766050688413,BERT
0.650539924727614,0.8921300575508038,8,0.6364766050688413,BERT
0.5569270586635917,0.8702141385673358,8,0.6364766050688413,BERT
0.6561799699947154,0.8129351570890136,8,0.5937469202138436,BERT
0.5031129829347576,0.90406765501045,8,0.6364766050688413,BERT
0.5951614083444265,0.9385135175253801,8,0.6364766050688413,BERT
0.6572937476449066,0.7611431563383353,8,0.5937469202138436,BERT
0.7514121603785477,0.831317071601102,8,0.6126224611523621,BERT
0.5580944058535273,0.8791000309111283,8,0.6364766050688413,BERT
0.6893023596740828,0.8842709886296048,8,0.6364766050688413,BERT
0.6216609105743397,0.9550500051355338,8,0.6364766050688413,BERT
0.5778740234030777,0.8564236119138752,8,0.6156708314202065,BERT
0.5291770883429494,0.9478947828400458,8,0.6364766050688413,BERT
0.6605679366991835,0.8963991371904098,8,0.6364766050688413,BERT
0.7215522495572559,0.7357305972384846,8,0.583412884705664,BERT
0.6360321330862129,0.7951329562217174,8,0.5937469202138436,BERT
0.6910488082225935,0.9530078422964403,8,0.6364766050688413,BERT
0.4929438399292923,0.8934149055088358,8,0.6364766050688413,BERT
0.44425749419550903,0.8934333102980312,8,0.6364766050688413,BERT
0.5329472551424111,0.962790383767787,8,0.6364766050688413,BERT
0.5968127272336765,0.8408495374865708,8,0.6156708314202065,BERT
0.5153718229711707,0.9134437358516082,8,0.6364766050688413,BERT
0.5786026286035508,0.8679963711572017,8,0.6364766050688413,BERT
0.6235624736399564,0.7913899511951381,8,0.5937469202138436,BERT
0.5536985854044049,0.9698444074262926,2,0.6011769201814811,BERT
0.6581516900186791,0.9172178045179014,8,0.6364766050688413,BERT
0.731837103524196,0.8310752420373376,8,0.6126224611523621,BERT
0.4270654808873753,0.7607486785085423,4,0.5717992947113113,BERT
0.5964441647408504,0.9384336608292763,8,0.6364766050688413,BERT
0.4945809267440288,0.9947726642849584,8,0.6364766050688413,BERT
0.6119600531378167,0.9193757358833307,8,0.6364766050688413,BERT
0.6744835135876184,0.967787164425635,8,0.6364766050688413,BERT
0.5557828234249717,0.8750384184474788,8,0.6364766050688413,BERT
0.7062615713230387,0.9381887409133192,8,0.6364766050688413,BERT
0.6466937391406835,0.8187580677249795,2,0.6011769201814811,BERT
0.5871254718166232,0.8602547794078591,8,0.6156708314202065,BERT
0.6169571447955653,0.9654124493204419,8,0.6364766050688413,BERT
0.5113477625669812,0.906306969203619,4,0.6034296154851907,BERT
