min_cluster_size,min_samples,umap_n_components,NMI,embedding
110,152,8,0.5858588812952736,BERT
176,13,16,0.6016268711058732,BERT
106,104,2,0.6098842701081817,BERT
52,23,16,0.6428817477997372,BERT
94,138,2,0.6030066506239149,BERT
181,115,4,0.6556336511562078,BERT
7,65,16,0.6458765088482467,BERT
27,141,8,0.5858588812952736,BERT
38,95,8,0.6212108852700776,BERT
86,127,16,0.6077820159963074,BERT
195,190,4,0.440528948282881,BERT
154,60,4,0.670349823129438,BERT
159,50,4,0.6441230373983396,BERT
160,72,4,0.6828100116779068,BERT
142,73,4,0.6828100116779068,BERT
136,76,4,0.6617610695975871,BERT
132,40,4,0.670349823129438,BERT
137,91,4,0.6556336511562078,BERT
72,80,4,0.6505269441043076,BERT
154,36,2,0.6310894045995212,BERT
122,172,4,0.440528948282881,BERT
157,63,4,0.670349823129438,BERT
166,51,4,0.670349823129438,BERT
139,74,4,0.6636130254438168,BERT
193,112,4,0.6556336511562078,BERT
119,55,4,0.6389227872372956,BERT
146,87,4,0.6556336511562078,BERT
173,30,8,0.6617695937075737,BERT
125,67,2,0.6271271002392674,BERT
114,45,8,0.635043158579956,BERT
168,14,4,0.6499253136112568,BERT
146,36,4,0.670349823129438,BERT
181,57,4,0.670349823129438,BERT
128,6,4,0.5759383122969292,BERT
105,102,16,0.6299707215724163,BERT
150,43,4,0.670349823129438,BERT
92,21,2,0.6042625105155699,BERT
135,82,4,0.6574822906524617,BERT
163,27,16,0.5839673102517323,BERT
183,67,4,0.6629781687524824,BERT
112,38,8,0.6418866222810943,BERT
153,60,4,0.670349823129438,BERT
160,64,4,0.670349823129438,BERT
175,71,4,0.6828100116779068,BERT
186,73,4,0.6828100116779068,BERT
189,96,16,0.6208441151479016,BERT
179,109,4,0.6556336511562078,BERT
169,123,2,0.612129133811882,BERT
176,75,4,0.6617610695975871,BERT
187,86,4,0.6556336511562078,BERT
68,71,4,0.6505269441043076,BERT
142,50,4,0.6483306366469823,BERT
175,80,4,0.6828100116779068,BERT
174,90,4,0.6556336511562078,BERT
193,82,4,0.6574822906524617,BERT
162,98,4,0.6556336511562078,BERT
183,74,8,0.6344529447991377,BERT
168,56,4,0.670349823129438,BERT
156,153,4,0.440528948282881,BERT
149,80,16,0.6251267127078867,BERT
174,70,2,0.6265072364346224,BERT
134,44,4,0.670349823129438,BERT
143,62,4,0.670349823129438,BERT
5,52,4,0.6389227872372956,BERT
129,86,4,0.6556336511562078,BERT
160,92,4,0.6556336511562078,BERT
169,79,4,0.6828100116779068,BERT
186,104,4,0.6556336511562078,BERT
18,78,4,0.6505269441043076,BERT
195,68,4,0.6617610695975871,BERT
169,59,8,0.6227826976771696,BERT
153,73,4,0.6828100116779068,BERT
154,73,4,0.6828100116779068,BERT
178,73,4,0.6828100116779068,BERT
165,83,4,0.6574822906524617,BERT
151,77,4,0.6828100116779068,BERT
172,95,4,0.6556336511562078,BERT
154,65,4,0.670349823129438,BERT
158,90,2,0.6063914136058309,BERT
189,70,16,0.6466229319207821,BERT
141,86,4,0.6556336511562078,BERT
179,75,4,0.6617610695975871,BERT
177,72,4,0.6828100116779068,BERT
166,64,4,0.670349823129438,BERT
183,82,4,0.6574822906524617,BERT
