min_samples,xi,umap_n_components,NMI,embedding
153,0.7791011383465546,2,0.0,BERT
29,0.5159221316956817,8,0.6457692590844362,BERT
113,0.22851999730455005,16,0.6446301214594793,BERT
16,0.4712977968525721,16,0.6046373752328128,BERT
150,0.7977441578979302,4,0.0,BERT
126,0.4454984800144935,16,0.5637299898970856,BERT
118,0.8479617467802509,16,0.0,BERT
91,0.5626591141227192,16,0.37384744625759603,BERT
28,0.8161735320599001,4,0.10308012653803969,BERT
22,0.49254077172516414,8,0.6288020242450791,BERT
51,0.015719072311588422,8,0.3553629402929858,BERT
195,0.24696258845906516,8,0.6304920688316505,BERT
73,0.25699973774792934,2,0.6058264291012173,BERT
64,0.31782635715671675,8,0.624612858035318,BERT
101,0.6486278326794317,16,0.37384744625759603,BERT
50,0.1388928930886968,8,0.6137376555950187,BERT
148,0.36879631531095985,4,0.5660278422069238,BERT
191,0.6043334597490652,2,0.0,BERT
89,0.3844753158323126,16,0.4197017079733927,BERT
112,0.19239666516379722,8,0.6228325398449627,BERT
38,0.09064926377469557,16,0.4656464039844502,BERT
170,0.2590903427462439,8,0.5610023556802728,BERT
192,0.23720616604495687,8,0.6330403689215212,BERT
131,0.33085827667736367,8,0.5610023556802728,BERT
168,0.17288655878941617,8,0.6531413171600052,BERT
9,0.1454467033166148,8,0.31691250554934786,BERT
80,0.010227568103050255,2,0.49764833368555617,BERT
172,0.4076695965162607,4,0.5660278422069238,BERT
135,0.08104894862595188,8,0.6700469094136288,BERT
137,0.7266767827380549,8,0.0,BERT
159,0.08268628250395771,8,0.6701112233923375,BERT
164,0.07648942512354773,8,0.6701112233923375,BERT
168,0.0747934773943454,8,0.6701112233923375,BERT
162,0.10107478640235336,8,0.6701112233923375,BERT
160,0.08122753815960027,8,0.6701112233923375,BERT
178,0.07969282099217552,8,0.6670644404044596,BERT
157,0.042275260656377066,8,0.6406679707754865,BERT
145,0.14591638192377632,8,0.6701112233923375,BERT
182,0.11706702423547308,2,0.5590875769851549,BERT
165,0.1989369310334796,8,0.6531413171600052,BERT
122,0.04481844675970563,4,0.6996393566696141,BERT
143,0.04505138940966141,4,0.6921185865983455,BERT
122,0.047588070073978375,4,0.6948747964344684,BERT
122,0.048146766798055005,4,0.6948747964344684,BERT
116,0.03676823142298965,4,0.6117164301355116,BERT
123,0.03839712397781102,4,0.6996393566696141,BERT
123,0.014043695965541513,4,0.5585094403419507,BERT
106,0.0411446639803646,4,0.597677006533404,BERT
141,0.1299297630870408,4,0.6869406614572499,BERT
128,0.1681886110723576,4,0.7033109683204891,BERT
125,0.17045397727636957,4,0.7033109683204891,BERT
124,0.16724327193608018,4,0.7033109683204891,BERT
129,0.1640328893114375,4,0.7033109683204891,BERT
110,0.17505987900193248,4,0.6271006901528537,BERT
98,0.2245411071643172,4,0.6288817873165266,BERT
130,0.16109692477697973,4,0.7033109683204891,BERT
129,0.27647744497033355,4,0.7033109683204891,BERT
129,0.25968878375465654,4,0.7033109683204891,BERT
150,0.28819184401283093,4,0.7033109683204891,BERT
100,0.16650936731681015,4,0.6288817873165266,BERT
134,0.20824204888655165,4,0.7033109683204891,BERT
132,0.27676891678363874,4,0.7033109683204891,BERT
129,0.2153781425126827,4,0.7033109683204891,BERT
115,0.2308685277214961,4,0.6271006901528537,BERT
92,0.16609547270079278,4,0.6288817873165266,BERT
109,0.19489619450368278,4,0.6271006901528537,BERT
129,0.2673209784130173,4,0.7033109683204891,BERT
140,0.299385932408349,16,0.5622877387321858,BERT
152,0.2423892218139175,4,0.7033109683204891,BERT
115,0.13768016365366065,2,0.6213125893797479,BERT
106,0.34168950108336615,4,0.6271006901528537,BERT
149,0.2916894997851243,4,0.7033109683204891,BERT
138,0.2489612335685902,4,0.7033109683204891,BERT
154,0.1852477246466992,4,0.7033109683204891,BERT
128,0.11801971051910122,4,0.6869406614572499,BERT
144,0.21997820425809128,4,0.7033109683204891,BERT
135,0.15338865825510942,4,0.7033109683204891,BERT
119,0.3123227933308318,4,0.6271006901528537,BERT
147,0.2633012474834401,16,0.6693990704113236,BERT
128,0.19448429637687592,4,0.7033109683204891,BERT
155,0.10802068639197257,2,0.6210455790902888,BERT
133,0.20887671898063934,4,0.7033109683204891,BERT
136,0.15932972702402784,4,0.7033109683204891,BERT
127,0.28301678466026614,4,0.7033109683204891,BERT
118,0.24707605716037864,4,0.6271006901528537,BERT
140,0.17886262955589285,4,0.7033109683204891,BERT
133,0.1387635138899075,4,0.7033109683204891,BERT
150,0.2051931174613683,4,0.7033109683204891,BERT
112,0.2276630014842847,4,0.6271006901528537,BERT
123,0.11235059965821714,16,0.6467757927538581,BERT
104,0.18452347755167575,4,0.6288817873165266,BERT
133,0.27004514635565724,4,0.7033109683204891,BERT
146,0.27729359792308705,4,0.7033109683204891,BERT
119,0.3103405066963831,4,0.6271006901528537,BERT
125,0.34200062926459196,4,0.7033109683204891,BERT
131,0.21138007443558393,4,0.7033109683204891,BERT
139,0.15584786460452352,4,0.7033109683204891,BERT
143,0.23790046928885422,2,0.5590875769851549,BERT
136,0.2540374531053924,4,0.7033109683204891,BERT
126,0.17000176162097097,4,0.7033109683204891,BERT
131,0.2797177491279987,4,0.7033109683204891,BERT
113,0.21570797647482412,4,0.6271006901528537,BERT
130,0.1983778582912621,4,0.7033109683204891,BERT
122,0.12807648485922443,4,0.6869406614572499,BERT
118,0.23687224723658723,4,0.6271006901528537,BERT
96,0.1489087153286345,4,0.6288817873165266,BERT
141,0.22388925299112278,4,0.7033109683204891,BERT
108,0.29728985614438314,4,0.6271006901528537,BERT
83,0.17742457304340942,4,0.6288817873165266,BERT
126,0.20000638244339308,16,0.6446301214594793,BERT
137,0.26453860807264146,4,0.7033109683204891,BERT
131,0.2568970727433738,4,0.7033109683204891,BERT
126,0.3288476135489868,4,0.7033109683204891,BERT
120,0.2788972753835555,4,0.6271006901528537,BERT
129,0.21378543407474956,4,0.7033109683204891,BERT
116,0.18262013591434467,4,0.6271006901528537,BERT
146,0.2388610571817063,2,0.5590875769851549,BERT
136,0.12787160439241732,4,0.6846749958025169,BERT
150,0.1510322903324387,4,0.7033109683204891,BERT
142,0.09810313051125821,4,0.6869406614572499,BERT
133,0.2951463375651922,4,0.7033109683204891,BERT
156,0.2280838689239723,4,0.7033109683204891,BERT
154,0.25704154337348084,4,0.7033109683204891,BERT
160,0.194872335441364,4,0.7033109683204891,BERT
151,0.2413253180905556,4,0.7033109683204891,BERT
57,0.16509758217763934,4,0.616196758798595,BERT
128,0.3130056658513429,4,0.7033109683204891,BERT
124,0.27056101361587137,4,0.7033109683204891,BERT
37,0.21749867383351923,4,0.6177528476105711,BERT
139,0.3728860645839801,16,0.6414822957200579,BERT
165,0.18443628415939656,4,0.7033109683204891,BERT
150,0.28534963559186366,4,0.7033109683204891,BERT
134,0.2926839709730243,4,0.7033109683204891,BERT
145,0.2461305594387672,4,0.7033109683204891,BERT
177,0.20458082217186835,4,0.7033109683204891,BERT
121,0.3176174150322905,4,0.7033109683204891,BERT
138,0.34503225808731786,4,0.7033109683204891,BERT
130,0.13903475358832607,4,0.7033109683204891,BERT
114,0.26297407921123905,2,0.6158607330840942,BERT
142,0.16520413183900057,4,0.7033109683204891,BERT
147,0.23268644215125528,4,0.7033109683204891,BERT
136,0.24963792886757633,4,0.7033109683204891,BERT
126,0.30285492111276197,4,0.7033109683204891,BERT
132,0.27694599490361943,4,0.7033109683204891,BERT
139,0.2114331048233575,4,0.7033109683204891,BERT
129,0.18594232599551025,4,0.7033109683204891,BERT
144,0.258371501948525,4,0.7033109683204891,BERT
123,0.22243638376575955,4,0.7033109683204891,BERT
135,0.29979062002877954,4,0.7033109683204891,BERT
159,0.2414738742435525,4,0.7033109683204891,BERT
117,0.3258043895232696,4,0.6271006901528537,BERT
152,0.19526041716072573,4,0.7033109683204891,BERT
153,0.1691511881155283,4,0.7033109683204891,BERT
156,0.14642766622099507,4,0.7033109683204891,BERT
147,0.1182173236965646,4,0.6846749958025169,BERT
128,0.18992473098775373,4,0.7033109683204891,BERT
163,0.2732995707397452,16,0.6753202715598817,BERT
141,0.21191145987390322,4,0.7033109683204891,BERT
133,0.17468096423198348,4,0.7033109683204891,BERT
125,0.4471157917404818,4,0.5660278422069238,BERT
138,0.25202806457753196,4,0.7033109683204891,BERT
144,0.23023068359521293,4,0.7033109683204891,BERT
148,0.22644197866067028,4,0.7033109683204891,BERT
131,0.15712190814754023,4,0.7033109683204891,BERT
153,0.20363243264237005,4,0.7033109683204891,BERT
120,0.28718026582557077,4,0.6271006901528537,BERT
135,0.1333033285101146,2,0.6210455790902888,BERT
143,0.17937591406215175,4,0.7033109683204891,BERT
127,0.26365639413181075,4,0.7033109683204891,BERT
157,0.24356356422578895,4,0.7033109683204891,BERT
149,0.21708391897202872,4,0.7033109683204891,BERT
138,0.15258111828631848,4,0.7033109683204891,BERT
133,0.15921550908828702,4,0.7033109683204891,BERT
130,0.19359347952869482,4,0.7033109683204891,BERT
123,0.10749763651877588,4,0.6869406614572499,BERT
136,0.14001826238176163,4,0.7033109683204891,BERT
169,0.17771178248397174,4,0.7033109683204891,BERT
140,0.4098804300619001,8,0.5610023556802728,BERT
128,0.28112649195704537,4,0.7033109683204891,BERT
145,0.21313950128113182,4,0.7033109683204891,BERT
133,0.5271206454097652,4,0.45748787628893894,BERT
125,0.19078420263570972,4,0.7033109683204891,BERT
120,0.23698595791976498,4,0.6271006901528537,BERT
129,0.2047945607173306,4,0.7033109683204891,BERT
136,0.1720863142626362,4,0.7033109683204891,BERT
126,0.25552713921881376,4,0.7033109683204891,BERT
132,0.12105905920707932,4,0.6869406614572499,BERT
141,0.1597407596402319,16,0.6759861633216065,BERT
122,0.2272036671424681,4,0.7033109683204891,BERT
151,0.3040281033896633,4,0.7033109683204891,BERT
129,0.19267256961383644,4,0.7033109683204891,BERT
134,0.20694315086928472,4,0.7033109683204891,BERT
139,0.26859795032818495,4,0.7033109683204891,BERT
132,0.14752805432136193,4,0.7033109683204891,BERT
126,0.22493558243718975,4,0.7033109683204891,BERT
136,0.1841408430904883,4,0.7033109683204891,BERT
144,0.24263481898733052,4,0.7033109683204891,BERT
130,0.2058444222694351,4,0.7033109683204891,BERT
117,0.28826803348591706,4,0.6271006901528537,BERT
123,0.1675824618313758,2,0.5610768594652139,BERT
170,0.6809836260545273,8,0.39535870735458595,word2vec
194,0.6975929450481313,4,0.4034535175889425,word2vec
188,0.5560112122004354,16,0.37453313810958555,word2vec
63,0.503574364338572,16,0.6571906325749568,word2vec
195,0.027448297952067713,2,0.7403209259929027,word2vec
96,0.01134204340615467,8,0.6059857003782783,word2vec
112,0.681021163335319,4,0.4034535175889425,word2vec
56,0.6272168885964499,16,0.37453313810958555,word2vec
161,0.20321968526153786,4,0.6771818296845896,word2vec
23,0.741831444050613,16,0.417770789957383,word2vec
132,0.3410645684852578,2,0.6764221584046389,word2vec
151,0.0319053950080408,2,0.7089072821825362,word2vec
143,0.027301554691166144,2,0.6556996530265925,word2vec
160,0.16012340675902045,2,0.7297163896359121,word2vec
181,0.22394439002979039,2,0.6704401816778722,word2vec
126,0.16111347097828876,2,0.7359310173881615,word2vec
113,0.38284341496379537,2,0.42167870693924586,word2vec
86,0.8920166709120202,2,0.0,word2vec
15,0.11845277034068075,2,0.35191520812289373,word2vec
127,0.2842345263284314,8,0.7258622075833777,word2vec
70,0.10176337039978395,2,0.636807430058324,word2vec
168,0.1614040018140476,2,0.7216995882722618,word2vec
151,0.23937675724409557,2,0.6744855101419885,word2vec
180,0.11125283610712264,2,0.7297163896359121,word2vec
133,0.299424878807829,2,0.6744855101419885,word2vec
195,0.3977606195772314,2,0.4191398744197547,word2vec
161,0.1742402050560422,2,0.6684655785476139,word2vec
174,0.08725313722572377,8,0.7288458595028582,word2vec
119,0.1716657344799377,4,0.725718871402405,word2vec
146,0.24551258571999515,8,0.7258622075833777,word2vec
165,0.06864624559207057,2,0.7188484834408096,word2vec
179,0.15064526718516696,2,0.7297163896359121,word2vec
182,0.09008678468024257,2,0.7310620809568191,word2vec
191,0.06120150293952817,2,0.73497435848653,word2vec
191,0.06233868688791307,2,0.73497435848653,word2vec
195,0.02505989427804306,16,0.712872584342069,word2vec
39,0.010654637762349133,4,0.36539687580895264,word2vec
187,0.06808020575861268,2,0.7258116292394495,word2vec
86,0.1274211549904229,16,0.7099820968132571,word2vec
103,0.20387383524858987,8,0.7370452219343313,word2vec
100,0.19639637546195365,8,0.7370452219343313,word2vec
100,0.20317797395257545,8,0.7370452219343313,word2vec
104,0.1987188687699191,8,0.7370452219343313,word2vec
103,0.21946639700920006,8,0.7370452219343313,word2vec
90,0.27238888858572796,8,0.742370397720193,word2vec
89,0.27344857869403366,8,0.742370397720193,word2vec
69,0.2877181826426747,8,0.7258622075833777,word2vec
88,0.3347180304982504,8,0.7420921494764979,word2vec
86,0.3304234519981881,8,0.7420921494764979,word2vec
84,0.4339113784382621,8,0.6746545829302384,word2vec
57,0.33470819915771366,8,0.7206225722243622,word2vec
81,0.34463815262561526,8,0.7420921494764979,word2vec
76,0.48116656131487734,8,0.672328561700996,word2vec
93,0.3501440430964501,8,0.6746545829302384,word2vec
44,0.3103884610413305,8,0.7387290009467217,word2vec
78,0.2572404689274938,8,0.742370397720193,word2vec
75,0.2635028362105598,8,0.742370397720193,word2vec
92,0.3769543982694253,8,0.6746545829302384,word2vec
64,0.25756793311513015,8,0.7228666004402207,word2vec
75,0.2631982766575257,8,0.742370397720193,word2vec
47,0.26676448708632333,8,0.7343302093202054,word2vec
76,0.31085446817945495,8,0.742370397720193,word2vec
77,0.2659472879109549,8,0.742370397720193,word2vec
77,0.2731835222853298,8,0.742370397720193,word2vec
71,0.2417397106296864,8,0.7228666004402207,word2vec
56,0.29813084604570994,8,0.7258622075833777,word2vec
63,0.2715680350424941,4,0.7455310836218282,word2vec
64,0.22525156689270565,4,0.7455310836218282,word2vec
32,0.2317932815457948,4,0.5852717947180458,word2vec
57,0.24889807822140866,4,0.7455310836218282,word2vec
61,0.22608630237680835,4,0.7455310836218282,word2vec
61,0.1418235126901881,4,0.7455310836218282,word2vec
50,0.1402616219930238,4,0.7399866474606236,word2vec
61,0.1721705680727113,4,0.7455310836218282,word2vec
64,0.1708685616835225,4,0.7455310836218282,word2vec
65,0.18098703060153348,4,0.7455310836218282,word2vec
61,0.16552133834609714,4,0.7455310836218282,word2vec
33,0.1274352717795259,4,0.2599067954398613,word2vec
51,0.14440821541915816,4,0.7222582069973899,word2vec
64,0.2222630116935414,4,0.7455310836218282,word2vec
40,0.18175739615706915,4,0.6831748281506529,word2vec
59,0.17037038192762705,4,0.7455310836218282,word2vec
61,0.10921656611720092,4,0.6735640365905444,word2vec
67,0.18978546365226967,4,0.7455310836218282,word2vec
52,0.1543819724452253,4,0.7222582069973899,word2vec
54,0.21271801134769935,4,0.7222582069973899,word2vec
43,0.18411979562462913,4,0.7399866474606236,word2vec
20,0.232025183847791,4,0.2141419741454123,word2vec
33,0.16817221088800807,4,0.4408155752151491,word2vec
67,0.1316710853938629,4,0.7455310836218282,word2vec
62,0.21119777058642847,4,0.7455310836218282,word2vec
63,0.22750755312076296,4,0.7455310836218282,word2vec
8,0.15003578878061696,4,0.3430453887137024,word2vec
58,0.09805900721307263,4,0.6499003041743001,word2vec
70,0.1928073320202747,4,0.7455310836218282,word2vec
48,0.21726768421539555,4,0.7399866474606236,word2vec
65,0.12415630775910208,4,0.7455310836218282,word2vec
55,0.17115236783091406,16,0.7095155928565363,word2vec
71,0.24248767830331314,4,0.725718871402405,word2vec
81,0.20123051191133517,4,0.725718871402405,word2vec
60,0.1603059322840458,4,0.7455310836218282,word2vec
60,0.17882601237189635,4,0.7455310836218282,word2vec
47,0.21675800503686227,4,0.7399866474606236,word2vec
66,0.1640090067542982,4,0.7455310836218282,word2vec
72,0.24702636788016935,4,0.725718871402405,word2vec
37,0.11486305398729482,4,0.2498138767778554,word2vec
57,0.142983131867503,4,0.7455310836218282,word2vec
53,0.18674362431124675,4,0.7222582069973899,word2vec
44,0.087431942465764,4,0.4894657761463177,word2vec
63,0.22377540086207398,16,0.7099820968132571,word2vec
82,0.2860021224537619,4,0.725718871402405,word2vec
67,0.20539900035595116,4,0.7455310836218282,word2vec
59,0.1889868301081878,4,0.7455310836218282,word2vec
67,0.24412853456322287,4,0.7455310836218282,word2vec
72,0.17424295542009766,4,0.7455310836218282,word2vec
51,0.1438672027063538,4,0.7222582069973899,word2vec
55,0.19912373423190488,4,0.7455310836218282,word2vec
63,0.12237949077552118,4,0.6735640365905444,word2vec
73,0.1592968146003454,4,0.7455310836218282,word2vec
68,0.2339655428507204,4,0.725718871402405,word2vec
59,0.10531761613607213,4,0.6735640365905444,word2vec
66,0.17508506036310376,4,0.7455310836218282,word2vec
55,0.12995992093218803,4,0.7455310836218282,word2vec
80,0.13888040581082595,4,0.7207371640865192,word2vec
48,0.18716493313784358,4,0.7399866474606236,word2vec
68,0.07608228850118212,4,0.5286818621786705,word2vec
60,0.2150705970052771,4,0.7455310836218282,word2vec
65,0.16101978332274003,4,0.7455310836218282,word2vec
74,0.051406565204666355,16,0.6209858927535626,word2vec
44,0.2025849748449321,4,0.7399866474606236,word2vec
51,0.2506658308801412,4,0.7222582069973899,word2vec
62,0.20759513710317037,4,0.7455310836218282,word2vec
62,0.22737277585619664,4,0.7455310836218282,word2vec
57,0.13431730526566943,4,0.7455310836218282,word2vec
69,0.1838649654723571,4,0.7455310836218282,word2vec
64,0.15689467749530828,4,0.7455310836218282,word2vec
56,0.10841839426709174,4,0.6499322244265776,word2vec
70,0.21986941296795004,4,0.725718871402405,word2vec
52,0.281615671280594,4,0.7222582069973899,word2vec
60,0.2509502775973287,4,0.7455310836218282,word2vec
79,0.17497808941599993,4,0.7207371640865192,word2vec
64,0.1959211023485368,4,0.7455310836218282,word2vec
61,0.23567869913043316,4,0.7455310836218282,word2vec
73,0.2275317369341181,4,0.725718871402405,word2vec
66,0.2661004737448561,4,0.7455310836218282,word2vec
54,0.21264083279532742,4,0.7222582069973899,word2vec
48,0.14561194180029738,4,0.7399866474606236,word2vec
57,0.19063863100173836,4,0.7455310836218282,word2vec
110,0.30780243002959917,16,0.669831974944473,word2vec
63,0.16870023732515776,4,0.7455310836218282,word2vec
70,0.28833892368894604,4,0.725718871402405,word2vec
68,0.19277076145284686,4,0.7455310836218282,word2vec
75,0.2320985218466834,4,0.725718871402405,word2vec
59,0.20538096331722205,4,0.7455310836218282,word2vec
71,0.1250909114965456,4,0.7455310836218282,word2vec
64,0.15772517494443233,4,0.7455310836218282,word2vec
53,0.25539903698646427,4,0.7222582069973899,word2vec
67,0.1768830151439078,4,0.7455310836218282,word2vec
58,0.21419581163588503,4,0.7455310836218282,word2vec
77,0.09554080415378982,4,0.7455310836218282,word2vec
84,0.1406695046024923,4,0.721193764332105,word2vec
63,0.12317625102262268,4,0.6735640365905444,word2vec
66,0.1879909234000901,4,0.7455310836218282,word2vec
61,0.16769215656858785,4,0.7455310836218282,word2vec
