k,nc,umap_n_components,NMI,embedding
26,6,4,0.6723964698816675,BERT
27,6,16,0.6467828595855273,BERT
49,6,4,0.6636578143843952,BERT
28,6,16,0.6467828595855273,BERT
14,6,2,0.4416708522525083,BERT
42,6,16,0.6749948050818307,BERT
36,6,16,0.6471431311260695,BERT
24,6,8,0.4486387164610955,BERT
41,6,4,0.6619627022164285,BERT
38,6,4,0.6619627022164284,BERT
5,6,8,0.447093638588647,BERT
50,6,2,0.656480343122393,BERT
20,6,4,0.7014735370942566,BERT
17,6,16,0.6467828595855273,BERT
16,6,16,0.6467828595855273,BERT
32,6,4,0.6938475766811669,BERT
20,6,4,0.7014735370942566,BERT
9,6,4,0.6897856483809528,BERT
21,6,4,0.6945054186331951,BERT
19,6,4,0.6958808729537105,BERT
11,6,8,0.4237731160306312,BERT
20,6,4,0.7014735370942566,BERT
24,6,4,0.6723964698816675,BERT
21,6,4,0.6945054186331951,BERT
31,6,2,0.6418286989751041,BERT
13,6,4,0.6878719742605222,BERT
20,6,4,0.7014735370942566,BERT
8,6,4,0.6897856483809528,BERT
15,6,4,0.6619627022164284,BERT
23,6,4,0.6723964698816675,BERT
30,6,2,0.6418286989751041,BERT
19,6,4,0.6958808729537105,BERT
26,6,4,0.6723964698816675,BERT
18,6,4,0.6972387348453927,BERT
21,6,4,0.6945054186331951,BERT
27,6,8,0.4486387164610955,BERT
12,6,4,0.677391045359235,BERT
23,6,4,0.6723964698816675,BERT
29,6,4,0.6723964698816675,BERT
16,6,2,0.38690983977479326,BERT
25,6,16,0.6467828595855273,BERT
18,6,4,0.6972387348453927,BERT
21,6,4,0.6945054186331951,BERT
14,6,4,0.6878719742605222,BERT
20,6,4,0.7014735370942566,BERT
20,6,8,0.4668824480143581,BERT
23,6,4,0.6723964698816675,BERT
27,6,4,0.6723964698816675,BERT
17,6,16,0.6467828595855273,BERT
35,6,4,0.6938475766811669,BERT
10,6,2,0.5771783829678533,BERT
18,6,4,0.6972387348453927,BERT
47,6,4,0.6636578143843952,BERT
15,6,4,0.6619627022164284,BERT
19,6,4,0.6958808729537105,BERT
25,6,4,0.6723964698816675,BERT
22,6,8,0.449051228799121,BERT
17,6,4,0.6619627022164284,BERT
13,6,16,0.43270429465732746,BERT
7,6,4,0.6897856483809528,BERT
20,6,4,0.7014735370942566,BERT
20,6,4,0.7014735370942566,BERT
20,6,4,0.7014735370942566,BERT
24,6,4,0.6723964698816675,BERT
22,6,4,0.6726492181467627,BERT
16,6,4,0.6619627022164284,BERT
20,6,4,0.7014735370942566,BERT
22,6,4,0.6726492181467627,BERT
25,6,2,0.641828698975104,BERT
14,6,8,0.6587273291192449,BERT
19,6,4,0.6958808729537105,BERT
21,6,4,0.6945054186331951,BERT
20,6,4,0.7014735370942566,BERT
17,6,4,0.6619627022164284,BERT
23,6,4,0.6723964698816675,BERT
20,6,4,0.7014735370942566,BERT
15,6,4,0.6619627022164284,BERT
26,6,16,0.6467828595855273,BERT
28,6,4,0.6723964698816675,BERT
18,6,4,0.6972387348453927,BERT
24,6,4,0.6723964698816675,BERT
21,6,4,0.6945054186331951,BERT
20,6,4,0.7014735370942566,BERT
19,6,4,0.6958808729537105,BERT
16,6,4,0.6619627022164284,BERT
22,6,4,0.6726492181467627,BERT
18,6,2,0.4144741030736084,BERT
20,6,4,0.7014735370942566,BERT
24,6,4,0.6723964698816675,BERT
33,6,4,0.6938475766811669,BERT
26,6,8,0.4486387164610955,BERT
20,6,4,0.7014735370942566,BERT
19,6,4,0.6958808729537105,BERT
22,6,4,0.6726492181467627,BERT
23,6,4,0.6723964698816675,BERT
17,6,4,0.6619627022164284,BERT
20,6,4,0.7014735370942566,BERT
21,6,16,0.6467828595855273,BERT
12,6,4,0.677391045359235,BERT
15,6,4,0.6619627022164284,BERT
18,6,4,0.6972387348453927,BERT
20,6,4,0.7014735370942566,BERT
19,6,4,0.6958808729537105,BERT
17,6,4,0.6619627022164284,BERT
22,6,4,0.6726492181467627,BERT
23,6,2,0.641828698975104,BERT
21,6,4,0.6945054186331951,BERT
25,6,4,0.6723964698816675,BERT
16,6,8,0.4407019730817145,BERT
18,6,4,0.6972387348453927,BERT
19,6,4,0.6958808729537105,BERT
20,6,4,0.7014735370942566,BERT
20,6,4,0.7014735370942566,BERT
40,6,4,0.6619627022164284,BERT
21,6,4,0.6945054186331951,BERT
24,6,4,0.6723964698816675,BERT
22,6,4,0.6726492181467627,BERT
17,6,16,0.6467828595855273,BERT
19,6,4,0.6958808729537105,BERT
14,6,4,0.6878719742605222,BERT
18,6,4,0.6972387348453927,BERT
20,6,4,0.7014735370942566,BERT
20,6,4,0.7014735370942566,BERT
22,6,4,0.6726492181467627,BERT
21,6,4,0.6945054186331951,BERT
23,6,4,0.6723964698816675,BERT
20,6,4,0.7014735370942566,BERT
19,6,2,0.3869098397747934,BERT
17,6,4,0.6619627022164284,BERT
21,6,4,0.6945054186331951,BERT
16,6,4,0.6619627022164284,BERT
20,6,4,0.7014735370942566,BERT
18,6,4,0.6972387348453927,BERT
23,6,4,0.6723964698816675,BERT
21,6,4,0.6945054186331951,BERT
20,6,4,0.7014735370942566,BERT
22,6,4,0.6726492181467627,BERT
