n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.45030574040897076,2,0.0,BERT
4,0.44251848711668135,16,0.0,BERT
4,0.6371114458343411,16,0.0,BERT
4,0.7592592133659523,2,0.0,BERT
4,0.46578291677026756,16,0.0,BERT
4,0.5079315266021764,16,0.0,BERT
4,0.5122571326351477,16,0.0,BERT
4,0.8320326529088705,2,0.0,BERT
4,0.4820953929411743,2,0.0,BERT
4,0.4514690040018068,4,0.0,BERT
4,0.21700162874686585,8,0.0,BERT
4,0.2288928759552371,4,0.0,BERT
4,0.028500336533599735,8,0.0,BERT
4,0.9343461752869353,2,0.0,BERT
4,0.3259660112493268,16,0.0,BERT
4,0.665879835165681,2,0.0,BERT
4,0.3373432051005701,8,0.0,BERT
4,0.6423249268290573,4,0.0,BERT
4,0.5789801156457322,16,0.0,BERT
4,0.3725236425527379,2,0.0,BERT
4,0.7273397844365895,16,0.0,BERT
4,0.6180470002245845,16,0.0,BERT
4,0.5637655016939986,16,0.0,BERT
4,0.7140314014462914,16,0.0,BERT
4,0.5805362385506333,16,0.0,BERT
4,0.4185778512489182,2,0.0,BERT
4,0.6749980733339106,8,0.0,BERT
4,0.5419283326383422,4,0.0,BERT
4,0.41068916217207957,16,0.0,BERT
4,0.7933059890562152,2,0.0,BERT
4,0.5842480939939493,2,0.0,BERT
4,0.7709934435457297,2,0.0,BERT
4,0.5062989591398053,2,0.0,BERT
4,0.8576677937003971,16,0.0,BERT
4,0.7076930932566647,2,0.0,BERT
4,0.4904277018695203,16,0.0,BERT
4,0.638264620324404,2,0.0,BERT
4,0.4663728861832941,16,0.0,BERT
4,0.9972296256525214,2,0.0,BERT
4,0.5277847925182481,4,0.0,BERT
4,0.6092274916058831,16,0.0,BERT
4,0.449585292364835,16,0.0,BERT
4,0.5035914116625969,16,0.0,BERT
4,0.5347449002968998,8,0.0,BERT
4,0.4351066018903327,16,0.0,BERT
4,0.3791260662107888,2,0.0,BERT
4,0.29101437397540403,4,0.0,BERT
4,0.45017805051490484,8,0.0,BERT
4,0.5065091533665204,16,0.0,BERT
4,0.6029673330345776,2,0.0,BERT
4,0.6609784050415168,16,0.0,BERT
4,0.5533069656775261,16,0.0,BERT
4,0.474044682831756,16,0.0,BERT
4,0.3738562448404371,16,0.0,BERT
4,0.4076089143981763,16,0.0,BERT
4,0.5544598570177812,16,0.0,BERT
4,0.47307495578654496,2,0.0,BERT
4,0.3231057179486295,8,0.0,BERT
4,0.6408168244061277,4,0.0,BERT
4,0.6936072295263427,16,0.0,BERT
4,0.5653887129853192,2,0.0,BERT
4,0.5166494630551923,16,0.0,BERT
4,0.43017058104532924,16,0.0,BERT
4,0.5972893537936095,16,0.0,BERT
4,0.4841505742684222,16,0.0,BERT
4,0.4057298349385856,16,0.0,BERT
4,0.7404504846683269,2,0.0,BERT
4,0.5388148188099946,16,0.0,BERT
4,0.6223413231023525,2,0.0,BERT
4,0.4638410820416999,16,0.0,BERT
4,0.5687039762681221,4,0.0,BERT
4,0.8326320910495346,2,0.0,BERT
4,0.7568219036354209,2,0.0,BERT
4,0.7952030300071482,2,0.0,BERT
4,0.686100384344932,2,0.0,BERT
4,0.5104775591568256,8,0.0,BERT
4,0.7232326279305341,2,0.0,BERT
4,0.6609148942869915,16,0.0,BERT
4,0.43571490191443846,16,0.0,BERT
4,0.5864375546755556,2,0.0,BERT
4,0.492621690893193,16,0.0,BERT
4,0.5311672289544442,2,0.0,BERT
4,0.39461632310251565,2,0.0,BERT
4,0.45426301000323444,2,0.0,BERT
4,0.4892197101553304,2,0.0,BERT
4,0.4298705059371583,16,0.0,BERT
4,0.34657871648484073,4,0.0,BERT
4,0.5440266030406355,8,0.0,BERT
4,0.4595604551457907,2,0.0,BERT
4,0.5054205508255075,16,0.0,BERT
4,0.5709769493336552,2,0.0,BERT
4,0.41305702781159964,4,0.0,BERT
4,0.47875707550740393,4,0.0,BERT
4,0.5217945569080795,4,0.0,BERT
4,0.4403636750224597,4,0.0,BERT
4,0.6247429720656753,16,0.0,BERT
4,0.38754909104607244,16,0.0,BERT
4,0.4188156705493643,16,0.0,BERT
4,0.48843276937501834,2,0.0,BERT
4,0.4470226882572087,16,0.0,BERT
4,0.5951228273188903,4,0.0,BERT
4,0.17161214360449417,8,0.0,BERT
4,0.3568136857507338,8,0.0,BERT
4,0.559332983960521,8,0.0,BERT
4,0.47045096948224485,8,0.0,BERT
4,0.5218936216647088,2,0.0,BERT
4,0.3918641454969462,16,0.0,BERT
4,0.6615796781237553,8,0.0,BERT
4,0.7078209670710462,2,0.0,BERT
4,0.5458219744013766,16,0.0,BERT
4,0.5741477576286128,16,0.0,BERT
4,0.2301701428157245,4,0.0,BERT
4,0.5028903999551538,4,0.0,BERT
4,0.45594554971445045,4,0.0,BERT
4,0.42197599266449776,4,0.0,BERT
4,0.3661617845590991,2,0.0,BERT
4,0.4806990764557503,16,0.0,BERT
4,0.6016687132678807,2,0.0,BERT
4,0.32592036461798335,4,0.0,BERT
4,0.8999482642868513,16,0.0,BERT
4,0.6214813300722897,2,0.0,BERT
4,0.05224747655281782,8,0.0,BERT
4,0.398743985424234,8,0.0,BERT
4,0.4451759382717616,8,0.0,BERT
4,0.30210646053979084,8,0.0,BERT
4,0.36445087481393657,16,0.0,BERT
4,0.5258791575993335,8,0.0,BERT
4,0.5025525065625274,2,0.0,BERT
4,0.3766408152268681,16,0.0,BERT
4,0.42427966203380413,4,0.0,BERT
4,0.4671253358589821,2,0.0,BERT
4,0.6819924816661935,2,0.0,BERT
4,0.6437604932389847,2,0.0,BERT
4,0.7426228655039084,2,0.0,BERT
4,0.07475713704934843,2,0.0,BERT
4,0.27297324855693256,16,0.0,BERT
4,0.11761733190662509,2,0.0,BERT
4,0.1607936762587584,16,0.0,BERT
4,0.7980215734784752,8,0.0,BERT
4,0.022023205365418047,16,0.0,BERT
4,0.2388683585901456,4,0.0,BERT
4,0.35297026624599914,16,0.0,BERT
4,0.406597851764831,16,0.0,BERT
4,0.48848926761538,16,0.0,BERT
4,0.4515867827255094,16,0.0,BERT
4,0.3269854886569037,2,0.0,BERT
4,0.4332520836482046,16,0.0,BERT
4,0.9109760850412087,2,0.0,BERT
4,0.532564915884351,8,0.0,BERT
4,0.4668782247564831,16,0.0,BERT
4,0.3432683051288595,4,0.0,BERT
4,0.7718469503461421,2,0.0,BERT
4,0.7198080025439965,2,0.0,BERT
4,0.6914224585650598,2,0.0,BERT
4,0.5145700806272204,2,0.0,BERT
4,0.5458058260144211,2,0.0,BERT
4,0.37980240200563065,16,0.0,BERT
4,0.5746751850022445,2,0.0,BERT
4,0.7078726736444033,8,0.0,BERT
4,0.41476142707057984,16,0.0,BERT
4,0.2933773251497903,4,0.0,BERT
4,0.22815543329515112,8,0.0,BERT
4,0.27155031965606474,8,0.0,BERT
4,0.3973949146442288,8,0.0,BERT
4,0.4907499332609783,8,0.0,BERT
4,0.314812711045625,2,0.0,BERT
4,0.3398503994390985,16,0.0,BERT
4,0.4370113029761326,8,0.0,BERT
4,0.6662444114935875,2,0.0,BERT
4,0.20065256573141804,16,0.0,BERT
4,0.4625166550371787,4,0.0,BERT
