n_clusters,umap_n_components,NMI,embedding
5,8,0.0361201799105383,BERT
6,8,0.14643097991622303,BERT
6,2,0.04751119090639287,BERT
2,8,0.005932181333793221,BERT
2,4,0.02055934202430481,BERT
5,2,0.13534019933711522,BERT
2,4,0.00733171863808569,BERT
8,4,0.6478661770632841,BERT
2,4,0.011142155714759098,BERT
2,16,0.00733171863808569,BERT
8,16,0.38084595309127306,BERT
8,16,0.0660042549882039,BERT
8,16,0.6161641168648886,BERT
7,16,0.050938642774062314,BERT
7,4,0.14839373800766914,BERT
8,4,0.35959622599852936,BERT
4,16,0.02195129399187098,BERT
7,2,0.05561767925572145,BERT
4,4,0.020020855920027752,BERT
6,16,0.05340561416176492,BERT
8,4,0.46027136166080584,BERT
8,4,0.6210455857658994,BERT
7,4,0.40619798438069105,BERT
8,4,0.4793617771509523,BERT
7,4,0.14685057764689793,BERT
8,16,0.1375506572405046,BERT
7,8,0.18883943795861352,BERT
6,2,0.04751119090639287,BERT
8,4,0.47576660106226276,BERT
5,8,0.051306658953787915,BERT
3,16,0.01358160603782757,BERT
8,4,0.5734975492854332,BERT
8,4,0.5734975492854332,BERT
7,4,0.3084837726631124,BERT
8,4,0.4842981991161093,BERT
6,8,0.12526317324513808,BERT
7,2,0.13932666040991934,BERT
6,4,0.055946388969587084,BERT
8,4,0.48393881192660687,BERT
7,8,0.06638437713908774,BERT
8,4,0.4842981991161093,BERT
8,4,0.5978555798039085,BERT
8,4,0.4842981991161091,BERT
8,4,0.1535417666896081,BERT
7,4,0.42704776146797463,BERT
8,16,0.4832637896859018,BERT
8,4,0.43173126086929287,BERT
7,2,0.055617679255721454,BERT
7,16,0.0565455557306712,BERT
8,4,0.3106416647470681,BERT
4,4,0.03928104407249404,BERT
8,4,0.4207492031956845,BERT
8,4,0.38682143964192717,BERT
8,4,0.6606555914753836,BERT
8,4,0.5734975492854332,BERT
7,16,0.06576726440622598,BERT
8,4,0.6574377591350337,BERT
8,4,0.5364556241952237,BERT
7,16,0.060297302221640085,BERT
3,2,0.015588524995728846,BERT
5,4,0.04577559359039538,BERT
8,4,0.43173126086929287,BERT
8,4,0.4793617771509523,BERT
8,4,0.3857823225644274,BERT
8,4,0.42788275035770834,BERT
8,4,0.48393881192660687,BERT
7,8,0.06638437713908774,BERT
8,4,0.4855751916352884,BERT
7,16,0.05093864277406231,BERT
8,4,0.1535417666896081,BERT
6,4,0.13852639172529374,BERT
8,4,0.46027136166080584,BERT
8,4,0.6127549521151417,BERT
8,4,0.3878820898046525,BERT
8,4,0.43173126086929275,BERT
8,4,0.5468393329181639,BERT
7,8,0.06638437713908775,BERT
8,2,0.4633331803188953,BERT
7,16,0.1395682012509701,BERT
8,4,0.6268772875016975,BERT
8,4,0.4842981991161091,BERT
8,4,0.3744755071871093,BERT
8,4,0.5658981167932425,BERT
8,4,0.5448429869029312,BERT
8,4,0.4836221768891455,BERT
8,4,0.5953896733235954,BERT
8,4,0.6455601857612714,BERT
7,4,0.14685057764689796,BERT
8,16,0.0660042549882039,BERT
8,4,0.6449149949395201,BERT
7,4,0.4613925959236173,BERT
8,4,0.6210455857658995,BERT
8,4,0.6478661770632841,BERT
8,4,0.6630668761225295,BERT
8,4,0.29289768435127905,BERT
8,4,0.4842981991161092,BERT
8,4,0.1535417666896081,BERT
8,4,0.43173126086929287,BERT
8,4,0.4842981991161092,BERT
8,4,0.4771473464428325,BERT
3,4,0.01882990661205144,BERT
8,2,0.14609467936386558,BERT
8,8,0.4940860294249516,BERT
8,4,0.40005534041820523,BERT
8,16,0.13743090742966282,BERT
8,4,0.6686162471300041,BERT
4,4,0.040958988253507606,BERT
8,4,0.3595962259985293,BERT
8,4,0.46027136166080584,BERT
7,4,0.4853261115686915,BERT
8,4,0.4842981991161093,BERT
