min_samples,eps,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
6,0.8166850127908899,8,0.6469937093544036,BERT,0.9660346724362181,0.966,0.9664518076109399,0.9663470697337013
5,0.8159830762026942,8,0.6469937093544036,BERT,0.9668408816391295,0.9665000000000001,0.9676428058352032,0.9668461457441779
6,0.8181866803333451,8,0.6469937093544036,BERT,0.9685076519110389,0.9685,0.9693552255622848,0.9685567203870257
9,0.997132235942543,16,0.7852321549214746,fasttext,0.9560892340283725,0.9560000000000001,0.9575796427009229,0.9559964886634356
7,0.996061751328842,16,0.7852321549214746,fasttext,0.956889072432522,0.9570000000000001,0.9577330985912962,0.9574501414482464
7,0.9987969261572134,16,0.7852321549214746,fasttext,0.9562657518180699,0.9564999999999999,0.9575382972199311,0.95656791307063
6,0.9982915719728632,8,0.6432655860256439,tfidf,0.9275648338300613,0.9285,0.929569064980118,0.9279192375106989
6,0.8542322228393336,2,0.6319096230099767,tfidf,0.9859946359146738,0.986,0.9859866678129837,0.9861641803760206
5,0.8636532382410312,2,0.6319096230099767,tfidf,0.9848182290395903,0.9850000000000001,0.9850279760965532,0.984824341146763
6,0.8754905146869273,16,0.7233603666336108,word2vec,0.9250479368171275,0.9259999999999999,0.9271410285828031,0.9255590449451386
6,0.8773532387079435,16,0.7233603666336108,word2vec,0.9202741168446146,0.921,0.9219600356817479,0.9212617766652059
6,0.8537776967959728,16,0.7233603666336108,word2vec,0.9228136907021932,0.9235,0.924650590135165,0.9235612295086533
