min_cluster_size,min_samples,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
160,72,4,0.6828100116779068,BERT,0.9712969088725364,0.9715,0.9722537204172117,0.9709240705616244
142,73,4,0.6828100116779068,BERT,0.9779376205996344,0.978,0.9780579494345032,0.9781485890516288
175,71,4,0.6828100116779068,BERT,0.9825690309048539,0.9825000000000002,0.9828935672845699,0.9825795334255082
98,108,2,0.822148299238414,fasttext,0.9762335522636179,0.9765,0.9763682022952169,0.9767885159818261
148,108,2,0.822148299238414,fasttext,0.9742555437769191,0.9744999999999999,0.9746216754842607,0.9747184300366655
195,11,4,0.8134780503742779,fasttext,0.9498836832944747,0.9504999999999999,0.9507882729611502,0.950957690778063
130,15,16,0.7511073464413216,tfidf,0.9580318361875746,0.958,0.9586319111157202,0.9584392898871114
161,15,16,0.7511073464413216,tfidf,0.950920846328535,0.951,0.9513984535705691,0.9511587737220456
176,15,16,0.7511073464413216,tfidf,0.949712788905847,0.95,0.9505634165368004,0.950028675791644
95,28,2,0.78251208343143,word2vec,0.9497211875423959,0.95,0.9501084536351596,0.9503962652185329
90,32,2,0.78251208343143,word2vec,0.9307281517922948,0.9315,0.9313282642175782,0.9313955258551314
86,32,2,0.78251208343143,word2vec,0.9403787941592648,0.9404999999999999,0.9414526564435436,0.940324509712493
