n_clusters,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
6,16,0.725753646697144,BERT,0.9256353279156547,0.9259999999999999,0.9279055133557265,0.9253526714109739
6,16,0.725753646697144,BERT,0.9209368377244033,0.921,0.9249209044235416,0.9210613197732883
6,16,0.725753646697144,BERT,0.936330208226984,0.9365,0.9373789625060482,0.9366099276851332
5,2,0.8469043710267505,fasttext,0.9402572727434286,0.9404999999999999,0.9432011514174021,0.9402627748289794
5,2,0.8469043710267505,fasttext,0.9500668011623677,0.9505000000000001,0.951488483995643,0.950249140111378
5,2,0.8469043710267505,fasttext,0.954493712396691,0.9550000000000001,0.9553791877567408,0.9551446467887754
4,16,0.8027558593342526,tfidf,0.943199364435292,0.9435,0.9452942122034017,0.9434314212309071
4,16,0.8027558593342526,tfidf,0.9434824389674491,0.9434999999999999,0.9455397300467302,0.943458159560385
4,16,0.8027558593342526,tfidf,0.9525407114817828,0.9524999999999999,0.9540107997787327,0.9530080984427342
4,16,0.7620647185390989,word2vec,0.9487282408177361,0.9490000000000001,0.9498385710069661,0.9489595688322587
4,16,0.7620647185390989,word2vec,0.9493625994195647,0.9494999999999999,0.9507102455582492,0.9497090860708555
4,16,0.7620647185390989,word2vec,0.9504599209344725,0.9505000000000001,0.9513487873240729,0.950713997356392
