bandwidth,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
0.9087619141618096,4,0.5732917030338248,BERT,0.8536550566380822,0.857,0.8687548803103834,0.8575710438524791
0.9098627408073467,4,0.5732917030338248,BERT,0.83227089248553,0.834,0.8478787030296818,0.8346061813864296
0.9086098248637632,4,0.5732917030338248,BERT,0.868059292467092,0.8685,0.871663864815288,0.8687189004230351
0.9098537434350752,16,0.5878974077079835,fasttext,0.7373948173845106,0.728,0.829162290491902,0.7265200841022825
0.9077661543201956,4,0.5855769535516816,fasttext,0.9289007573830068,0.9285,0.9298510470279417,0.9301561400509728
0.9076065731535624,4,0.5853955830851646,fasttext,0.8588129967692077,0.8565000000000002,0.8905075775617439,0.8575732139849143
0.9050844446607896,8,0.530459829658713,tfidf,0.665051181826748,0.6825,0.7573723488049104,0.6814735839493525
0.9058313805388452,8,0.530459829658713,tfidf,0.7419541827455981,0.736,0.8003676239136042,0.7365997681611764
0.9048177787278192,8,0.530459829658713,tfidf,0.6729307252004852,0.6664999999999999,0.7221334002100266,0.6672329850154562
0.8920887900290847,16,0.5978982500108209,word2vec,0.892534504560689,0.892,0.896168749983859,0.8917592734211232
0.9046813186371564,16,0.5978982500108209,word2vec,0.9039432959988787,0.9039999999999999,0.9055280183398381,0.9043212902480697
0.9075514916815156,16,0.5978982500108209,word2vec,0.8238115855677355,0.8205,0.8588527593693641,0.8205543302388503
