min_samples,xi,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
128,0.1681886110723576,4,0.7033109683204891,BERT,0.9736474683620978,0.9734999999999999,0.9741838397157785,0.9735736595350225
125,0.1704539772763695,4,0.7033109683204891,BERT,0.9823930334988059,0.9825000000000002,0.982752535349749,0.9823295820950136
124,0.1672432719360801,4,0.7033109683204891,BERT,0.9684076059751833,0.9685,0.9690347327200627,0.9685058970134591
102,0.0903466174011408,8,0.8141092228615602,fasttext,0.9668848201562362,0.967,0.9673724683310981,0.9673363307117866
93,0.0679938788065243,8,0.8141092228615602,fasttext,0.9578500907441765,0.958,0.9589759258085276,0.9579805387246093
98,0.0577903395192144,8,0.8141092228615602,fasttext,0.9455894846855022,0.9455,0.9479938169341755,0.9455868912155753
195,0.052777207632798,16,0.7556640797719593,tfidf,0.960428951610089,0.9605,0.9609930440159313,0.9605172904147563
189,0.0606430600766281,16,0.7556640797719593,tfidf,0.9599576300794738,0.96,0.9604700183978462,0.9601998278437239
195,0.0569295867392585,16,0.7556640797719593,tfidf,0.9527347360713749,0.953,0.9534614458695077,0.9528523836779101
63,0.2715680350424941,4,0.7455310836218282,word2vec,0.9706627990491216,0.9705,0.9709506150345139,0.9708299841163315
64,0.2252515668927056,4,0.7455310836218282,word2vec,0.9692827610087156,0.9695,0.9698654191279191,0.969555073454134
57,0.2488980782214086,4,0.7455310836218282,word2vec,0.969595969339592,0.9695,0.9702144127773927,0.9695265279600545
