k,nc,umap_n_components,NMI,embedding,f1_score,accuracy,precision,recall
20,6,4,0.7014735370942566,BERT,0.9490276652671925,0.9490000000000001,0.9509128825947208,0.9487958208032113
20,6,4,0.7014735370942566,BERT,0.9029924984264254,0.9045,0.9132551263419059,0.904564536829513
20,6,4,0.7014735370942566,BERT,0.9437457920670156,0.9434999999999999,0.9466197560246744,0.9439425515883008
15,6,2,0.8327097706241261,fasttext,0.9325575698434951,0.933,0.9362232196383466,0.9332513259775821
15,6,2,0.8327097706241261,fasttext,0.9205580349256076,0.9195,0.9247731583488982,0.9192244113074004
15,6,2,0.8327097706241261,fasttext,0.9453114731890284,0.9455,0.9482427860750423,0.9453005848155783
11,6,16,0.7675955327303924,tfidf,0.9500858213417607,0.951,0.9507639879842985,0.9505305944417239
13,6,16,0.7675955327303924,tfidf,0.9508646419351086,0.9515,0.9519684953282377,0.9513932985476972
11,6,16,0.7675955327303924,tfidf,0.9138450617442105,0.9135,0.9204918962463239,0.9134128104322338
21,6,4,0.7701165600035007,word2vec,0.9590787868509473,0.959,0.9605309489967894,0.9592249612877026
21,6,4,0.7701165600035007,word2vec,0.9380343712995953,0.9380000000000001,0.9389480750762269,0.9381534672490455
21,6,4,0.7701165600035007,word2vec,0.9585537820155384,0.9585000000000001,0.9608895979484572,0.9584274280494913
